1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0A0000003382AF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:20:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:40:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10615
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:40:01 AM,%RH,102.607
04/08/14 05:00:01 AM,%RH,102.607
04/08/14 05:20:01 AM,%RH,103.083
04/08/14 05:40:01 AM,%RH,103.083
04/08/14 06:00:01 AM,%RH,101.649
04/08/14 06:20:01 AM,%RH,103.083
04/08/14 06:40:01 AM,%RH,102.607
04/08/14 07:00:01 AM,%RH,102.129
04/08/14 07:20:01 AM,%RH,102.129
04/08/14 07:40:01 AM,%RH,102.129
04/08/14 08:00:01 AM,%RH,102.607
04/08/14 08:20:01 AM,%RH,102.129
04/08/14 08:40:01 AM,%RH,102.129
04/08/14 09:00:01 AM,%RH,102.129
04/08/14 09:20:01 AM,%RH,103.083
04/08/14 09:40:01 AM,%RH,101.168
04/08/14 10:00:01 AM,%RH,93.769
04/08/14 10:20:01 AM,%RH,89.685
04/08/14 10:40:01 AM,%RH,88.649
04/08/14 11:00:01 AM,%RH,84.444
04/08/14 11:20:01 AM,%RH,84.975
04/08/14 11:40:01 AM,%RH,85.504
04/08/14 12:00:01 PM,%RH,80.143
04/08/14 12:20:01 PM,%RH,79.599
04/08/14 12:40:01 PM,%RH,69.542
04/08/14 01:00:01 PM,%RH,62.567
04/08/14 01:20:01 PM,%RH,57.193
04/08/14 01:40:01 PM,%RH,55.983
04/08/14 02:00:01 PM,%RH,60.789
04/08/14 02:20:01 PM,%RH,57.796
04/08/14 02:40:01 PM,%RH,52.93
04/08/14 03:00:01 PM,%RH,64.916
04/08/14 03:20:01 PM,%RH,80.143
04/08/14 03:40:01 PM,%RH,90.201
04/08/14 04:00:01 PM,%RH,98.249
04/08/14 04:20:01 PM,%RH,98.739
04/08/14 04:40:01 PM,%RH,100.201
04/08/14 05:00:01 PM,%RH,100.685
04/08/14 05:20:01 PM,%RH,100.201
04/08/14 05:40:01 PM,%RH,100.685
04/08/14 06:00:01 PM,%RH,101.168
04/08/14 06:20:01 PM,%RH,100.685
04/08/14 06:40:01 PM,%RH,102.129
04/08/14 07:00:01 PM,%RH,101.649
04/08/14 07:20:01 PM,%RH,100.685
04/08/14 07:40:01 PM,%RH,102.129
04/08/14 08:00:01 PM,%RH,101.649
04/08/14 08:20:01 PM,%RH,102.129
04/08/14 08:40:01 PM,%RH,102.129
04/08/14 09:00:01 PM,%RH,103.083
04/08/14 09:20:01 PM,%RH,101.649
04/08/14 09:40:01 PM,%RH,102.607
04/08/14 10:00:01 PM,%RH,101.649
04/08/14 10:20:01 PM,%RH,102.607
04/08/14 10:40:01 PM,%RH,102.129
04/08/14 11:00:01 PM,%RH,101.649
04/08/14 11:20:01 PM,%RH,102.129
04/08/14 11:40:01 PM,%RH,102.129
05/08/14 12:00:01 AM,%RH,102.607
05/08/14 12:20:01 AM,%RH,102.129
05/08/14 12:40:01 AM,%RH,102.129
05/08/14 01:00:01 AM,%RH,101.168
05/08/14 01:20:01 AM,%RH,102.129
05/08/14 01:40:01 AM,%RH,103.083
05/08/14 02:00:01 AM,%RH,102.607
05/08/14 02:20:01 AM,%RH,102.607
05/08/14 02:40:01 AM,%RH,101.649
05/08/14 03:00:01 AM,%RH,102.607
05/08/14 03:20:01 AM,%RH,101.168
05/08/14 03:40:01 AM,%RH,101.649
05/08/14 04:00:01 AM,%RH,103.083
05/08/14 04:20:01 AM,%RH,102.607
05/08/14 04:40:01 AM,%RH,102.129
