1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000003382E541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:56:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:36:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10623
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:36:01 AM,%RH,101.657
04/08/14 04:56:01 AM,%RH,103.138
04/08/14 05:16:01 AM,%RH,102.645
04/08/14 05:36:01 AM,%RH,102.645
04/08/14 05:56:01 AM,%RH,102.645
04/08/14 06:16:01 AM,%RH,102.645
04/08/14 06:36:01 AM,%RH,102.152
04/08/14 06:56:01 AM,%RH,101.657
04/08/14 07:16:01 AM,%RH,101.657
04/08/14 07:36:01 AM,%RH,100.663
04/08/14 07:56:01 AM,%RH,101.161
04/08/14 08:16:01 AM,%RH,101.657
04/08/14 08:36:01 AM,%RH,100.663
04/08/14 08:56:01 AM,%RH,100.164
04/08/14 09:16:01 AM,%RH,100.164
04/08/14 09:36:01 AM,%RH,93.557
04/08/14 09:56:01 AM,%RH,71.813
04/08/14 10:16:01 AM,%RH,74.084
04/08/14 10:36:01 AM,%RH,71.243
04/08/14 10:56:01 AM,%RH,66.627
04/08/14 11:16:01 AM,%RH,60.141
04/08/14 11:36:01 AM,%RH,61.333
04/08/14 11:56:01 AM,%RH,54.715
04/08/14 12:16:01 PM,%RH,61.333
04/08/14 12:36:01 PM,%RH,60.738
04/08/14 12:56:01 PM,%RH,60.141
04/08/14 01:16:01 PM,%RH,54.715
04/08/14 01:36:01 PM,%RH,55.323
04/08/14 01:56:01 PM,%RH,58.344
04/08/14 02:16:01 PM,%RH,57.14
04/08/14 02:36:01 PM,%RH,60.738
04/08/14 02:56:01 PM,%RH,66.044
04/08/14 03:16:01 PM,%RH,71.243
04/08/14 03:36:01 PM,%RH,90.956
04/08/14 03:56:01 PM,%RH,97.65
04/08/14 04:16:01 PM,%RH,98.155
04/08/14 04:36:01 PM,%RH,99.664
04/08/14 04:56:01 PM,%RH,100.164
04/08/14 05:16:01 PM,%RH,100.663
04/08/14 05:36:01 PM,%RH,101.161
04/08/14 05:56:01 PM,%RH,101.161
