1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C2000000337B7C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:50:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:10:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10795
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:10:01 AM,%RH,103.245
04/08/14 04:30:01 AM,%RH,103.727
04/08/14 04:50:01 AM,%RH,103.245
04/08/14 05:10:01 AM,%RH,102.762
04/08/14 05:30:01 AM,%RH,103.245
04/08/14 05:50:01 AM,%RH,103.245
04/08/14 06:10:01 AM,%RH,103.727
04/08/14 06:30:01 AM,%RH,102.762
04/08/14 06:50:01 AM,%RH,102.762
04/08/14 07:10:01 AM,%RH,102.277
04/08/14 07:30:01 AM,%RH,101.304
04/08/14 07:50:01 AM,%RH,101.304
04/08/14 08:10:01 AM,%RH,100.815
04/08/14 08:30:01 AM,%RH,99.832
04/08/14 08:50:01 AM,%RH,97.85
04/08/14 09:10:01 AM,%RH,97.85
04/08/14 09:30:01 AM,%RH,93.306
04/08/14 09:50:01 AM,%RH,83.329
04/08/14 10:10:01 AM,%RH,73.397
04/08/14 10:30:01 AM,%RH,68.833
04/08/14 10:50:01 AM,%RH,65.349
04/08/14 11:10:01 AM,%RH,66.516
04/08/14 11:30:01 AM,%RH,64.176
04/08/14 11:50:01 AM,%RH,63.587
04/08/14 12:10:01 PM,%RH,62.997
04/08/14 12:30:01 PM,%RH,66.516
04/08/14 12:50:01 PM,%RH,60.026
04/08/14 01:10:01 PM,%RH,58.827
04/08/14 01:30:01 PM,%RH,58.225
04/08/14 01:50:01 PM,%RH,60.623
04/08/14 02:10:01 PM,%RH,62.406
04/08/14 02:30:01 PM,%RH,64.763
04/08/14 02:50:01 PM,%RH,62.997
04/08/14 03:10:01 PM,%RH,68.833
04/08/14 03:30:01 PM,%RH,82.79
04/08/14 03:50:01 PM,%RH,95.845
04/08/14 04:10:01 PM,%RH,100.324
04/08/14 04:30:01 PM,%RH,98.844
04/08/14 04:50:01 PM,%RH,99.832
04/08/14 05:10:01 PM,%RH,100.815
04/08/14 05:30:01 PM,%RH,101.304
