1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EF00000033760F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:23:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10788
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:23:01 PM,C,17.806
04/08/14 08:43:01 PM,C,17.367
04/08/14 09:03:01 PM,C,17.179
04/08/14 09:23:01 PM,C,16.991
04/08/14 09:43:01 PM,C,16.803
04/08/14 10:03:01 PM,C,16.741
04/08/14 10:23:01 PM,C,16.615
04/08/14 10:43:01 PM,C,16.678
04/08/14 11:03:01 PM,C,16.553
04/08/14 11:23:01 PM,C,16.49
04/08/14 11:43:01 PM,C,16.428
05/08/14 12:03:01 AM,C,16.428
05/08/14 12:23:01 AM,C,16.428
05/08/14 12:43:01 AM,C,16.49
05/08/14 01:03:01 AM,C,16.49
05/08/14 01:23:01 AM,C,16.553
05/08/14 01:43:01 AM,C,16.678
05/08/14 02:03:01 AM,C,16.678
05/08/14 02:23:01 AM,C,16.678
05/08/14 02:43:01 AM,C,16.49
05/08/14 03:03:01 AM,C,16.302
05/08/14 03:23:01 AM,C,16.365
05/08/14 03:43:01 AM,C,16.302
05/08/14 04:03:01 AM,C,16.302
05/08/14 04:23:01 AM,C,16.24
05/08/14 04:43:01 AM,C,16.24
05/08/14 05:03:01 AM,C,16.177
05/08/14 05:23:01 AM,C,16.177
05/08/14 05:43:01 AM,C,16.24
05/08/14 06:03:01 AM,C,16.866
05/08/14 06:23:01 AM,C,17.868
05/08/14 06:43:01 AM,C,18.62
05/08/14 07:03:01 AM,C,19.058
05/08/14 07:23:01 AM,C,19.684
05/08/14 07:43:01 AM,C,19.684
05/08/14 08:03:01 AM,C,20.497
05/08/14 08:23:01 AM,C,21.061
05/08/14 08:43:01 AM,C,21.936
05/08/14 09:03:01 AM,C,22.437
05/08/14 09:23:01 AM,C,23.062
05/08/14 09:43:01 AM,C,24.062
05/08/14 10:03:01 AM,C,26.25
05/08/14 10:23:01 AM,C,26
05/08/14 10:43:01 AM,C,26.062
05/08/14 11:03:01 AM,C,24.813
