1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 73000000337DBA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:05:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:45:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10783
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:45:01 AM,C,16.783
04/08/14 05:05:01 AM,C,16.846
04/08/14 05:25:01 AM,C,16.783
04/08/14 05:45:01 AM,C,16.783
04/08/14 06:05:01 AM,C,16.971
04/08/14 06:25:01 AM,C,17.597
04/08/14 06:45:01 AM,C,18.16
04/08/14 07:05:01 AM,C,18.598
04/08/14 07:25:01 AM,C,18.848
04/08/14 07:45:01 AM,C,19.286
04/08/14 08:05:01 AM,C,19.474
04/08/14 08:25:01 AM,C,20.037
04/08/14 08:45:01 AM,C,20.35
04/08/14 09:05:01 AM,C,20.725
04/08/14 09:25:01 AM,C,21.038
04/08/14 09:45:01 AM,C,21.663
04/08/14 10:05:01 AM,C,22.289
04/08/14 10:25:01 AM,C,27.413
04/08/14 10:45:01 AM,C,25.726
04/08/14 11:05:01 AM,C,24.789
04/08/14 11:25:01 AM,C,23.852
04/08/14 11:45:01 AM,C,23.789
04/08/14 12:05:01 PM,C,25.539
04/08/14 12:25:01 PM,C,26.289
04/08/14 12:45:01 PM,C,28.663
04/08/14 01:05:01 PM,C,35.278
04/08/14 01:25:01 PM,C,37.959
04/08/14 01:45:01 PM,C,35.527
04/08/14 02:05:01 PM,C,37.149
04/08/14 02:25:01 PM,C,33.095
04/08/14 02:45:01 PM,C,31.285
04/08/14 03:05:01 PM,C,27.476
04/08/14 03:25:01 PM,C,25.664
04/08/14 03:45:01 PM,C,23.852
04/08/14 04:05:01 PM,C,22.789
04/08/14 04:25:01 PM,C,22.789
04/08/14 04:45:01 PM,C,21.976
04/08/14 05:05:01 PM,C,21.163
04/08/14 05:25:01 PM,C,21.288
04/08/14 05:45:01 PM,C,20.913
04/08/14 06:05:01 PM,C,20.975
04/08/14 06:25:01 PM,C,20.725
04/08/14 06:45:01 PM,C,20.475
04/08/14 07:05:01 PM,C,20.475
04/08/14 07:25:01 PM,C,20.287
04/08/14 07:45:01 PM,C,20.287
04/08/14 08:05:01 PM,C,20.037
04/08/14 08:25:01 PM,C,19.537
04/08/14 08:45:01 PM,C,19.349
04/08/14 09:05:01 PM,C,18.973
04/08/14 09:25:01 PM,C,18.723
04/08/14 09:45:01 PM,C,18.661
04/08/14 10:05:01 PM,C,18.348
04/08/14 10:25:01 PM,C,18.285
04/08/14 10:45:01 PM,C,18.16
04/08/14 11:05:01 PM,C,18.223
04/08/14 11:25:01 PM,C,18.097
04/08/14 11:45:01 PM,C,18.097
05/08/14 12:05:01 AM,C,17.91
05/08/14 12:25:01 AM,C,17.847
05/08/14 12:45:01 AM,C,17.847
05/08/14 01:05:01 AM,C,17.91
05/08/14 01:25:01 AM,C,17.784
05/08/14 01:45:01 AM,C,17.784
05/08/14 02:05:01 AM,C,17.784
05/08/14 02:25:01 AM,C,17.659
05/08/14 02:45:01 AM,C,17.659
05/08/14 03:05:01 AM,C,17.597
05/08/14 03:25:01 AM,C,17.472
05/08/14 03:45:01 AM,C,17.409
05/08/14 04:05:01 AM,C,17.409
05/08/14 04:25:01 AM,C,17.409
05/08/14 04:45:01 AM,C,17.221
05/08/14 05:05:01 AM,C,17.159
05/08/14 05:25:01 AM,C,17.096
05/08/14 05:45:01 AM,C,17.159
05/08/14 06:05:01 AM,C,17.472
05/08/14 06:25:01 AM,C,17.91
05/08/14 06:45:01 AM,C,18.473
05/08/14 07:05:01 AM,C,19.099
05/08/14 07:25:01 AM,C,19.537
05/08/14 07:45:01 AM,C,19.912
05/08/14 08:05:01 AM,C,20.35
05/08/14 08:25:01 AM,C,20.725
05/08/14 08:45:01 AM,C,21.038
05/08/14 09:05:01 AM,C,21.538
05/08/14 09:25:01 AM,C,21.413
05/08/14 09:45:01 AM,C,22.101
05/08/14 10:05:01 AM,C,22.914
05/08/14 10:25:01 AM,C,22.726
