1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6B00000033768D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:53:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10832
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:53:01 PM,C,18.041
04/08/14 08:13:01 PM,C,17.728
04/08/14 08:33:01 PM,C,17.353
04/08/14 08:53:01 PM,C,17.102
04/08/14 09:13:01 PM,C,16.852
04/08/14 09:33:01 PM,C,16.664
04/08/14 09:53:01 PM,C,16.539
04/08/14 10:13:01 PM,C,16.414
04/08/14 10:33:01 PM,C,16.351
04/08/14 10:53:01 PM,C,16.226
04/08/14 11:13:01 PM,C,16.1
04/08/14 11:33:01 PM,C,15.912
04/08/14 11:53:01 PM,C,15.725
05/08/14 12:13:01 AM,C,15.787
05/08/14 12:33:01 AM,C,15.912
05/08/14 12:53:01 AM,C,15.975
05/08/14 01:13:01 AM,C,15.787
05/08/14 01:33:01 AM,C,15.85
05/08/14 01:53:01 AM,C,15.912
05/08/14 02:13:01 AM,C,15.975
05/08/14 02:33:01 AM,C,15.975
05/08/14 02:53:01 AM,C,15.912
05/08/14 03:13:01 AM,C,15.85
05/08/14 03:33:01 AM,C,15.85
05/08/14 03:53:01 AM,C,15.85
05/08/14 04:13:01 AM,C,15.85
05/08/14 04:33:01 AM,C,15.85
05/08/14 04:53:01 AM,C,15.725
05/08/14 05:13:01 AM,C,15.725
05/08/14 05:33:01 AM,C,15.725
05/08/14 05:53:01 AM,C,16.038
05/08/14 06:13:01 AM,C,18.48
05/08/14 06:33:01 AM,C,21.295
05/08/14 06:53:01 AM,C,23.234
05/08/14 07:13:01 AM,C,23.359
05/08/14 07:33:01 AM,C,24.109
05/08/14 07:53:01 AM,C,23.609
05/08/14 08:13:01 AM,C,23.859
05/08/14 08:33:01 AM,C,25.484
05/08/14 08:53:01 AM,C,25.047
05/08/14 09:13:01 AM,C,25.609
05/08/14 09:33:01 AM,C,24.109
05/08/14 09:53:01 AM,C,24.609
05/08/14 10:13:01 AM,C,25.172
05/08/14 10:33:01 AM,C,24.734
05/08/14 10:53:01 AM,C,24.422
05/08/14 11:13:01 AM,C,23.922
05/08/14 11:33:01 AM,C,24.359
05/08/14 11:53:01 AM,C,26.984
05/08/14 12:13:01 PM,C,25.984
05/08/14 12:33:01 PM,C,24.047
05/08/14 12:53:01 PM,C,26.422
05/08/14 01:13:01 PM,C,28.545
05/08/14 01:33:01 PM,C,25.172
05/08/14 01:53:01 PM,C,24.547
05/08/14 02:13:01 PM,C,24.234
05/08/14 02:33:01 PM,C,23.609
05/08/14 02:53:01 PM,C,23.359
05/08/14 03:13:01 PM,C,23.047
05/08/14 03:33:01 PM,C,22.859
05/08/14 03:53:01 PM,C,22.609
05/08/14 04:13:01 PM,C,21.733
05/08/14 04:33:01 PM,C,21.108
05/08/14 04:53:01 PM,C,20.732
05/08/14 05:13:01 PM,C,20.482
05/08/14 05:33:01 PM,C,20.169
05/08/14 05:53:01 PM,C,19.794
05/08/14 06:13:01 PM,C,19.293
05/08/14 06:33:01 PM,C,19.231
05/08/14 06:53:01 PM,C,18.605
05/08/14 07:13:01 PM,C,18.167
05/08/14 07:33:01 PM,C,17.603
05/08/14 07:53:01 PM,C,17.04
05/08/14 08:13:01 PM,C,16.601
05/08/14 08:33:01 PM,C,16.476
05/08/14 08:53:01 PM,C,16.288
05/08/14 09:13:01 PM,C,16.163
05/08/14 09:33:01 PM,C,16.163
05/08/14 09:53:01 PM,C,15.975
05/08/14 10:13:01 PM,C,15.787
05/08/14 10:33:01 PM,C,15.474
05/08/14 10:53:01 PM,C,15.411
05/08/14 11:13:01 PM,C,15.349
05/08/14 11:33:01 PM,C,15.474
05/08/14 11:53:01 PM,C,15.599
06/08/14 12:13:01 AM,C,15.537
06/08/14 12:33:01 AM,C,15.349
06/08/14 12:53:01 AM,C,15.411
06/08/14 01:13:01 AM,C,15.474
06/08/14 01:33:01 AM,C,15.599
06/08/14 01:53:01 AM,C,15.725
06/08/14 02:13:01 AM,C,15.725
06/08/14 02:33:01 AM,C,15.787
06/08/14 02:53:01 AM,C,15.85
06/08/14 03:13:01 AM,C,15.662
06/08/14 03:33:01 AM,C,15.725
06/08/14 03:53:01 AM,C,15.912
06/08/14 04:13:01 AM,C,16.288
06/08/14 04:33:01 AM,C,16.539
06/08/14 04:53:01 AM,C,16.727
06/08/14 05:13:01 AM,C,16.977
06/08/14 05:33:01 AM,C,17.102
06/08/14 05:53:01 AM,C,17.29
06/08/14 06:13:01 AM,C,17.478
06/08/14 06:33:01 AM,C,17.541
06/08/14 06:53:01 AM,C,17.353
06/08/14 07:13:01 AM,C,17.102
06/08/14 07:33:01 AM,C,17.228
06/08/14 07:53:01 AM,C,17.102
06/08/14 08:13:01 AM,C,17.165
06/08/14 08:33:01 AM,C,17.541
06/08/14 08:53:01 AM,C,18.041
06/08/14 09:13:01 AM,C,18.918
