1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 08000000337BD541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:53:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:33:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10717
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:33:01 AM,C,15.51
04/08/14 04:53:01 AM,C,15.635
04/08/14 05:13:01 AM,C,15.823
04/08/14 05:33:01 AM,C,15.76
04/08/14 05:53:01 AM,C,15.885
04/08/14 06:13:01 AM,C,16.199
04/08/14 06:33:01 AM,C,17.451
04/08/14 06:53:01 AM,C,17.951
04/08/14 07:13:01 AM,C,18.202
04/08/14 07:33:01 AM,C,18.765
04/08/14 07:53:01 AM,C,19.015
04/08/14 08:13:01 AM,C,19.641
04/08/14 08:33:01 AM,C,22.018
04/08/14 08:53:01 AM,C,23.269
04/08/14 09:13:01 AM,C,23.894
04/08/14 09:33:01 AM,C,24.769
04/08/14 09:53:01 AM,C,25.332
04/08/14 10:13:01 AM,C,26.394
04/08/14 10:33:01 AM,C,28.144
04/08/14 10:53:01 AM,C,29.518
04/08/14 11:13:01 AM,C,29.393
04/08/14 11:33:01 AM,C,29.018
04/08/14 11:53:01 AM,C,30.392
04/08/14 12:13:01 PM,C,30.142
04/08/14 12:33:01 PM,C,30.517
04/08/14 12:53:01 PM,C,30.267
04/08/14 01:13:01 PM,C,30.018
04/08/14 01:33:01 PM,C,29.705
04/08/14 01:53:01 PM,C,28.394
04/08/14 02:13:01 PM,C,27.832
04/08/14 02:33:01 PM,C,27.457
04/08/14 02:53:01 PM,C,27.394
04/08/14 03:13:01 PM,C,25.582
04/08/14 03:33:01 PM,C,23.519
04/08/14 03:53:01 PM,C,21.518
04/08/14 04:13:01 PM,C,20.767
04/08/14 04:33:01 PM,C,20.58
04/08/14 04:53:01 PM,C,19.704
04/08/14 05:13:01 PM,C,19.453
04/08/14 05:33:01 PM,C,19.141
04/08/14 05:53:01 PM,C,18.89
04/08/14 06:13:01 PM,C,18.828
04/08/14 06:33:01 PM,C,18.765
04/08/14 06:53:01 PM,C,18.703
04/08/14 07:13:01 PM,C,18.577
04/08/14 07:33:01 PM,C,18.577
04/08/14 07:53:01 PM,C,18.39
04/08/14 08:13:01 PM,C,18.202
04/08/14 08:33:01 PM,C,17.764
04/08/14 08:53:01 PM,C,17.325
04/08/14 09:13:01 PM,C,17.075
04/08/14 09:33:01 PM,C,16.887
04/08/14 09:53:01 PM,C,16.637
04/08/14 10:13:01 PM,C,16.512
04/08/14 10:33:01 PM,C,16.512
04/08/14 10:53:01 PM,C,16.512
04/08/14 11:13:01 PM,C,16.386
04/08/14 11:33:01 PM,C,16.324
04/08/14 11:53:01 PM,C,16.136
05/08/14 12:13:01 AM,C,16.136
05/08/14 12:33:01 AM,C,16.324
05/08/14 12:53:01 AM,C,16.386
05/08/14 01:13:01 AM,C,16.449
05/08/14 01:33:01 AM,C,16.386
05/08/14 01:53:01 AM,C,16.512
05/08/14 02:13:01 AM,C,16.449
05/08/14 02:33:01 AM,C,16.512
05/08/14 02:53:01 AM,C,16.261
05/08/14 03:13:01 AM,C,16.199
05/08/14 03:33:01 AM,C,16.136
05/08/14 03:53:01 AM,C,16.136
05/08/14 04:13:01 AM,C,16.073
05/08/14 04:33:01 AM,C,16.261
05/08/14 04:53:01 AM,C,16.199
05/08/14 05:13:01 AM,C,16.136
05/08/14 05:33:01 AM,C,16.136
05/08/14 05:53:01 AM,C,16.324
05/08/14 06:13:01 AM,C,16.762
05/08/14 06:33:01 AM,C,17.451
05/08/14 06:53:01 AM,C,18.327
05/08/14 07:13:01 AM,C,19.015
05/08/14 07:33:01 AM,C,19.391
05/08/14 07:53:01 AM,C,19.203
05/08/14 08:13:01 AM,C,20.079
05/08/14 08:33:01 AM,C,22.018
05/08/14 08:53:01 AM,C,22.519
05/08/14 09:13:01 AM,C,23.519
05/08/14 09:33:01 AM,C,23.269
05/08/14 09:53:01 AM,C,24.394
05/08/14 10:13:01 AM,C,26.644
05/08/14 10:33:01 AM,C,25.895
05/08/14 10:53:01 AM,C,25.457
05/08/14 11:13:01 AM,C,25.332
05/08/14 11:33:01 AM,C,25.645
05/08/14 11:53:01 AM,C,26.519
05/08/14 12:13:01 PM,C,26.144
05/08/14 12:33:01 PM,C,26.332
05/08/14 12:53:01 PM,C,29.018
05/08/14 01:13:01 PM,C,29.268
05/08/14 01:33:01 PM,C,26.207
05/08/14 01:53:01 PM,C,25.27
05/08/14 02:13:01 PM,C,25.27
05/08/14 02:33:01 PM,C,24.832
05/08/14 02:53:01 PM,C,25.582
05/08/14 03:13:01 PM,C,25.02
05/08/14 03:33:01 PM,C,25.145
05/08/14 03:53:01 PM,C,24.394
05/08/14 04:13:01 PM,C,23.081
05/08/14 04:33:01 PM,C,22.269
05/08/14 04:53:01 PM,C,21.768
05/08/14 05:13:01 PM,C,21.08
05/08/14 05:33:01 PM,C,20.455
05/08/14 05:53:01 PM,C,19.829
05/08/14 06:13:01 PM,C,19.203
05/08/14 06:33:01 PM,C,18.765
05/08/14 06:53:01 PM,C,18.39
05/08/14 07:13:01 PM,C,18.139
05/08/14 07:33:01 PM,C,17.638
