1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3B0000003378D941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:23:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:43:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10780
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:43:01 AM,C,15.559
04/08/14 05:03:01 AM,C,15.746
04/08/14 05:23:01 AM,C,15.809
04/08/14 05:43:01 AM,C,15.809
04/08/14 06:03:01 AM,C,16.122
04/08/14 06:23:01 AM,C,16.997
04/08/14 06:43:01 AM,C,18.311
04/08/14 07:03:01 AM,C,19.499
04/08/14 07:23:01 AM,C,19.749
04/08/14 07:43:01 AM,C,20.749
04/08/14 08:03:01 AM,C,21.937
04/08/14 08:23:01 AM,C,23.875
04/08/14 08:43:01 AM,C,23.312
04/08/14 09:03:01 AM,C,22.25
04/08/14 09:23:01 AM,C,22.562
04/08/14 09:43:01 AM,C,23.437
04/08/14 10:03:01 AM,C,24.25
04/08/14 10:23:01 AM,C,24.313
04/08/14 10:43:01 AM,C,24.875
04/08/14 11:03:01 AM,C,25.063
04/08/14 11:23:01 AM,C,25.375
04/08/14 11:43:01 AM,C,26.562
04/08/14 12:03:01 PM,C,26.687
04/08/14 12:23:01 PM,C,26.25
04/08/14 12:43:01 PM,C,26
04/08/14 01:03:01 PM,C,26
04/08/14 01:23:01 PM,C,26.875
04/08/14 01:43:01 PM,C,27.25
04/08/14 02:03:01 PM,C,27.437
04/08/14 02:23:01 PM,C,27.812
04/08/14 02:43:01 PM,C,27.187
04/08/14 03:03:01 PM,C,27.375
04/08/14 03:23:01 PM,C,24.625
04/08/14 03:43:01 PM,C,22.25
04/08/14 04:03:01 PM,C,21.062
04/08/14 04:23:01 PM,C,20.562
04/08/14 04:43:01 PM,C,20.124
04/08/14 05:03:01 PM,C,19.874
04/08/14 05:23:01 PM,C,19.436
04/08/14 05:43:01 PM,C,19.311
04/08/14 06:03:01 PM,C,19.249
04/08/14 06:23:01 PM,C,19.249
04/08/14 06:43:01 PM,C,19.249
04/08/14 07:03:01 PM,C,19.249
04/08/14 07:23:01 PM,C,19.061
04/08/14 07:43:01 PM,C,18.874
04/08/14 08:03:01 PM,C,18.561
04/08/14 08:23:01 PM,C,18.186
04/08/14 08:43:01 PM,C,17.81
04/08/14 09:03:01 PM,C,17.56
04/08/14 09:23:01 PM,C,17.31
04/08/14 09:43:01 PM,C,16.997
04/08/14 10:03:01 PM,C,16.747
04/08/14 10:23:01 PM,C,16.685
04/08/14 10:43:01 PM,C,16.56
04/08/14 11:03:01 PM,C,16.497
04/08/14 11:23:01 PM,C,16.309
04/08/14 11:43:01 PM,C,16.059
05/08/14 12:03:01 AM,C,15.997
05/08/14 12:23:01 AM,C,16.059
05/08/14 12:43:01 AM,C,16.309
05/08/14 01:03:01 AM,C,16.372
05/08/14 01:23:01 AM,C,16.247
05/08/14 01:43:01 AM,C,16.435
05/08/14 02:03:01 AM,C,16.56
05/08/14 02:23:01 AM,C,16.309
05/08/14 02:43:01 AM,C,16.247
05/08/14 03:03:01 AM,C,16.247
05/08/14 03:23:01 AM,C,16.122
05/08/14 03:43:01 AM,C,15.934
05/08/14 04:03:01 AM,C,15.997
05/08/14 04:23:01 AM,C,15.934
05/08/14 04:43:01 AM,C,15.934
05/08/14 05:03:01 AM,C,15.934
05/08/14 05:23:01 AM,C,15.872
05/08/14 05:43:01 AM,C,15.809
05/08/14 06:03:01 AM,C,16.122
05/08/14 06:23:01 AM,C,17.06
05/08/14 06:43:01 AM,C,18.248
05/08/14 07:03:01 AM,C,19.374
05/08/14 07:23:01 AM,C,20.187
05/08/14 07:43:01 AM,C,21.249
05/08/14 08:03:01 AM,C,22.437
05/08/14 08:23:01 AM,C,24
05/08/14 08:43:01 AM,C,23.062
05/08/14 09:03:01 AM,C,22.937
05/08/14 09:23:01 AM,C,23.687
05/08/14 09:43:01 AM,C,24.5
05/08/14 10:03:01 AM,C,24.688
05/08/14 10:23:01 AM,C,25
05/08/14 10:43:01 AM,C,25.625
05/08/14 11:03:01 AM,C,25.437
05/08/14 11:23:01 AM,C,24.875
05/08/14 11:43:01 AM,C,25.063
05/08/14 12:03:01 PM,C,25.25
05/08/14 12:23:01 PM,C,24.813
05/08/14 12:43:01 PM,C,25.5
05/08/14 01:03:01 PM,C,26.937
05/08/14 01:23:01 PM,C,26.687
05/08/14 01:43:01 PM,C,25.313
05/08/14 02:03:01 PM,C,25
05/08/14 02:23:01 PM,C,25.437
05/08/14 02:43:01 PM,C,26
05/08/14 03:03:01 PM,C,26.812
05/08/14 03:23:01 PM,C,27.187
05/08/14 03:43:01 PM,C,25.687
05/08/14 04:03:01 PM,C,24.188
05/08/14 04:23:01 PM,C,23.062
05/08/14 04:43:01 PM,C,22.437
05/08/14 05:03:01 PM,C,21.687
05/08/14 05:23:01 PM,C,20.999
05/08/14 05:43:01 PM,C,20.374
