1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E00000033797641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:38:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:38:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10722
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:38:01 PM,C,17.488
04/08/14 07:58:01 PM,C,17.363
04/08/14 08:18:01 PM,C,16.549
04/08/14 08:38:01 PM,C,16.298
04/08/14 08:58:01 PM,C,15.985
04/08/14 09:18:01 PM,C,15.797
04/08/14 09:38:01 PM,C,15.546
04/08/14 09:58:01 PM,C,15.483
04/08/14 10:18:01 PM,C,15.42
04/08/14 10:38:01 PM,C,15.483
04/08/14 10:58:01 PM,C,15.358
04/08/14 11:18:01 PM,C,15.42
04/08/14 11:38:01 PM,C,15.107
04/08/14 11:58:01 PM,C,15.17
05/08/14 12:18:01 AM,C,15.232
05/08/14 12:38:01 AM,C,15.42
05/08/14 12:58:01 AM,C,15.483
05/08/14 01:18:01 AM,C,15.295
05/08/14 01:38:01 AM,C,15.483
05/08/14 01:58:01 AM,C,15.734
05/08/14 02:18:01 AM,C,15.483
05/08/14 02:38:01 AM,C,15.232
05/08/14 02:58:01 AM,C,15.044
05/08/14 03:18:01 AM,C,15.044
05/08/14 03:38:01 AM,C,14.982
05/08/14 03:58:01 AM,C,15.107
05/08/14 04:18:01 AM,C,15.107
05/08/14 04:38:01 AM,C,14.982
05/08/14 04:58:01 AM,C,15.044
05/08/14 05:18:01 AM,C,14.982
05/08/14 05:38:01 AM,C,15.044
05/08/14 05:58:01 AM,C,16.298
05/08/14 06:18:01 AM,C,19.618
05/08/14 06:38:01 AM,C,21.183
05/08/14 06:58:01 AM,C,22.434
05/08/14 07:18:01 AM,C,23.185
05/08/14 07:38:01 AM,C,23.497
05/08/14 07:58:01 AM,C,24.435
05/08/14 08:18:01 AM,C,25.186
05/08/14 08:38:01 AM,C,26.998
05/08/14 08:58:01 AM,C,28.185
05/08/14 09:18:01 AM,C,26.56
05/08/14 09:38:01 AM,C,26.435
05/08/14 09:58:01 AM,C,29.683
05/08/14 10:18:01 AM,C,28.872
05/08/14 10:38:01 AM,C,28.122
05/08/14 10:58:01 AM,C,26.248
05/08/14 11:18:01 AM,C,25.873
05/08/14 11:38:01 AM,C,27.685
05/08/14 11:58:01 AM,C,29.746
05/08/14 12:18:01 PM,C,27.248
05/08/14 12:38:01 PM,C,27.56
05/08/14 12:58:01 PM,C,30.37
05/08/14 01:18:01 PM,C,29.184
05/08/14 01:38:01 PM,C,24.998
05/08/14 01:58:01 PM,C,26.435
05/08/14 02:18:01 PM,C,27.31
05/08/14 02:38:01 PM,C,27.747
05/08/14 02:58:01 PM,C,28.622
05/08/14 03:18:01 PM,C,27.123
05/08/14 03:38:01 PM,C,27.872
05/08/14 03:58:01 PM,C,22.934
05/08/14 04:18:01 PM,C,21.433
05/08/14 04:38:01 PM,C,20.932
05/08/14 04:58:01 PM,C,20.306
05/08/14 05:18:01 PM,C,19.555
05/08/14 05:38:01 PM,C,19.179
05/08/14 05:58:01 PM,C,18.741
05/08/14 06:18:01 PM,C,18.177
05/08/14 06:38:01 PM,C,17.927
05/08/14 06:58:01 PM,C,17.113
05/08/14 07:18:01 PM,C,16.611
05/08/14 07:38:01 PM,C,16.047
05/08/14 07:58:01 PM,C,15.671
05/08/14 08:18:01 PM,C,15.609
05/08/14 08:38:01 PM,C,15.546
05/08/14 08:58:01 PM,C,15.42
05/08/14 09:18:01 PM,C,15.17
05/08/14 09:38:01 PM,C,15.044
05/08/14 09:58:01 PM,C,14.543
05/08/14 10:18:01 PM,C,14.041
05/08/14 10:38:01 PM,C,13.602
05/08/14 10:58:01 PM,C,13.665
05/08/14 11:18:01 PM,C,13.728
05/08/14 11:38:01 PM,C,13.978
05/08/14 11:58:01 PM,C,13.916
06/08/14 12:18:01 AM,C,13.853
06/08/14 12:38:01 AM,C,13.665
06/08/14 12:58:01 AM,C,13.916
06/08/14 01:18:01 AM,C,14.041
06/08/14 01:38:01 AM,C,14.292
06/08/14 01:58:01 AM,C,14.605
06/08/14 02:18:01 AM,C,14.731
06/08/14 02:38:01 AM,C,14.856
06/08/14 02:58:01 AM,C,14.919
06/08/14 03:18:01 AM,C,14.794
06/08/14 03:38:01 AM,C,15.17
06/08/14 03:58:01 AM,C,15.797
06/08/14 04:18:01 AM,C,16.298
06/08/14 04:38:01 AM,C,16.549
06/08/14 04:58:01 AM,C,16.549
06/08/14 05:18:01 AM,C,16.737
06/08/14 05:38:01 AM,C,16.799
06/08/14 05:58:01 AM,C,16.925
06/08/14 06:18:01 AM,C,17.113
06/08/14 06:38:01 AM,C,17.3
06/08/14 06:58:01 AM,C,17.113
06/08/14 07:18:01 AM,C,17.113
06/08/14 07:38:01 AM,C,16.925
06/08/14 07:58:01 AM,C,17.113
06/08/14 08:18:01 AM,C,17.551
06/08/14 08:38:01 AM,C,18.24
06/08/14 08:58:01 AM,C,19.117
06/08/14 09:18:01 AM,C,20.745
06/08/14 09:38:01 AM,C,22.059
06/08/14 09:58:01 AM,C,23.185
06/08/14 10:18:01 AM,C,25.561
06/08/14 10:38:01 AM,C,25.436
06/08/14 10:58:01 AM,C,27.685
06/08/14 11:18:01 AM,C,27.685
06/08/14 11:38:01 AM,C,29.496
06/08/14 11:58:01 AM,C,25.436
06/08/14 12:18:01 PM,C,24.748
06/08/14 12:38:01 PM,C,24.185
06/08/14 12:58:01 PM,C,23.122
06/08/14 01:18:01 PM,C,23.122
06/08/14 01:38:01 PM,C,26.248
06/08/14 01:58:01 PM,C,26.56
06/08/14 02:18:01 PM,C,22.997
06/08/14 02:38:01 PM,C,24.373
06/08/14 02:58:01 PM,C,22.997
06/08/14 03:18:01 PM,C,22.872
06/08/14 03:38:01 PM,C,22.371
06/08/14 03:58:01 PM,C,22.497
06/08/14 04:18:01 PM,C,22.872
06/08/14 04:38:01 PM,C,21.37
06/08/14 04:58:01 PM,C,20.682
06/08/14 05:18:01 PM,C,20.119
06/08/14 05:38:01 PM,C,19.242
06/08/14 05:58:01 PM,C,18.24
06/08/14 06:18:01 PM,C,17.864
06/08/14 06:38:01 PM,C,18.177
06/08/14 06:58:01 PM,C,17.676
06/08/14 07:18:01 PM,C,17.175
06/08/14 07:38:01 PM,C,16.987
06/08/14 07:58:01 PM,C,16.737
06/08/14 08:18:01 PM,C,16.361
06/08/14 08:38:01 PM,C,16.235
06/08/14 08:58:01 PM,C,15.985
06/08/14 09:18:01 PM,C,15.797
06/08/14 09:38:01 PM,C,15.671
06/08/14 09:58:01 PM,C,15.609
06/08/14 10:18:01 PM,C,15.609
06/08/14 10:38:01 PM,C,15.483
06/08/14 10:58:01 PM,C,15.546
06/08/14 11:18:01 PM,C,15.295
06/08/14 11:38:01 PM,C,15.546
06/08/14 11:58:01 PM,C,15.985
07/08/14 12:18:01 AM,C,16.173
07/08/14 12:38:01 AM,C,15.609
07/08/14 12:58:01 AM,C,15.358
07/08/14 01:18:01 AM,C,15.358
07/08/14 01:38:01 AM,C,14.982
07/08/14 01:58:01 AM,C,14.856
07/08/14 02:18:01 AM,C,14.794
07/08/14 02:38:01 AM,C,14.856
07/08/14 02:58:01 AM,C,14.731
07/08/14 03:18:01 AM,C,14.543
07/08/14 03:38:01 AM,C,14.292
07/08/14 03:58:01 AM,C,14.417
07/08/14 04:18:01 AM,C,14.48
07/08/14 04:38:01 AM,C,14.668
07/08/14 04:58:01 AM,C,14.417
07/08/14 05:18:01 AM,C,14.104
07/08/14 05:38:01 AM,C,14.794
07/08/14 05:58:01 AM,C,15.483
