1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2B000000337A7341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:20:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:00:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10753
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:00:01 PM,C,16.891
04/08/14 08:20:01 PM,C,16.453
04/08/14 08:40:01 PM,C,16.328
04/08/14 09:00:01 PM,C,16.203
04/08/14 09:20:01 PM,C,16.078
04/08/14 09:40:01 PM,C,16.015
04/08/14 10:00:01 PM,C,15.828
04/08/14 10:20:01 PM,C,15.828
04/08/14 10:40:01 PM,C,15.89
04/08/14 11:00:01 PM,C,15.765
04/08/14 11:20:01 PM,C,16.14
04/08/14 11:40:01 PM,C,15.765
05/08/14 12:00:01 AM,C,15.265
05/08/14 12:20:01 AM,C,15.202
05/08/14 12:40:01 AM,C,15.39
05/08/14 01:00:01 AM,C,15.577
05/08/14 01:20:01 AM,C,15.765
05/08/14 01:40:01 AM,C,16.015
05/08/14 02:00:01 AM,C,16.14
05/08/14 02:20:01 AM,C,16.015
05/08/14 02:40:01 AM,C,15.828
05/08/14 03:00:01 AM,C,15.703
05/08/14 03:20:01 AM,C,15.765
05/08/14 03:40:01 AM,C,15.828
05/08/14 04:00:01 AM,C,15.765
05/08/14 04:20:01 AM,C,15.765
05/08/14 04:40:01 AM,C,16.203
05/08/14 05:00:01 AM,C,16.015
05/08/14 05:20:01 AM,C,15.765
05/08/14 05:40:01 AM,C,15.765
05/08/14 06:00:01 AM,C,19.829
05/08/14 06:20:01 AM,C,22.767
05/08/14 06:40:01 AM,C,25.518
05/08/14 07:00:01 AM,C,27.455
05/08/14 07:20:01 AM,C,28.267
05/08/14 07:40:01 AM,C,28.58
05/08/14 08:00:01 AM,C,29.767
05/08/14 08:20:01 AM,C,29.704
05/08/14 08:40:01 AM,C,29.454
05/08/14 09:00:01 AM,C,31.141
05/08/14 09:20:01 AM,C,28.08
05/08/14 09:40:01 AM,C,27.767
05/08/14 10:00:01 AM,C,29.642
05/08/14 10:20:01 AM,C,27.642
05/08/14 10:40:01 AM,C,27.455
05/08/14 11:00:01 AM,C,26.268
05/08/14 11:20:01 AM,C,26.33
05/08/14 11:40:01 AM,C,27.455
05/08/14 12:00:01 PM,C,27.33
05/08/14 12:20:01 PM,C,24.83
05/08/14 12:40:01 PM,C,27.142
05/08/14 01:00:01 PM,C,28.767
05/08/14 01:20:01 PM,C,25.768
05/08/14 01:40:01 PM,C,23.143
05/08/14 02:00:01 PM,C,22.58
05/08/14 02:20:01 PM,C,23.143
05/08/14 02:40:01 PM,C,23.017
05/08/14 03:00:01 PM,C,23.205
05/08/14 03:20:01 PM,C,23.268
05/08/14 03:40:01 PM,C,22.767
05/08/14 04:00:01 PM,C,21.83
05/08/14 04:20:01 PM,C,21.08
05/08/14 04:40:01 PM,C,20.892
05/08/14 05:00:01 PM,C,20.392
05/08/14 05:20:01 PM,C,19.829
05/08/14 05:40:01 PM,C,19.142
05/08/14 06:00:01 PM,C,18.079
05/08/14 06:20:01 PM,C,17.954
05/08/14 06:40:01 PM,C,18.329
05/08/14 07:00:01 PM,C,18.516
05/08/14 07:20:01 PM,C,18.204
05/08/14 07:40:01 PM,C,18.016
05/08/14 08:00:01 PM,C,16.953
05/08/14 08:20:01 PM,C,17.203
05/08/14 08:40:01 PM,C,17.453
05/08/14 09:00:01 PM,C,17.328
05/08/14 09:20:01 PM,C,16.14
05/08/14 09:40:01 PM,C,17.891
05/08/14 10:00:01 PM,C,17.954
