1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 19000000337AD141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:50:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:30:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10707
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:30:01 PM,C,16.95
04/08/14 08:50:01 PM,C,16.574
04/08/14 09:10:01 PM,C,16.261
04/08/14 09:30:01 PM,C,16.073
04/08/14 09:50:01 PM,C,15.823
04/08/14 10:10:01 PM,C,15.635
04/08/14 10:30:01 PM,C,15.51
04/08/14 10:50:01 PM,C,15.635
04/08/14 11:10:01 PM,C,15.572
04/08/14 11:30:01 PM,C,15.51
04/08/14 11:50:01 PM,C,15.259
05/08/14 12:10:01 AM,C,15.197
05/08/14 12:30:01 AM,C,15.134
05/08/14 12:50:01 AM,C,15.384
05/08/14 01:10:01 AM,C,15.635
05/08/14 01:30:01 AM,C,15.51
05/08/14 01:50:01 AM,C,15.447
05/08/14 02:10:01 AM,C,15.447
05/08/14 02:30:01 AM,C,15.384
05/08/14 02:50:01 AM,C,15.197
05/08/14 03:10:01 AM,C,15.259
05/08/14 03:30:01 AM,C,15.197
05/08/14 03:50:01 AM,C,15.134
05/08/14 04:10:01 AM,C,15.322
05/08/14 04:30:01 AM,C,15.322
05/08/14 04:50:01 AM,C,15.134
05/08/14 05:10:01 AM,C,15.134
05/08/14 05:30:01 AM,C,15.071
05/08/14 05:50:01 AM,C,15.384
05/08/14 06:10:01 AM,C,17.138
05/08/14 06:30:01 AM,C,19.14
05/08/14 06:50:01 AM,C,20.642
05/08/14 07:10:01 AM,C,20.642
05/08/14 07:30:01 AM,C,19.891
05/08/14 07:50:01 AM,C,20.079
05/08/14 08:10:01 AM,C,21.268
05/08/14 08:30:01 AM,C,23.769
05/08/14 08:50:01 AM,C,24.957
05/08/14 09:10:01 AM,C,26.394
05/08/14 09:30:01 AM,C,24.707
05/08/14 09:50:01 AM,C,26.707
05/08/14 10:10:01 AM,C,27.269
05/08/14 10:30:01 AM,C,25.207
05/08/14 10:50:01 AM,C,25.27
05/08/14 11:10:01 AM,C,25.27
05/08/14 11:30:01 AM,C,25.832
05/08/14 11:50:01 AM,C,29.018
05/08/14 12:10:01 PM,C,26.394
05/08/14 12:30:01 PM,C,24.332
05/08/14 12:50:01 PM,C,28.331
05/08/14 01:10:01 PM,C,28.206
05/08/14 01:30:01 PM,C,24.332
05/08/14 01:50:01 PM,C,23.707
05/08/14 02:10:01 PM,C,24.707
05/08/14 02:30:01 PM,C,24.269
05/08/14 02:50:01 PM,C,25.145
05/08/14 03:10:01 PM,C,24.207
05/08/14 03:30:01 PM,C,24.144
05/08/14 03:50:01 PM,C,23.081
05/08/14 04:10:01 PM,C,21.58
05/08/14 04:30:01 PM,C,21.455
05/08/14 04:50:01 PM,C,21.017
05/08/14 05:10:01 PM,C,20.517
05/08/14 05:30:01 PM,C,20.142
05/08/14 05:50:01 PM,C,19.641
05/08/14 06:10:01 PM,C,19.14
