1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C4000000337D1F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:17:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:37:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10828
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:37:01 PM,C,19.107
04/08/14 07:57:01 PM,C,18.669
04/08/14 08:17:01 PM,C,18.356
04/08/14 08:37:01 PM,C,18.044
04/08/14 08:57:01 PM,C,17.668
04/08/14 09:17:01 PM,C,17.543
04/08/14 09:37:01 PM,C,17.418
04/08/14 09:57:01 PM,C,17.293
04/08/14 10:17:01 PM,C,17.293
04/08/14 10:37:01 PM,C,16.918
04/08/14 10:57:01 PM,C,16.792
04/08/14 11:17:01 PM,C,16.542
04/08/14 11:37:01 PM,C,16.918
04/08/14 11:57:01 PM,C,16.792
05/08/14 12:17:01 AM,C,16.855
05/08/14 12:37:01 AM,C,16.855
05/08/14 12:57:01 AM,C,16.98
05/08/14 01:17:01 AM,C,16.98
05/08/14 01:37:01 AM,C,16.73
05/08/14 01:57:01 AM,C,16.667
05/08/14 02:17:01 AM,C,16.667
05/08/14 02:37:01 AM,C,16.667
05/08/14 02:57:01 AM,C,16.605
05/08/14 03:17:01 AM,C,16.542
05/08/14 03:37:01 AM,C,16.48
05/08/14 03:57:01 AM,C,16.605
05/08/14 04:17:01 AM,C,16.542
05/08/14 04:37:01 AM,C,16.292
05/08/14 04:57:01 AM,C,16.542
05/08/14 05:17:01 AM,C,16.292
05/08/14 05:37:01 AM,C,16.104
05/08/14 05:57:01 AM,C,16.667
05/08/14 06:17:01 AM,C,18.106
05/08/14 06:37:01 AM,C,20.421
05/08/14 06:57:01 AM,C,21.984
05/08/14 07:17:01 AM,C,24.047
05/08/14 07:37:01 AM,C,26.359
05/08/14 07:57:01 AM,C,27.796
05/08/14 08:17:01 AM,C,29.42
05/08/14 08:37:01 AM,C,30.919
05/08/14 08:57:01 AM,C,31.793
05/08/14 09:17:01 AM,C,33.479
05/08/14 09:37:01 AM,C,34.041
05/08/14 09:57:01 AM,C,30.919
05/08/14 10:17:01 AM,C,29.108
05/08/14 10:37:01 AM,C,29.608
05/08/14 10:57:01 AM,C,28.296
05/08/14 11:17:01 AM,C,28.546
05/08/14 11:37:01 AM,C,28.608
05/08/14 11:57:01 AM,C,28.608
05/08/14 12:17:01 PM,C,28.171
05/08/14 12:37:01 PM,C,31.169
05/08/14 12:57:01 PM,C,34.415
05/08/14 01:17:01 PM,C,33.541
05/08/14 01:37:01 PM,C,29.295
05/08/14 01:57:01 PM,C,28.109
05/08/14 02:17:01 PM,C,29.108
05/08/14 02:37:01 PM,C,31.981
05/08/14 02:57:01 PM,C,31.419
05/08/14 03:17:01 PM,C,32.605
05/08/14 03:37:01 PM,C,29.733
05/08/14 03:57:01 PM,C,26.234
05/08/14 04:17:01 PM,C,25.797
05/08/14 04:37:01 PM,C,25.484
05/08/14 04:57:01 PM,C,22.859
05/08/14 05:17:01 PM,C,21.421
05/08/14 05:37:01 PM,C,20.671
05/08/14 05:57:01 PM,C,19.733
05/08/14 06:17:01 PM,C,19.232
05/08/14 06:37:01 PM,C,18.919
05/08/14 06:57:01 PM,C,18.732
05/08/14 07:17:01 PM,C,18.419
05/08/14 07:37:01 PM,C,18.231
05/08/14 07:57:01 PM,C,17.919
05/08/14 08:17:01 PM,C,17.668
05/08/14 08:37:01 PM,C,17.356
05/08/14 08:57:01 PM,C,17.481
05/08/14 09:17:01 PM,C,17.23
05/08/14 09:37:01 PM,C,16.855
05/08/14 09:57:01 PM,C,16.792
