1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 93000000337B3341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:15:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:55:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10736
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:55:01 PM,C,19.182
04/08/14 08:15:01 PM,C,18.806
04/08/14 08:35:01 PM,C,18.556
04/08/14 08:55:01 PM,C,18.118
04/08/14 09:15:01 PM,C,17.93
04/08/14 09:35:01 PM,C,17.805
04/08/14 09:55:01 PM,C,17.68
04/08/14 10:15:01 PM,C,17.555
04/08/14 10:35:01 PM,C,17.555
04/08/14 10:55:01 PM,C,17.304
04/08/14 11:15:01 PM,C,16.991
04/08/14 11:35:01 PM,C,16.991
04/08/14 11:55:01 PM,C,17.242
05/08/14 12:15:01 AM,C,17.116
05/08/14 12:35:01 AM,C,17.179
05/08/14 12:55:01 AM,C,17.179
05/08/14 01:15:01 AM,C,17.054
05/08/14 01:35:01 AM,C,17.054
05/08/14 01:55:01 AM,C,17.054
05/08/14 02:15:01 AM,C,16.928
05/08/14 02:35:01 AM,C,16.678
05/08/14 02:55:01 AM,C,16.803
05/08/14 03:15:01 AM,C,16.803
05/08/14 03:35:01 AM,C,16.803
05/08/14 03:55:01 AM,C,16.803
05/08/14 04:15:01 AM,C,16.741
05/08/14 04:35:01 AM,C,16.49
05/08/14 04:55:01 AM,C,16.553
05/08/14 05:15:01 AM,C,16.428
05/08/14 05:35:01 AM,C,16.365
05/08/14 05:55:01 AM,C,16.49
05/08/14 06:15:01 AM,C,17.367
05/08/14 06:35:01 AM,C,18.18
05/08/14 06:55:01 AM,C,18.994
05/08/14 07:15:01 AM,C,19.432
05/08/14 07:35:01 AM,C,19.933
05/08/14 07:55:01 AM,C,20.558
05/08/14 08:15:01 AM,C,20.996
05/08/14 08:35:01 AM,C,25.561
05/08/14 08:55:01 AM,C,29.434
05/08/14 09:15:01 AM,C,32.431
05/08/14 09:35:01 AM,C,33.616
05/08/14 09:55:01 AM,C,29.933
05/08/14 10:15:01 AM,C,28.497
05/08/14 10:35:01 AM,C,28.747
05/08/14 10:55:01 AM,C,28.684
05/08/14 11:15:01 AM,C,27.685
05/08/14 11:35:01 AM,C,27.435
05/08/14 11:55:01 AM,C,27.747
05/08/14 12:15:01 PM,C,27.56
05/08/14 12:35:01 PM,C,27.435
05/08/14 12:55:01 PM,C,28.934
05/08/14 01:15:01 PM,C,29.809
05/08/14 01:35:01 PM,C,27.81
05/08/14 01:55:01 PM,C,26.498
05/08/14 02:15:01 PM,C,27.248
05/08/14 02:35:01 PM,C,29.434
05/08/14 02:55:01 PM,C,29.247
05/08/14 03:15:01 PM,C,31.619
05/08/14 03:35:01 PM,C,29.746
05/08/14 03:55:01 PM,C,25.686
05/08/14 04:15:01 PM,C,24.686
05/08/14 04:35:01 PM,C,24.31
05/08/14 04:55:01 PM,C,23.185
05/08/14 05:15:01 PM,C,22.122
05/08/14 05:35:01 PM,C,21.497
05/08/14 05:55:01 PM,C,20.558
05/08/14 06:15:01 PM,C,19.808
05/08/14 06:35:01 PM,C,19.37
05/08/14 06:55:01 PM,C,19.244
05/08/14 07:15:01 PM,C,18.869
05/08/14 07:35:01 PM,C,18.681
05/08/14 07:55:01 PM,C,18.493
05/08/14 08:15:01 PM,C,18.306
05/08/14 08:35:01 PM,C,17.867
05/08/14 08:55:01 PM,C,17.555
05/08/14 09:15:01 PM,C,17.492
05/08/14 09:35:01 PM,C,17.555
05/08/14 09:55:01 PM,C,17.054
05/08/14 10:15:01 PM,C,16.928
05/08/14 10:35:01 PM,C,16.803
05/08/14 10:55:01 PM,C,16.741
05/08/14 11:15:01 PM,C,16.177
05/08/14 11:35:01 PM,C,15.801
05/08/14 11:55:01 PM,C,15.676
06/08/14 12:15:01 AM,C,15.551
06/08/14 12:35:01 AM,C,15.551
06/08/14 12:55:01 AM,C,15.614
06/08/14 01:15:01 AM,C,15.801
06/08/14 01:35:01 AM,C,16.052
06/08/14 01:55:01 AM,C,15.739
06/08/14 02:15:01 AM,C,15.739
06/08/14 02:35:01 AM,C,15.551
06/08/14 02:55:01 AM,C,15.801
06/08/14 03:15:01 AM,C,15.927
06/08/14 03:35:01 AM,C,16.365
06/08/14 03:55:01 AM,C,16.553
06/08/14 04:15:01 AM,C,16.928
06/08/14 04:35:01 AM,C,17.179
06/08/14 04:55:01 AM,C,17.617
06/08/14 05:15:01 AM,C,18.055
06/08/14 05:35:01 AM,C,17.993
06/08/14 05:55:01 AM,C,18.055
06/08/14 06:15:01 AM,C,18.431
06/08/14 06:35:01 AM,C,18.806
06/08/14 06:55:01 AM,C,18.493
06/08/14 07:15:01 AM,C,18.243
06/08/14 07:35:01 AM,C,18.619
06/08/14 07:55:01 AM,C,18.931
06/08/14 08:15:01 AM,C,19.182
06/08/14 08:35:01 AM,C,19.495
06/08/14 08:55:01 AM,C,21.121
06/08/14 09:15:01 AM,C,21.997
06/08/14 09:35:01 AM,C,25.686
06/08/14 09:55:01 AM,C,26.873
06/08/14 10:15:01 AM,C,28.31
06/08/14 10:35:01 AM,C,29.247
06/08/14 10:55:01 AM,C,30.308
06/08/14 11:15:01 AM,C,29.309
06/08/14 11:35:01 AM,C,30.995
06/08/14 11:55:01 AM,C,29.621
06/08/14 12:15:01 PM,C,27.06
06/08/14 12:35:01 PM,C,25.561
06/08/14 12:55:01 PM,C,23.935
06/08/14 01:15:01 PM,C,24.248
06/08/14 01:35:01 PM,C,26.435
06/08/14 01:55:01 PM,C,26.685
06/08/14 02:15:01 PM,C,25.748
06/08/14 02:35:01 PM,C,26.685
06/08/14 02:55:01 PM,C,28.997
06/08/14 03:15:01 PM,C,27.373
06/08/14 03:35:01 PM,C,27.685
06/08/14 03:55:01 PM,C,26.373
06/08/14 04:15:01 PM,C,25.061
06/08/14 04:35:01 PM,C,23.935
06/08/14 04:55:01 PM,C,22.935
06/08/14 05:15:01 PM,C,22.435
06/08/14 05:35:01 PM,C,21.559
06/08/14 05:55:01 PM,C,20.558
06/08/14 06:15:01 PM,C,20.058
06/08/14 06:35:01 PM,C,20.245
06/08/14 06:55:01 PM,C,19.933
06/08/14 07:15:01 PM,C,19.87
06/08/14 07:35:01 PM,C,20.183
06/08/14 07:55:01 PM,C,19.682
06/08/14 08:15:01 PM,C,19.432
06/08/14 08:35:01 PM,C,18.931
06/08/14 08:55:01 PM,C,18.368
06/08/14 09:15:01 PM,C,18.118
06/08/14 09:35:01 PM,C,17.867
06/08/14 09:55:01 PM,C,17.617
06/08/14 10:15:01 PM,C,17.492
06/08/14 10:35:01 PM,C,17.367
06/08/14 10:55:01 PM,C,17.555
06/08/14 11:15:01 PM,C,17.492
06/08/14 11:35:01 PM,C,17.242
06/08/14 11:55:01 PM,C,17.179
07/08/14 12:15:01 AM,C,16.991
07/08/14 12:35:01 AM,C,16.928
07/08/14 12:55:01 AM,C,16.741
07/08/14 01:15:01 AM,C,16.803
07/08/14 01:35:01 AM,C,16.678
07/08/14 01:55:01 AM,C,16.49
07/08/14 02:15:01 AM,C,16.49
07/08/14 02:35:01 AM,C,16.302
07/08/14 02:55:01 AM,C,16.302
07/08/14 03:15:01 AM,C,16.365
07/08/14 03:35:01 AM,C,16.24
07/08/14 03:55:01 AM,C,16.302
07/08/14 04:15:01 AM,C,16.24
07/08/14 04:35:01 AM,C,16.302
07/08/14 04:55:01 AM,C,16.24
07/08/14 05:15:01 AM,C,16.115
07/08/14 05:35:01 AM,C,16.24
07/08/14 05:55:01 AM,C,16.678
07/08/14 06:15:01 AM,C,17.492
07/08/14 06:35:01 AM,C,18.118
07/08/14 06:55:01 AM,C,18.806
07/08/14 07:15:01 AM,C,20.245
07/08/14 07:35:01 AM,C,21.121
07/08/14 07:55:01 AM,C,22.059
07/08/14 08:15:01 AM,C,23.935
07/08/14 08:35:01 AM,C,26.748
07/08/14 08:55:01 AM,C,27.185
07/08/14 09:15:01 AM,C,28.06
07/08/14 09:35:01 AM,C,30.808
07/08/14 09:55:01 AM,C,32.056
07/08/14 10:15:01 AM,C,31.12
07/08/14 10:35:01 AM,C,32.181
07/08/14 10:55:01 AM,C,31.931
07/08/14 11:15:01 AM,C,29.621
07/08/14 11:35:01 AM,C,28.934
07/08/14 11:55:01 AM,C,29.559
07/08/14 12:15:01 PM,C,28.809
07/08/14 12:35:01 PM,C,29.746
07/08/14 12:55:01 PM,C,29.621
07/08/14 01:15:01 PM,C,29.996
07/08/14 01:35:01 PM,C,29.871
07/08/14 01:55:01 PM,C,28.247
07/08/14 02:15:01 PM,C,30.558
07/08/14 02:35:01 PM,C,30.87
07/08/14 02:55:01 PM,C,30.745
07/08/14 03:15:01 PM,C,33.117
07/08/14 03:35:01 PM,C,32.992
07/08/14 03:55:01 PM,C,26.998
07/08/14 04:15:01 PM,C,24.873
07/08/14 04:35:01 PM,C,24.748
07/08/14 04:55:01 PM,C,24.123
07/08/14 05:15:01 PM,C,22.935
07/08/14 05:35:01 PM,C,21.934
07/08/14 05:55:01 PM,C,20.871
07/08/14 06:15:01 PM,C,20.183
07/08/14 06:35:01 PM,C,20.308
07/08/14 06:55:01 PM,C,20.809
07/08/14 07:15:01 PM,C,20.433
07/08/14 07:35:01 PM,C,19.87
07/08/14 07:55:01 PM,C,20.12
07/08/14 08:15:01 PM,C,20.245
07/08/14 08:35:01 PM,C,20.058
07/08/14 08:55:01 PM,C,19.995
07/08/14 09:15:01 PM,C,19.37
07/08/14 09:35:01 PM,C,18.931
07/08/14 09:55:01 PM,C,18.994
07/08/14 10:15:01 PM,C,19.37
07/08/14 10:35:01 PM,C,19.307
07/08/14 10:55:01 PM,C,19.244
07/08/14 11:15:01 PM,C,19.182
07/08/14 11:35:01 PM,C,18.931
07/08/14 11:55:01 PM,C,18.493
08/08/14 12:15:01 AM,C,18.431
08/08/14 12:35:01 AM,C,18.806
08/08/14 12:55:01 AM,C,18.931
08/08/14 01:15:01 AM,C,18.806
08/08/14 01:35:01 AM,C,18.368
08/08/14 01:55:01 AM,C,18.18
08/08/14 02:15:01 AM,C,17.68
08/08/14 02:35:01 AM,C,17.304
08/08/14 02:55:01 AM,C,17.054
08/08/14 03:15:01 AM,C,17.242
08/08/14 03:35:01 AM,C,17.367
08/08/14 03:55:01 AM,C,17.429
08/08/14 04:15:01 AM,C,17.555
08/08/14 04:35:01 AM,C,17.805
08/08/14 04:55:01 AM,C,17.742
08/08/14 05:15:01 AM,C,17.867
08/08/14 05:35:01 AM,C,18.18
08/08/14 05:55:01 AM,C,18.243
08/08/14 06:15:01 AM,C,18.368
08/08/14 06:35:01 AM,C,18.431
08/08/14 06:55:01 AM,C,18.493
08/08/14 07:15:01 AM,C,18.556
08/08/14 07:35:01 AM,C,18.744
08/08/14 07:55:01 AM,C,18.806
08/08/14 08:15:01 AM,C,19.057
08/08/14 08:35:01 AM,C,19.808
08/08/14 08:55:01 AM,C,20.433
