1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 27000000337B0041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:21:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:41:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10785
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:41:01 PM,C,19.808
04/08/14 08:01:01 PM,C,19.432
04/08/14 08:21:01 PM,C,19.057
04/08/14 08:41:01 PM,C,18.806
04/08/14 09:01:01 PM,C,18.556
04/08/14 09:21:01 PM,C,18.18
04/08/14 09:41:01 PM,C,18.118
04/08/14 10:01:01 PM,C,17.867
04/08/14 10:21:01 PM,C,17.617
04/08/14 10:41:01 PM,C,17.492
04/08/14 11:01:01 PM,C,17.617
04/08/14 11:21:01 PM,C,17.304
04/08/14 11:41:01 PM,C,17.742
05/08/14 12:01:01 AM,C,17.429
05/08/14 12:21:01 AM,C,17.054
05/08/14 12:41:01 AM,C,17.367
05/08/14 01:01:01 AM,C,17.242
05/08/14 01:21:01 AM,C,17.179
05/08/14 01:41:01 AM,C,17.367
05/08/14 02:01:01 AM,C,17.367
05/08/14 02:21:01 AM,C,17.367
05/08/14 02:41:01 AM,C,17.179
05/08/14 03:01:01 AM,C,17.179
05/08/14 03:21:01 AM,C,16.991
05/08/14 03:41:01 AM,C,17.116
05/08/14 04:01:01 AM,C,17.054
05/08/14 04:21:01 AM,C,16.866
05/08/14 04:41:01 AM,C,16.866
05/08/14 05:01:01 AM,C,16.928
05/08/14 05:21:01 AM,C,16.928
05/08/14 05:41:01 AM,C,16.741
05/08/14 06:01:01 AM,C,16.866
05/08/14 06:21:01 AM,C,17.555
05/08/14 06:41:01 AM,C,18.744
05/08/14 07:01:01 AM,C,19.37
05/08/14 07:21:01 AM,C,19.62
05/08/14 07:41:01 AM,C,20.371
05/08/14 08:01:01 AM,C,21.559
05/08/14 08:21:01 AM,C,22.622
05/08/14 08:41:01 AM,C,23.998
05/08/14 09:01:01 AM,C,24.873
05/08/14 09:21:01 AM,C,28.934
05/08/14 09:41:01 AM,C,29.684
05/08/14 10:01:01 AM,C,28.747
05/08/14 10:21:01 AM,C,27.935
05/08/14 10:41:01 AM,C,28.872
05/08/14 11:01:01 AM,C,27.498
05/08/14 11:21:01 AM,C,27.935
05/08/14 11:41:01 AM,C,27.872
05/08/14 12:01:01 PM,C,27.498
05/08/14 12:21:01 PM,C,26.998
05/08/14 12:41:01 PM,C,29.871
