1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B000000337DB141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:53:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10754
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:53:01 PM,C,16.866
04/08/14 09:13:01 PM,C,16.49
04/08/14 09:33:01 PM,C,16.303
04/08/14 09:53:01 PM,C,16.365
04/08/14 10:13:01 PM,C,16.428
04/08/14 10:33:01 PM,C,16.303
04/08/14 10:53:01 PM,C,16.365
04/08/14 11:13:01 PM,C,16.24
04/08/14 11:33:01 PM,C,16.49
04/08/14 11:53:01 PM,C,16.24
05/08/14 12:13:01 AM,C,16.365
05/08/14 12:33:01 AM,C,16.428
05/08/14 12:53:01 AM,C,16.303
05/08/14 01:13:01 AM,C,16.177
05/08/14 01:33:01 AM,C,16.428
05/08/14 01:53:01 AM,C,16.553
05/08/14 02:13:01 AM,C,16.49
05/08/14 02:33:01 AM,C,16.428
05/08/14 02:53:01 AM,C,16.428
05/08/14 03:13:01 AM,C,16.115
05/08/14 03:33:01 AM,C,16.052
05/08/14 03:53:01 AM,C,16.49
05/08/14 04:13:01 AM,C,16.177
05/08/14 04:33:01 AM,C,15.99
05/08/14 04:53:01 AM,C,16.115
05/08/14 05:13:01 AM,C,16.741
05/08/14 05:33:01 AM,C,16.741
05/08/14 05:53:01 AM,C,19.995
05/08/14 06:13:01 AM,C,24.06
05/08/14 06:33:01 AM,C,25.311
05/08/14 06:53:01 AM,C,26.81
05/08/14 07:13:01 AM,C,27.623
05/08/14 07:33:01 AM,C,29.059
05/08/14 07:53:01 AM,C,29.996
05/08/14 08:13:01 AM,C,30.683
05/08/14 08:33:01 AM,C,31.245
05/08/14 08:53:01 AM,C,31.807
05/08/14 09:13:01 AM,C,30.309
05/08/14 09:33:01 AM,C,27.31
05/08/14 09:53:01 AM,C,29.059
05/08/14 10:13:01 AM,C,31.37
05/08/14 10:33:01 AM,C,28.497
05/08/14 10:53:01 AM,C,26.56
05/08/14 11:13:01 AM,C,25.311
05/08/14 11:33:01 AM,C,25.748
05/08/14 11:53:01 AM,C,28.06
05/08/14 12:13:01 PM,C,26.685
05/08/14 12:33:01 PM,C,25.623
05/08/14 12:53:01 PM,C,29.434
05/08/14 01:13:01 PM,C,28.56
05/08/14 01:33:01 PM,C,25.061
05/08/14 01:53:01 PM,C,24.06
05/08/14 02:13:01 PM,C,24.498
05/08/14 02:33:01 PM,C,23.373
05/08/14 02:53:01 PM,C,23.435
05/08/14 03:13:01 PM,C,23.685
05/08/14 03:33:01 PM,C,23.56
05/08/14 03:53:01 PM,C,22.935
05/08/14 04:13:01 PM,C,21.559
05/08/14 04:33:01 PM,C,20.808
05/08/14 04:53:01 PM,C,20.433
05/08/14 05:13:01 PM,C,19.745
05/08/14 05:33:01 PM,C,19.37
05/08/14 05:53:01 PM,C,18.681
05/08/14 06:13:01 PM,C,18.181
05/08/14 06:33:01 PM,C,17.93
05/08/14 06:53:01 PM,C,17.805
05/08/14 07:13:01 PM,C,17.367
05/08/14 07:33:01 PM,C,17.054
05/08/14 07:53:01 PM,C,17.054
05/08/14 08:13:01 PM,C,18.118
