1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AB000000337C8141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:23:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:43:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10880
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:43:01 PM,C,18.327
04/08/14 08:03:01 PM,C,17.576
04/08/14 08:23:01 PM,C,17.075
04/08/14 08:43:01 PM,C,16.7
04/08/14 09:03:01 PM,C,16.637
04/08/14 09:23:01 PM,C,16.575
04/08/14 09:43:01 PM,C,16.387
04/08/14 10:03:01 PM,C,16.262
04/08/14 10:23:01 PM,C,16.136
04/08/14 10:43:01 PM,C,16.011
04/08/14 11:03:01 PM,C,15.886
04/08/14 11:23:01 PM,C,15.761
04/08/14 11:43:01 PM,C,15.698
05/08/14 12:03:01 AM,C,15.573
05/08/14 12:23:01 AM,C,15.636
05/08/14 12:43:01 AM,C,15.698
05/08/14 01:03:01 AM,C,15.823
05/08/14 01:23:01 AM,C,15.761
05/08/14 01:43:01 AM,C,15.823
05/08/14 02:03:01 AM,C,16.011
05/08/14 02:23:01 AM,C,16.011
05/08/14 02:43:01 AM,C,15.823
05/08/14 03:03:01 AM,C,15.886
05/08/14 03:23:01 AM,C,15.823
05/08/14 03:43:01 AM,C,15.823
05/08/14 04:03:01 AM,C,15.698
05/08/14 04:23:01 AM,C,15.698
05/08/14 04:43:01 AM,C,15.698
05/08/14 05:03:01 AM,C,15.698
05/08/14 05:23:01 AM,C,15.636
05/08/14 05:43:01 AM,C,15.636
05/08/14 06:03:01 AM,C,15.823
05/08/14 06:23:01 AM,C,16.262
05/08/14 06:43:01 AM,C,17.2
05/08/14 07:03:01 AM,C,18.702
05/08/14 07:23:01 AM,C,21.579
