1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9B000000337B7F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:11:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:11:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10822
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:11:01 PM,C,17.471
04/08/14 08:31:01 PM,C,16.846
04/08/14 08:51:01 PM,C,16.407
04/08/14 09:11:01 PM,C,16.032
04/08/14 09:31:01 PM,C,15.906
04/08/14 09:51:01 PM,C,15.906
04/08/14 10:11:01 PM,C,15.844
04/08/14 10:31:01 PM,C,15.844
04/08/14 10:51:01 PM,C,15.719
04/08/14 11:11:01 PM,C,15.593
04/08/14 11:31:01 PM,C,15.218
04/08/14 11:51:01 PM,C,15.155
05/08/14 12:11:01 AM,C,15.155
05/08/14 12:31:01 AM,C,15.406
05/08/14 12:51:01 AM,C,15.406
05/08/14 01:11:01 AM,C,15.531
05/08/14 01:31:01 AM,C,15.593
05/08/14 01:51:01 AM,C,15.844
05/08/14 02:11:01 AM,C,15.844
05/08/14 02:31:01 AM,C,15.593
05/08/14 02:51:01 AM,C,15.468
05/08/14 03:11:01 AM,C,15.468
05/08/14 03:31:01 AM,C,15.406
05/08/14 03:51:01 AM,C,15.155
05/08/14 04:11:01 AM,C,15.343
05/08/14 04:31:01 AM,C,15.468
05/08/14 04:51:01 AM,C,15.28
05/08/14 05:11:01 AM,C,15.28
05/08/14 05:31:01 AM,C,14.967
05/08/14 05:51:01 AM,C,15.28
05/08/14 06:11:01 AM,C,15.593
05/08/14 06:31:01 AM,C,16.345
05/08/14 06:51:01 AM,C,17.096
05/08/14 07:11:01 AM,C,19.161
05/08/14 07:31:01 AM,C,21.476
05/08/14 07:51:01 AM,C,22.038
05/08/14 08:11:01 AM,C,23.039
05/08/14 08:31:01 AM,C,24.789
05/08/14 08:51:01 AM,C,26.851
05/08/14 09:11:01 AM,C,27.413
05/08/14 09:31:01 AM,C,27.413
05/08/14 09:51:01 AM,C,27.226
05/08/14 10:11:01 AM,C,27.351
05/08/14 10:31:01 AM,C,27.413
05/08/14 10:51:01 AM,C,27.039
05/08/14 11:11:01 AM,C,26.664
05/08/14 11:31:01 AM,C,27.788
05/08/14 11:51:01 AM,C,27.851
05/08/14 12:11:01 PM,C,27.851
05/08/14 12:31:01 PM,C,27.913
05/08/14 12:51:01 PM,C,29.787
05/08/14 01:11:01 PM,C,30.286
05/08/14 01:31:01 PM,C,26.289
05/08/14 01:51:01 PM,C,26.101
05/08/14 02:11:01 PM,C,26.351
05/08/14 02:31:01 PM,C,26.726
05/08/14 02:51:01 PM,C,29.225
05/08/14 03:11:01 PM,C,29.287
05/08/14 03:31:01 PM,C,28.975
05/08/14 03:51:01 PM,C,26.539
05/08/14 04:11:01 PM,C,24.977
05/08/14 04:31:01 PM,C,23.539
05/08/14 04:51:01 PM,C,22.726
05/08/14 05:11:01 PM,C,21.476
05/08/14 05:31:01 PM,C,20.662
05/08/14 05:51:01 PM,C,19.411
05/08/14 06:11:01 PM,C,18.41
05/08/14 06:31:01 PM,C,17.722
05/08/14 06:51:01 PM,C,17.346
05/08/14 07:11:01 PM,C,17.096
05/08/14 07:31:01 PM,C,16.846
05/08/14 07:51:01 PM,C,16.47
05/08/14 08:11:01 PM,C,15.969
05/08/14 08:31:01 PM,C,15.656
05/08/14 08:51:01 PM,C,15.531
05/08/14 09:11:01 PM,C,15.593
05/08/14 09:31:01 PM,C,15.781
05/08/14 09:51:01 PM,C,15.218
05/08/14 10:11:01 PM,C,14.779
05/08/14 10:31:01 PM,C,14.654
05/08/14 10:51:01 PM,C,14.529
05/08/14 11:11:01 PM,C,14.153
05/08/14 11:31:01 PM,C,13.965
05/08/14 11:51:01 PM,C,13.965
06/08/14 12:11:01 AM,C,14.028
06/08/14 12:31:01 AM,C,14.091
06/08/14 12:51:01 AM,C,14.028
06/08/14 01:11:01 AM,C,14.028
06/08/14 01:31:01 AM,C,14.278
06/08/14 01:51:01 AM,C,14.341
06/08/14 02:11:01 AM,C,14.466
06/08/14 02:31:01 AM,C,14.592
06/08/14 02:51:01 AM,C,14.592
06/08/14 03:11:01 AM,C,14.529
