1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0A0000003382AF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:20:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:40:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10615
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:40:01 AM,C,14.758
04/08/14 05:00:01 AM,C,15.009
04/08/14 05:20:01 AM,C,15.009
04/08/14 05:40:01 AM,C,15.009
04/08/14 06:00:01 AM,C,15.134
04/08/14 06:20:01 AM,C,15.51
04/08/14 06:40:01 AM,C,16.386
04/08/14 07:00:01 AM,C,16.449
04/08/14 07:20:01 AM,C,16.825
04/08/14 07:40:01 AM,C,17.263
04/08/14 08:00:01 AM,C,17.325
04/08/14 08:20:01 AM,C,17.701
04/08/14 08:40:01 AM,C,18.327
04/08/14 09:00:01 AM,C,18.702
04/08/14 09:20:01 AM,C,18.89
04/08/14 09:40:01 AM,C,20.58
04/08/14 10:00:01 AM,C,22.206
04/08/14 10:20:01 AM,C,22.394
04/08/14 10:40:01 AM,C,23.644
04/08/14 11:00:01 AM,C,24.394
04/08/14 11:20:01 AM,C,24.207
04/08/14 11:40:01 AM,C,24.144
04/08/14 12:00:01 PM,C,26.02
04/08/14 12:20:01 PM,C,26.582
04/08/14 12:40:01 PM,C,29.018
04/08/14 01:00:01 PM,C,30.829
04/08/14 01:20:01 PM,C,32.765
04/08/14 01:40:01 PM,C,33.326
04/08/14 02:00:01 PM,C,32.64
04/08/14 02:20:01 PM,C,32.453
04/08/14 02:40:01 PM,C,33.264
04/08/14 03:00:01 PM,C,29.018
04/08/14 03:20:01 PM,C,23.957
04/08/14 03:40:01 PM,C,21.393
04/08/14 04:00:01 PM,C,19.516
04/08/14 04:20:01 PM,C,19.266
04/08/14 04:40:01 PM,C,18.89
04/08/14 05:00:01 PM,C,18.828
04/08/14 05:20:01 PM,C,18.828
04/08/14 05:40:01 PM,C,18.452
04/08/14 06:00:01 PM,C,18.014
04/08/14 06:20:01 PM,C,17.951
04/08/14 06:40:01 PM,C,17.826
04/08/14 07:00:01 PM,C,17.826
04/08/14 07:20:01 PM,C,17.576
04/08/14 07:40:01 PM,C,16.887
04/08/14 08:00:01 PM,C,16.637
04/08/14 08:20:01 PM,C,16.261
04/08/14 08:40:01 PM,C,16.073
04/08/14 09:00:01 PM,C,15.885
04/08/14 09:20:01 PM,C,15.76
04/08/14 09:40:01 PM,C,15.635
04/08/14 10:00:01 PM,C,15.447
04/08/14 10:20:01 PM,C,15.447
04/08/14 10:40:01 PM,C,15.447
04/08/14 11:00:01 PM,C,15.385
04/08/14 11:20:01 PM,C,15.134
04/08/14 11:40:01 PM,C,15.071
05/08/14 12:00:01 AM,C,15.071
05/08/14 12:20:01 AM,C,15.134
05/08/14 12:40:01 AM,C,15.259
05/08/14 01:00:01 AM,C,15.51
05/08/14 01:20:01 AM,C,15.385
05/08/14 01:40:01 AM,C,15.51
05/08/14 02:00:01 AM,C,15.885
05/08/14 02:20:01 AM,C,15.698
05/08/14 02:40:01 AM,C,15.385
05/08/14 03:00:01 AM,C,15.572
05/08/14 03:20:01 AM,C,15.51
05/08/14 03:40:01 AM,C,15.51
05/08/14 04:00:01 AM,C,15.447
05/08/14 04:20:01 AM,C,15.322
05/08/14 04:40:01 AM,C,15.322
05/08/14 05:00:01 AM,C,15.259
05/08/14 05:20:01 AM,C,15.197
05/08/14 05:40:01 AM,C,15.197
05/08/14 06:00:01 AM,C,15.197
05/08/14 06:20:01 AM,C,15.698
05/08/14 06:40:01 AM,C,16.386
05/08/14 07:00:01 AM,C,17.075
05/08/14 07:20:01 AM,C,17.451
05/08/14 07:40:01 AM,C,17.951
05/08/14 08:00:01 AM,C,18.077
05/08/14 08:20:01 AM,C,18.39
05/08/14 08:40:01 AM,C,18.828
05/08/14 09:00:01 AM,C,18.953
05/08/14 09:20:01 AM,C,20.267
05/08/14 09:40:01 AM,C,21.58
05/08/14 10:00:01 AM,C,22.331
05/08/14 10:20:01 AM,C,23.707
05/08/14 10:40:01 AM,C,25.019
05/08/14 11:00:01 AM,C,25.52
05/08/14 11:20:01 AM,C,25.332
05/08/14 11:40:01 AM,C,26.02
05/08/14 12:00:01 PM,C,25.207
05/08/14 12:20:01 PM,C,25.332
05/08/14 12:40:01 PM,C,28.019
05/08/14 01:00:01 PM,C,31.579
05/08/14 01:20:01 PM,C,29.206
05/08/14 01:40:01 PM,C,25.395
05/08/14 02:00:01 PM,C,24.457
05/08/14 02:20:01 PM,C,26.082
05/08/14 02:40:01 PM,C,29.518
05/08/14 03:00:01 PM,C,31.079
05/08/14 03:20:01 PM,C,26.957
05/08/14 03:40:01 PM,C,26.957
05/08/14 04:00:01 PM,C,24.457
05/08/14 04:20:01 PM,C,22.706
05/08/14 04:40:01 PM,C,22.331
05/08/14 05:00:01 PM,C,21.205
05/08/14 05:20:01 PM,C,19.704
05/08/14 05:40:01 PM,C,18.953
05/08/14 06:00:01 PM,C,18.202
05/08/14 06:20:01 PM,C,17.764
05/08/14 06:40:01 PM,C,17.2
05/08/14 07:00:01 PM,C,16.324
05/08/14 07:20:01 PM,C,15.885
05/08/14 07:40:01 PM,C,15.635
05/08/14 08:00:01 PM,C,15.071
05/08/14 08:20:01 PM,C,15.197
05/08/14 08:40:01 PM,C,15.385
05/08/14 09:00:01 PM,C,15.635
05/08/14 09:20:01 PM,C,15.635
05/08/14 09:40:01 PM,C,15.385
05/08/14 10:00:01 PM,C,15.134
05/08/14 10:20:01 PM,C,14.884
05/08/14 10:40:01 PM,C,15.009
05/08/14 11:00:01 PM,C,15.447
05/08/14 11:20:01 PM,C,15.635
05/08/14 11:40:01 PM,C,15.635
06/08/14 12:00:01 AM,C,15.385
06/08/14 12:20:01 AM,C,15.259
06/08/14 12:40:01 AM,C,15.134
06/08/14 01:00:01 AM,C,15.259
06/08/14 01:20:01 AM,C,15.134
06/08/14 01:40:01 AM,C,15.197
06/08/14 02:00:01 AM,C,15.197
06/08/14 02:20:01 AM,C,15.134
06/08/14 02:40:01 AM,C,14.946
06/08/14 03:00:01 AM,C,14.946
06/08/14 03:20:01 AM,C,14.884
06/08/14 03:40:01 AM,C,15.322
