1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EF000000337BBA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:15:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:15:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10769
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:15:01 PM,C,18.085
04/08/14 08:35:01 PM,C,17.522
04/08/14 08:55:01 PM,C,17.334
04/08/14 09:15:01 PM,C,17.021
04/08/14 09:35:01 PM,C,16.833
04/08/14 09:55:01 PM,C,16.708
04/08/14 10:15:01 PM,C,16.646
04/08/14 10:35:01 PM,C,16.583
04/08/14 10:55:01 PM,C,16.333
04/08/14 11:15:01 PM,C,16.395
04/08/14 11:35:01 PM,C,16.27
04/08/14 11:55:01 PM,C,16.145
05/08/14 12:15:01 AM,C,16.333
05/08/14 12:35:01 AM,C,16.395
05/08/14 12:55:01 AM,C,16.458
05/08/14 01:15:01 AM,C,16.521
05/08/14 01:35:01 AM,C,16.521
05/08/14 01:55:01 AM,C,16.646
05/08/14 02:15:01 AM,C,16.708
05/08/14 02:35:01 AM,C,16.521
05/08/14 02:55:01 AM,C,16.333
05/08/14 03:15:01 AM,C,16.333
05/08/14 03:35:01 AM,C,16.208
05/08/14 03:55:01 AM,C,16.145
05/08/14 04:15:01 AM,C,16.208
05/08/14 04:35:01 AM,C,16.145
05/08/14 04:55:01 AM,C,16.27
05/08/14 05:15:01 AM,C,16.208
05/08/14 05:35:01 AM,C,16.208
05/08/14 05:55:01 AM,C,16.583
05/08/14 06:15:01 AM,C,17.271
05/08/14 06:35:01 AM,C,18.022
05/08/14 06:55:01 AM,C,19.023
05/08/14 07:15:01 AM,C,19.336
05/08/14 07:35:01 AM,C,19.586
05/08/14 07:55:01 AM,C,21.962
05/08/14 08:15:01 AM,C,22.087
05/08/14 08:35:01 AM,C,22.15
05/08/14 08:55:01 AM,C,21.65
05/08/14 09:15:01 AM,C,22.212
05/08/14 09:35:01 AM,C,23.525
05/08/14 09:55:01 AM,C,24.025
05/08/14 10:15:01 AM,C,25.525
05/08/14 10:35:01 AM,C,26.463
05/08/14 10:55:01 AM,C,25.838
05/08/14 11:15:01 AM,C,25.338
05/08/14 11:35:01 AM,C,25.838
05/08/14 11:55:01 AM,C,26.9
05/08/14 12:15:01 PM,C,26.775
05/08/14 12:35:01 PM,C,28.65
05/08/14 12:55:01 PM,C,30.461
05/08/14 01:15:01 PM,C,31.086
05/08/14 01:35:01 PM,C,26.025
05/08/14 01:55:01 PM,C,26.338
05/08/14 02:15:01 PM,C,27.15
05/08/14 02:35:01 PM,C,28.525
05/08/14 02:55:01 PM,C,26.525
05/08/14 03:15:01 PM,C,25.15
05/08/14 03:35:01 PM,C,24.963
05/08/14 03:55:01 PM,C,24.213
05/08/14 04:15:01 PM,C,22.963
05/08/14 04:35:01 PM,C,22.337
05/08/14 04:55:01 PM,C,21.775
05/08/14 05:15:01 PM,C,21.024
05/08/14 05:35:01 PM,C,20.399
05/08/14 05:55:01 PM,C,19.648
05/08/14 06:15:01 PM,C,18.898
05/08/14 06:35:01 PM,C,18.71
05/08/14 06:55:01 PM,C,18.523
05/08/14 07:15:01 PM,C,18.147
05/08/14 07:35:01 PM,C,17.772
05/08/14 07:55:01 PM,C,17.396
05/08/14 08:15:01 PM,C,17.084
05/08/14 08:35:01 PM,C,16.833
05/08/14 08:55:01 PM,C,16.771
05/08/14 09:15:01 PM,C,16.708
05/08/14 09:35:01 PM,C,16.583
05/08/14 09:55:01 PM,C,16.458
05/08/14 10:15:01 PM,C,15.895
05/08/14 10:35:01 PM,C,15.457
05/08/14 10:55:01 PM,C,15.206
05/08/14 11:15:01 PM,C,15.144
05/08/14 11:35:01 PM,C,15.081
05/08/14 11:55:01 PM,C,14.894
06/08/14 12:15:01 AM,C,14.706
06/08/14 12:35:01 AM,C,14.831
06/08/14 12:55:01 AM,C,15.019
06/08/14 01:15:01 AM,C,14.956
06/08/14 01:35:01 AM,C,15.269
06/08/14 01:55:01 AM,C,15.457
06/08/14 02:15:01 AM,C,15.519
06/08/14 02:35:01 AM,C,15.77
06/08/14 02:55:01 AM,C,15.77
06/08/14 03:15:01 AM,C,15.77
06/08/14 03:35:01 AM,C,15.895
06/08/14 03:55:01 AM,C,16.27
06/08/14 04:15:01 AM,C,16.833
06/08/14 04:35:01 AM,C,17.084
06/08/14 04:55:01 AM,C,17.271
06/08/14 05:15:01 AM,C,17.459
06/08/14 05:35:01 AM,C,17.522
06/08/14 05:55:01 AM,C,17.647
06/08/14 06:15:01 AM,C,17.834
06/08/14 06:35:01 AM,C,18.022
06/08/14 06:55:01 AM,C,18.085
06/08/14 07:15:01 AM,C,17.834
06/08/14 07:35:01 AM,C,17.834
06/08/14 07:55:01 AM,C,18.21
06/08/14 08:15:01 AM,C,18.397
06/08/14 08:35:01 AM,C,18.71
06/08/14 08:55:01 AM,C,19.398
06/08/14 09:15:01 AM,C,20.461
06/08/14 09:35:01 AM,C,21.525
06/08/14 09:55:01 AM,C,22.15
06/08/14 10:15:01 AM,C,22.963
06/08/14 10:35:01 AM,C,23.338
06/08/14 10:55:01 AM,C,25.963
06/08/14 11:15:01 AM,C,27.338
06/08/14 11:35:01 AM,C,30.274
06/08/14 11:55:01 AM,C,26.713
06/08/14 12:15:01 PM,C,25.338
06/08/14 12:35:01 PM,C,24.338
06/08/14 12:55:01 PM,C,23.15
06/08/14 01:15:01 PM,C,23.213
