1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1B000000337BDB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:03:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10803
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:03:01 PM,C,16.365
04/08/14 08:23:01 PM,C,15.99
04/08/14 08:43:01 PM,C,15.927
04/08/14 09:03:01 PM,C,15.677
04/08/14 09:23:01 PM,C,15.551
04/08/14 09:43:01 PM,C,15.426
04/08/14 10:03:01 PM,C,15.426
04/08/14 10:23:01 PM,C,15.364
04/08/14 10:43:01 PM,C,15.426
04/08/14 11:03:01 PM,C,15.176
04/08/14 11:23:01 PM,C,15.05
04/08/14 11:43:01 PM,C,14.863
05/08/14 12:03:01 AM,C,14.863
05/08/14 12:23:01 AM,C,14.863
05/08/14 12:43:01 AM,C,15.05
05/08/14 01:03:01 AM,C,15.176
05/08/14 01:23:01 AM,C,15.176
05/08/14 01:43:01 AM,C,15.364
05/08/14 02:03:01 AM,C,15.739
05/08/14 02:23:01 AM,C,15.364
05/08/14 02:43:01 AM,C,15.113
05/08/14 03:03:01 AM,C,15.301
05/08/14 03:23:01 AM,C,15.176
05/08/14 03:43:01 AM,C,15.176
05/08/14 04:03:01 AM,C,15.301
05/08/14 04:23:01 AM,C,15.113
05/08/14 04:43:01 AM,C,15.05
05/08/14 05:03:01 AM,C,14.925
05/08/14 05:23:01 AM,C,14.863
05/08/14 05:43:01 AM,C,14.925
05/08/14 06:03:01 AM,C,15.238
05/08/14 06:23:01 AM,C,16.052
05/08/14 06:43:01 AM,C,16.866
05/08/14 07:03:01 AM,C,17.555
05/08/14 07:23:01 AM,C,20.245
05/08/14 07:43:01 AM,C,21.622
05/08/14 08:03:01 AM,C,22.497
