1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C000000337C1841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:19:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:59:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10758
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:59:01 PM,C,15.757
04/08/14 09:19:01 PM,C,15.444
04/08/14 09:39:01 PM,C,15.319
04/08/14 09:59:01 PM,C,15.068
04/08/14 10:19:01 PM,C,15.068
04/08/14 10:39:01 PM,C,15.131
04/08/14 10:59:01 PM,C,15.006
04/08/14 11:19:01 PM,C,14.818
04/08/14 11:39:01 PM,C,14.755
04/08/14 11:59:01 PM,C,14.755
05/08/14 12:19:01 AM,C,14.943
05/08/14 12:39:01 AM,C,15.006
05/08/14 12:59:01 AM,C,15.068
05/08/14 01:19:01 AM,C,14.881
05/08/14 01:39:01 AM,C,14.943
05/08/14 01:59:01 AM,C,15.194
05/08/14 02:19:01 AM,C,15.006
05/08/14 02:39:01 AM,C,14.755
05/08/14 02:59:01 AM,C,14.693
05/08/14 03:19:01 AM,C,14.693
05/08/14 03:39:01 AM,C,14.693
05/08/14 03:59:01 AM,C,15.006
05/08/14 04:19:01 AM,C,14.818
05/08/14 04:39:01 AM,C,14.63
05/08/14 04:59:01 AM,C,14.755
05/08/14 05:19:01 AM,C,14.693
05/08/14 05:39:01 AM,C,14.755
05/08/14 05:59:01 AM,C,15.757
05/08/14 06:19:01 AM,C,17.072
05/08/14 06:39:01 AM,C,19.575
05/08/14 06:59:01 AM,C,21.139
05/08/14 07:19:01 AM,C,22.14
05/08/14 07:39:01 AM,C,23.328
05/08/14 07:59:01 AM,C,24.391
05/08/14 08:19:01 AM,C,26.453
05/08/14 08:39:01 AM,C,28.702
05/08/14 08:59:01 AM,C,28.264
05/08/14 09:19:01 AM,C,27.203
05/08/14 09:39:01 AM,C,27.39
05/08/14 09:59:01 AM,C,29.451
05/08/14 10:19:01 AM,C,28.702
05/08/14 10:39:01 AM,C,28.202
05/08/14 10:59:01 AM,C,26.39
05/08/14 11:19:01 AM,C,25.953
05/08/14 11:39:01 AM,C,27.14
05/08/14 11:59:01 AM,C,28.827
05/08/14 12:19:01 PM,C,26.89
05/08/14 12:39:01 PM,C,26.828
05/08/14 12:59:01 PM,C,29.451
05/08/14 01:19:01 PM,C,29.389
05/08/14 01:39:01 PM,C,24.953
05/08/14 01:59:01 PM,C,25.578
05/08/14 02:19:01 PM,C,26.64
05/08/14 02:39:01 PM,C,28.264
05/08/14 02:59:01 PM,C,28.202
05/08/14 03:19:01 PM,C,26.578
