1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 47000000337C3441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:39:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:19:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10722
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:19:01 PM,C,17.951
04/08/14 08:39:01 PM,C,17.513
04/08/14 08:59:01 PM,C,17.138
04/08/14 09:19:01 PM,C,16.887
04/08/14 09:39:01 PM,C,16.762
04/08/14 09:59:01 PM,C,16.699
04/08/14 10:19:01 PM,C,16.574
04/08/14 10:39:01 PM,C,16.386
04/08/14 10:59:01 PM,C,16.136
04/08/14 11:19:01 PM,C,16.136
04/08/14 11:39:01 PM,C,15.948
04/08/14 11:59:01 PM,C,15.823
05/08/14 12:19:01 AM,C,15.885
05/08/14 12:39:01 AM,C,16.136
05/08/14 12:59:01 AM,C,16.261
05/08/14 01:19:01 AM,C,16.199
05/08/14 01:39:01 AM,C,16.261
05/08/14 01:59:01 AM,C,16.512
05/08/14 02:19:01 AM,C,16.449
05/08/14 02:39:01 AM,C,16.199
05/08/14 02:59:01 AM,C,16.073
05/08/14 03:19:01 AM,C,16.136
05/08/14 03:39:01 AM,C,15.948
05/08/14 03:59:01 AM,C,15.76
05/08/14 04:19:01 AM,C,15.948
05/08/14 04:39:01 AM,C,15.948
05/08/14 04:59:01 AM,C,15.885
05/08/14 05:19:01 AM,C,15.823
05/08/14 05:39:01 AM,C,15.823
05/08/14 05:59:01 AM,C,16.261
05/08/14 06:19:01 AM,C,18.264
05/08/14 06:39:01 AM,C,18.452
05/08/14 06:59:01 AM,C,19.453
05/08/14 07:19:01 AM,C,19.391
05/08/14 07:39:01 AM,C,19.829
05/08/14 07:59:01 AM,C,20.204
05/08/14 08:19:01 AM,C,20.642
05/08/14 08:39:01 AM,C,20.767
05/08/14 08:59:01 AM,C,21.33
05/08/14 09:19:01 AM,C,22.769
05/08/14 09:39:01 AM,C,25.332
05/08/14 09:59:01 AM,C,28.893
05/08/14 10:19:01 AM,C,27.519
05/08/14 10:39:01 AM,C,28.331
05/08/14 10:59:01 AM,C,26.394
05/08/14 11:19:01 AM,C,26.394
05/08/14 11:39:01 AM,C,27.832
05/08/14 11:59:01 AM,C,27.769
05/08/14 12:19:01 PM,C,26.957
05/08/14 12:39:01 PM,C,30.33
