1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 43000000337B5D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:55:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:15:01 CST 2014
Total Mission Samples:  3824
Total Device Samples:  10697
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:15:01 AM,C,14.393
04/08/14 04:35:01 AM,C,14.455
04/08/14 04:55:01 AM,C,14.706
04/08/14 05:15:01 AM,C,14.894
04/08/14 05:35:01 AM,C,14.894
04/08/14 05:55:01 AM,C,15.081
04/08/14 06:15:01 AM,C,16.02
04/08/14 06:35:01 AM,C,18.022
04/08/14 06:55:01 AM,C,19.711
04/08/14 07:15:01 AM,C,21.587
04/08/14 07:35:01 AM,C,22.212
04/08/14 07:55:01 AM,C,24.713
04/08/14 08:15:01 AM,C,27.15
04/08/14 08:35:01 AM,C,27.088
04/08/14 08:55:01 AM,C,26.9
04/08/14 09:15:01 AM,C,27.65
04/08/14 09:35:01 AM,C,26.9
04/08/14 09:55:01 AM,C,26.775
04/08/14 10:15:01 AM,C,26.463
04/08/14 10:35:01 AM,C,25.713
04/08/14 10:55:01 AM,C,26.525
04/08/14 11:15:01 AM,C,26.088
04/08/14 11:35:01 AM,C,26.088
04/08/14 11:55:01 AM,C,28.525
04/08/14 12:15:01 PM,C,27.65
04/08/14 12:35:01 PM,C,27.15
04/08/14 12:55:01 PM,C,29.712
04/08/14 01:15:01 PM,C,31.46
04/08/14 01:35:01 PM,C,28.212
04/08/14 01:55:01 PM,C,28.962
04/08/14 02:15:01 PM,C,27.837
04/08/14 02:35:01 PM,C,26.525
04/08/14 02:55:01 PM,C,25.275
04/08/14 03:15:01 PM,C,23.9
04/08/14 03:35:01 PM,C,22.337
04/08/14 03:55:01 PM,C,20.524
04/08/14 04:15:01 PM,C,19.899
04/08/14 04:35:01 PM,C,19.648
04/08/14 04:55:01 PM,C,19.085
04/08/14 05:15:01 PM,C,18.898
04/08/14 05:35:01 PM,C,18.585
04/08/14 05:55:01 PM,C,18.272
04/08/14 06:15:01 PM,C,18.272
04/08/14 06:35:01 PM,C,18.21
04/08/14 06:55:01 PM,C,18.147
04/08/14 07:15:01 PM,C,18.022
04/08/14 07:35:01 PM,C,17.897
04/08/14 07:55:01 PM,C,17.772
04/08/14 08:15:01 PM,C,17.209
04/08/14 08:35:01 PM,C,16.708
04/08/14 08:55:01 PM,C,16.333
04/08/14 09:15:01 PM,C,16.208
04/08/14 09:35:01 PM,C,15.832
04/08/14 09:55:01 PM,C,15.582
04/08/14 10:15:01 PM,C,15.519
04/08/14 10:35:01 PM,C,15.645
04/08/14 10:55:01 PM,C,15.707
04/08/14 11:15:01 PM,C,15.519
04/08/14 11:35:01 PM,C,15.394
04/08/14 11:55:01 PM,C,15.332
05/08/14 12:15:01 AM,C,15.144
05/08/14 12:35:01 AM,C,15.332
05/08/14 12:55:01 AM,C,15.457
05/08/14 01:15:01 AM,C,15.582
05/08/14 01:35:01 AM,C,15.582
05/08/14 01:55:01 AM,C,15.77
05/08/14 02:15:01 AM,C,15.77
05/08/14 02:35:01 AM,C,15.519
05/08/14 02:55:01 AM,C,15.269
05/08/14 03:15:01 AM,C,15.332
05/08/14 03:35:01 AM,C,15.206
05/08/14 03:55:01 AM,C,15.206
05/08/14 04:15:01 AM,C,15.332
05/08/14 04:35:01 AM,C,15.269
05/08/14 04:55:01 AM,C,15.206
05/08/14 05:15:01 AM,C,15.269
05/08/14 05:35:01 AM,C,15.144
05/08/14 05:55:01 AM,C,15.457
05/08/14 06:15:01 AM,C,16.521
05/08/14 06:35:01 AM,C,18.022
05/08/14 06:55:01 AM,C,20.336
05/08/14 07:15:01 AM,C,22.275
05/08/14 07:35:01 AM,C,23.775
05/08/14 07:55:01 AM,C,25.338
05/08/14 08:15:01 AM,C,26.9
05/08/14 08:35:01 AM,C,27.338
05/08/14 08:55:01 AM,C,27.9
05/08/14 09:15:01 AM,C,29.337
05/08/14 09:35:01 AM,C,25.588
