1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E000000337D0741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:45:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:45:01 CST 2014
Total Mission Samples:  3874
Total Device Samples:  10702
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:45:01 PM,C,20.774
04/08/14 09:05:01 PM,C,20.649
04/08/14 09:25:01 PM,C,20.461
04/08/14 09:45:01 PM,C,20.399
04/08/14 10:05:01 PM,C,20.274
04/08/14 10:25:01 PM,C,20.149
04/08/14 10:45:01 PM,C,20.024
04/08/14 11:05:01 PM,C,19.961
04/08/14 11:25:01 PM,C,19.836
04/08/14 11:45:01 PM,C,19.774
05/08/14 12:05:01 AM,C,19.711
05/08/14 12:25:01 AM,C,19.586
05/08/14 12:45:01 AM,C,19.586
05/08/14 01:05:01 AM,C,19.523
05/08/14 01:25:01 AM,C,19.461
05/08/14 01:45:01 AM,C,19.461
05/08/14 02:05:01 AM,C,19.398
05/08/14 02:25:01 AM,C,19.336
05/08/14 02:45:01 AM,C,19.273
05/08/14 03:05:01 AM,C,19.211
05/08/14 03:25:01 AM,C,19.211
05/08/14 03:45:01 AM,C,19.148
05/08/14 04:05:01 AM,C,19.086
05/08/14 04:25:01 AM,C,19.086
05/08/14 04:45:01 AM,C,19.023
05/08/14 05:05:01 AM,C,18.96
05/08/14 05:25:01 AM,C,18.96
05/08/14 05:45:01 AM,C,18.898
05/08/14 06:05:01 AM,C,18.96
05/08/14 06:25:01 AM,C,18.96
05/08/14 06:45:01 AM,C,19.023
05/08/14 07:05:01 AM,C,19.148
05/08/14 07:25:01 AM,C,19.211
05/08/14 07:45:01 AM,C,19.336
05/08/14 08:05:01 AM,C,19.398
05/08/14 08:25:01 AM,C,19.523
05/08/14 08:45:01 AM,C,19.648
05/08/14 09:05:01 AM,C,19.711
05/08/14 09:25:01 AM,C,19.899
05/08/14 09:45:01 AM,C,20.211
05/08/14 10:05:01 AM,C,20.399
05/08/14 10:25:01 AM,C,20.649
05/08/14 10:45:01 AM,C,20.962
05/08/14 11:05:01 AM,C,21.149
05/08/14 11:25:01 AM,C,21.337
05/08/14 11:45:01 AM,C,21.65
05/08/14 12:05:01 PM,C,21.962
05/08/14 12:25:01 PM,C,22.025
05/08/14 12:45:01 PM,C,23.275
05/08/14 01:05:01 PM,C,24.213
05/08/14 01:25:01 PM,C,23.9
05/08/14 01:45:01 PM,C,23.65
05/08/14 02:05:01 PM,C,23.713
05/08/14 02:25:01 PM,C,23.588
05/08/14 02:45:01 PM,C,23.463
05/08/14 03:05:01 PM,C,23.275
05/08/14 03:25:01 PM,C,23.15
05/08/14 03:45:01 PM,C,23.025
05/08/14 04:05:01 PM,C,22.838
05/08/14 04:25:01 PM,C,22.65
05/08/14 04:45:01 PM,C,22.462
05/08/14 05:05:01 PM,C,22.337
05/08/14 05:25:01 PM,C,22.087
05/08/14 05:45:01 PM,C,21.9
05/08/14 06:05:01 PM,C,21.712
05/08/14 06:25:01 PM,C,21.462
05/08/14 06:45:01 PM,C,21.274
05/08/14 07:05:01 PM,C,21.087
05/08/14 07:25:01 PM,C,20.899
05/08/14 07:45:01 PM,C,20.649
05/08/14 08:05:01 PM,C,20.524
05/08/14 08:25:01 PM,C,20.336
05/08/14 08:45:01 PM,C,20.274
05/08/14 09:05:01 PM,C,20.149
05/08/14 09:25:01 PM,C,20.024
05/08/14 09:45:01 PM,C,19.836
05/08/14 10:05:01 PM,C,19.711
05/08/14 10:25:01 PM,C,19.523
05/08/14 10:45:01 PM,C,19.336
05/08/14 11:05:01 PM,C,19.211
05/08/14 11:25:01 PM,C,19.086
05/08/14 11:45:01 PM,C,19.023
06/08/14 12:05:01 AM,C,18.898
06/08/14 12:25:01 AM,C,18.835
06/08/14 12:45:01 AM,C,18.773
06/08/14 01:05:01 AM,C,18.648
06/08/14 01:25:01 AM,C,18.648
06/08/14 01:45:01 AM,C,18.585
06/08/14 02:05:01 AM,C,18.585
06/08/14 02:25:01 AM,C,18.585
06/08/14 02:45:01 AM,C,18.585
06/08/14 03:05:01 AM,C,18.585
06/08/14 03:25:01 AM,C,18.585
06/08/14 03:45:01 AM,C,18.585
06/08/14 04:05:01 AM,C,18.585
06/08/14 04:25:01 AM,C,18.648
06/08/14 04:45:01 AM,C,18.71
06/08/14 05:05:01 AM,C,18.71
06/08/14 05:25:01 AM,C,18.773
06/08/14 05:45:01 AM,C,18.773
06/08/14 06:05:01 AM,C,18.835
06/08/14 06:25:01 AM,C,18.898
06/08/14 06:45:01 AM,C,18.96
06/08/14 07:05:01 AM,C,18.773
06/08/14 07:25:01 AM,C,18.773
06/08/14 07:45:01 AM,C,18.835
06/08/14 08:05:01 AM,C,18.835
06/08/14 08:25:01 AM,C,18.96
06/08/14 08:45:01 AM,C,19.086
06/08/14 09:05:01 AM,C,19.398
06/08/14 09:25:01 AM,C,19.648
06/08/14 09:45:01 AM,C,19.961
06/08/14 10:05:01 AM,C,20.211
06/08/14 10:25:01 AM,C,20.399
06/08/14 10:45:01 AM,C,20.712
06/08/14 11:05:01 AM,C,21.024
06/08/14 11:25:01 AM,C,21.525
06/08/14 11:45:01 AM,C,21.65
06/08/14 12:05:01 PM,C,21.9
06/08/14 12:25:01 PM,C,21.837
06/08/14 12:45:01 PM,C,21.775
06/08/14 01:05:01 PM,C,21.712
06/08/14 01:25:01 PM,C,21.712
06/08/14 01:45:01 PM,C,22.337
06/08/14 02:05:01 PM,C,22.15
06/08/14 02:25:01 PM,C,22.087
06/08/14 02:45:01 PM,C,22.15
06/08/14 03:05:01 PM,C,22.15
06/08/14 03:25:01 PM,C,22.087
06/08/14 03:45:01 PM,C,22.025
06/08/14 04:05:01 PM,C,21.962
06/08/14 04:25:01 PM,C,21.9
06/08/14 04:45:01 PM,C,21.837
06/08/14 05:05:01 PM,C,21.712
06/08/14 05:25:01 PM,C,21.587
06/08/14 05:45:01 PM,C,21.462
06/08/14 06:05:01 PM,C,21.274
06/08/14 06:25:01 PM,C,21.149
06/08/14 06:45:01 PM,C,21.087
06/08/14 07:05:01 PM,C,20.899
06/08/14 07:25:01 PM,C,20.837
06/08/14 07:45:01 PM,C,20.712
06/08/14 08:05:01 PM,C,20.587
06/08/14 08:25:01 PM,C,20.461
06/08/14 08:45:01 PM,C,20.274
06/08/14 09:05:01 PM,C,20.211
06/08/14 09:25:01 PM,C,20.086
06/08/14 09:45:01 PM,C,19.961
06/08/14 10:05:01 PM,C,19.899
06/08/14 10:25:01 PM,C,19.836
06/08/14 10:45:01 PM,C,19.774
06/08/14 11:05:01 PM,C,19.648
06/08/14 11:25:01 PM,C,19.523
06/08/14 11:45:01 PM,C,19.523
07/08/14 12:05:01 AM,C,19.461
07/08/14 12:25:01 AM,C,19.398
07/08/14 12:45:01 AM,C,19.336
07/08/14 01:05:01 AM,C,19.273
07/08/14 01:25:01 AM,C,19.211
07/08/14 01:45:01 AM,C,19.148
07/08/14 02:05:01 AM,C,19.086
07/08/14 02:25:01 AM,C,19.023
