1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 220000003382CA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:10:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:50:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10754
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:50:01 PM,C,16.818
04/08/14 09:10:01 PM,C,16.568
04/08/14 09:30:01 PM,C,16.38
04/08/14 09:50:01 PM,C,16.192
04/08/14 10:10:01 PM,C,16.129
04/08/14 10:30:01 PM,C,16.129
04/08/14 10:50:01 PM,C,16.254
04/08/14 11:10:01 PM,C,16.004
04/08/14 11:30:01 PM,C,15.878
04/08/14 11:50:01 PM,C,15.941
05/08/14 12:10:01 AM,C,16.004
05/08/14 12:30:01 AM,C,16.066
05/08/14 12:50:01 AM,C,16.192
05/08/14 01:10:01 AM,C,16.192
05/08/14 01:30:01 AM,C,16.192
05/08/14 01:50:01 AM,C,16.317
05/08/14 02:10:01 AM,C,16.38
05/08/14 02:30:01 AM,C,16.317
05/08/14 02:50:01 AM,C,15.941
05/08/14 03:10:01 AM,C,15.753
05/08/14 03:30:01 AM,C,15.941
05/08/14 03:50:01 AM,C,15.816
05/08/14 04:10:01 AM,C,16.004
05/08/14 04:30:01 AM,C,15.878
05/08/14 04:50:01 AM,C,15.878
05/08/14 05:10:01 AM,C,15.878
05/08/14 05:30:01 AM,C,15.878
05/08/14 05:50:01 AM,C,16.004
05/08/14 06:10:01 AM,C,17.006
05/08/14 06:30:01 AM,C,17.821
05/08/14 06:50:01 AM,C,21.889
05/08/14 07:10:01 AM,C,23.578
05/08/14 07:30:01 AM,C,23.015
05/08/14 07:50:01 AM,C,21.139
05/08/14 08:10:01 AM,C,21.639
05/08/14 08:30:01 AM,C,21.326
05/08/14 08:50:01 AM,C,21.639
05/08/14 09:10:01 AM,C,22.702
05/08/14 09:30:01 AM,C,24.141
05/08/14 09:50:01 AM,C,25.078
05/08/14 10:10:01 AM,C,25.578
05/08/14 10:30:01 AM,C,26.515
05/08/14 10:50:01 AM,C,26.828
05/08/14 11:10:01 AM,C,26.078
05/08/14 11:30:01 AM,C,25.891
05/08/14 11:50:01 AM,C,27.327
05/08/14 12:10:01 PM,C,27.327
05/08/14 12:30:01 PM,C,26.265
05/08/14 12:50:01 PM,C,30.823
05/08/14 01:10:01 PM,C,31.571
05/08/14 01:30:01 PM,C,27.015
05/08/14 01:50:01 PM,C,25.766
05/08/14 02:10:01 PM,C,27.14
05/08/14 02:30:01 PM,C,27.077
05/08/14 02:50:01 PM,C,30.136
05/08/14 03:10:01 PM,C,30.448
05/08/14 03:30:01 PM,C,29.637
05/08/14 03:50:01 PM,C,27.452
05/08/14 04:10:01 PM,C,24.641
05/08/14 04:30:01 PM,C,23.578
05/08/14 04:50:01 PM,C,22.265
05/08/14 05:10:01 PM,C,21.076
05/08/14 05:30:01 PM,C,20.262
05/08/14 05:50:01 PM,C,19.386
05/08/14 06:10:01 PM,C,18.572
05/08/14 06:30:01 PM,C,18.384
05/08/14 06:50:01 PM,C,18.196
05/08/14 07:10:01 PM,C,17.883
05/08/14 07:30:01 PM,C,17.382
05/08/14 07:50:01 PM,C,16.944
05/08/14 08:10:01 PM,C,16.568
05/08/14 08:30:01 PM,C,16.63
05/08/14 08:50:01 PM,C,16.63
05/08/14 09:10:01 PM,C,16.442
05/08/14 09:30:01 PM,C,16.317
05/08/14 09:50:01 PM,C,16.63
05/08/14 10:10:01 PM,C,15.941
05/08/14 10:30:01 PM,C,15.753
05/08/14 10:50:01 PM,C,15.502
05/08/14 11:10:01 PM,C,15.628
05/08/14 11:30:01 PM,C,16.004
05/08/14 11:50:01 PM,C,16.066
06/08/14 12:10:01 AM,C,15.941
06/08/14 12:30:01 AM,C,15.502
06/08/14 12:50:01 AM,C,15.565
06/08/14 01:10:01 AM,C,15.565
06/08/14 01:30:01 AM,C,15.753
06/08/14 01:50:01 AM,C,16.192
06/08/14 02:10:01 AM,C,16.192
06/08/14 02:30:01 AM,C,16.066
06/08/14 02:50:01 AM,C,16.505
06/08/14 03:10:01 AM,C,16.693
06/08/14 03:30:01 AM,C,16.944
06/08/14 03:50:01 AM,C,16.881
06/08/14 04:10:01 AM,C,17.319
06/08/14 04:30:01 AM,C,17.695
06/08/14 04:50:01 AM,C,17.633
06/08/14 05:10:01 AM,C,17.695
06/08/14 05:30:01 AM,C,17.946
