1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F3000000337D1E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:51:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:11:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10781
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:11:01 PM,C,17.51
04/08/14 08:31:01 PM,C,17.135
04/08/14 08:51:01 PM,C,16.884
04/08/14 09:11:01 PM,C,16.634
04/08/14 09:31:01 PM,C,16.446
04/08/14 09:51:01 PM,C,16.446
04/08/14 10:11:01 PM,C,16.446
04/08/14 10:31:01 PM,C,16.508
04/08/14 10:51:01 PM,C,16.508
04/08/14 11:11:01 PM,C,16.508
04/08/14 11:31:01 PM,C,16.696
04/08/14 11:51:01 PM,C,16.508
05/08/14 12:11:01 AM,C,16.446
05/08/14 12:31:01 AM,C,16.571
05/08/14 12:51:01 AM,C,16.571
05/08/14 01:11:01 AM,C,16.571
05/08/14 01:31:01 AM,C,16.696
05/08/14 01:51:01 AM,C,17.072
05/08/14 02:11:01 AM,C,17.009
05/08/14 02:31:01 AM,C,16.759
05/08/14 02:51:01 AM,C,16.759
05/08/14 03:11:01 AM,C,16.696
05/08/14 03:31:01 AM,C,16.508
05/08/14 03:51:01 AM,C,16.821
05/08/14 04:11:01 AM,C,16.759
05/08/14 04:31:01 AM,C,16.696
05/08/14 04:51:01 AM,C,16.759
05/08/14 05:11:01 AM,C,16.947
05/08/14 05:31:01 AM,C,16.884
05/08/14 05:51:01 AM,C,17.51
05/08/14 06:11:01 AM,C,22.265
05/08/14 06:31:01 AM,C,24.953
05/08/14 06:51:01 AM,C,26.703
05/08/14 07:11:01 AM,C,27.14
05/08/14 07:31:01 AM,C,28.264
05/08/14 07:51:01 AM,C,28.264
05/08/14 08:11:01 AM,C,29.264
05/08/14 08:31:01 AM,C,29.701
05/08/14 08:51:01 AM,C,30.138
05/08/14 09:11:01 AM,C,30.7
05/08/14 09:31:01 AM,C,26.328
05/08/14 09:51:01 AM,C,28.264
05/08/14 10:11:01 AM,C,30.263
05/08/14 10:31:01 AM,C,27.328
05/08/14 10:51:01 AM,C,26.765
05/08/14 11:11:01 AM,C,25.516
05/08/14 11:31:01 AM,C,25.453
05/08/14 11:51:01 AM,C,28.327
05/08/14 12:11:01 PM,C,26.703
05/08/14 12:31:01 PM,C,25.203
05/08/14 12:51:01 PM,C,29.201
05/08/14 01:11:01 PM,C,28.889
05/08/14 01:31:01 PM,C,24.703
05/08/14 01:51:01 PM,C,24.578
05/08/14 02:11:01 PM,C,26.828
05/08/14 02:31:01 PM,C,25.828
05/08/14 02:51:01 PM,C,26.578
05/08/14 03:11:01 PM,C,26.703
05/08/14 03:31:01 PM,C,25.453
05/08/14 03:51:01 PM,C,24.391
05/08/14 04:11:01 PM,C,21.89
05/08/14 04:31:01 PM,C,21.327
05/08/14 04:51:01 PM,C,20.952
05/08/14 05:11:01 PM,C,20.451
05/08/14 05:31:01 PM,C,19.951
05/08/14 05:51:01 PM,C,19.2
05/08/14 06:11:01 PM,C,18.762
05/08/14 06:31:01 PM,C,18.449
05/08/14 06:51:01 PM,C,18.261
05/08/14 07:11:01 PM,C,17.76
05/08/14 07:31:01 PM,C,17.573
05/08/14 07:51:01 PM,C,17.51
05/08/14 08:11:01 PM,C,17.385
05/08/14 08:31:01 PM,C,17.51
05/08/14 08:51:01 PM,C,17.385
05/08/14 09:11:01 PM,C,17.26
05/08/14 09:31:01 PM,C,16.884
05/08/14 09:51:01 PM,C,17.447
05/08/14 10:11:01 PM,C,17.009
05/08/14 10:31:01 PM,C,16.759
05/08/14 10:51:01 PM,C,17.135
05/08/14 11:11:01 PM,C,17.26
05/08/14 11:31:01 PM,C,17.447
05/08/14 11:51:01 PM,C,17.322
06/08/14 12:11:01 AM,C,16.634
06/08/14 12:31:01 AM,C,16.634
06/08/14 12:51:01 AM,C,16.759
06/08/14 01:11:01 AM,C,16.696
06/08/14 01:31:01 AM,C,16.884
