1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6F000000337D4841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:18:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:18:01 CST 2014
Total Mission Samples:  3871
Total Device Samples:  10734
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:18:01 PM,C,17.459
04/08/14 08:38:01 PM,C,16.833
04/08/14 08:58:01 PM,C,16.395
04/08/14 09:18:01 PM,C,16.145
04/08/14 09:38:01 PM,C,16.083
04/08/14 09:58:01 PM,C,15.832
04/08/14 10:18:01 PM,C,15.707
04/08/14 10:38:01 PM,C,15.77
04/08/14 10:58:01 PM,C,15.707
04/08/14 11:18:01 PM,C,15.519
04/08/14 11:38:01 PM,C,15.519
04/08/14 11:58:01 PM,C,15.394
05/08/14 12:18:01 AM,C,15.394
05/08/14 12:38:01 AM,C,15.707
05/08/14 12:58:01 AM,C,15.832
05/08/14 01:18:01 AM,C,15.707
05/08/14 01:38:01 AM,C,15.832
05/08/14 01:58:01 AM,C,15.895
05/08/14 02:18:01 AM,C,15.77
05/08/14 02:38:01 AM,C,15.77
05/08/14 02:58:01 AM,C,15.519
05/08/14 03:18:01 AM,C,15.457
05/08/14 03:38:01 AM,C,15.457
05/08/14 03:58:01 AM,C,15.332
05/08/14 04:18:01 AM,C,15.394
05/08/14 04:38:01 AM,C,15.269
05/08/14 04:58:01 AM,C,15.207
05/08/14 05:18:01 AM,C,15.081
05/08/14 05:38:01 AM,C,15.144
05/08/14 05:58:01 AM,C,15.832
05/08/14 06:18:01 AM,C,19.461
05/08/14 06:38:01 AM,C,18.835
05/08/14 06:58:01 AM,C,19.273
05/08/14 07:18:01 AM,C,21.587
05/08/14 07:38:01 AM,C,23.775
05/08/14 07:58:01 AM,C,25.088
05/08/14 08:18:01 AM,C,27.15
05/08/14 08:38:01 AM,C,28.4
05/08/14 08:58:01 AM,C,29.462
05/08/14 09:18:01 AM,C,27.525
05/08/14 09:38:01 AM,C,27.588
05/08/14 09:58:01 AM,C,31.148
05/08/14 10:18:01 AM,C,29.899
05/08/14 10:38:01 AM,C,30.086
05/08/14 10:58:01 AM,C,27.588
05/08/14 11:18:01 AM,C,26.775
05/08/14 11:38:01 AM,C,29.149
05/08/14 11:58:01 AM,C,30.024
05/08/14 12:18:01 PM,C,28.212
05/08/14 12:38:01 PM,C,30.524
05/08/14 12:58:01 PM,C,32.21
05/08/14 01:18:01 PM,C,29.399
05/08/14 01:38:01 PM,C,25.088
