1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3100000033761841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:11:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:31:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10752
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:31:01 PM,C,17.709
04/08/14 08:51:01 PM,C,17.271
04/08/14 09:11:01 PM,C,17.021
04/08/14 09:31:01 PM,C,16.833
04/08/14 09:51:01 PM,C,16.708
04/08/14 10:11:01 PM,C,16.646
04/08/14 10:31:01 PM,C,16.583
04/08/14 10:51:01 PM,C,16.458
04/08/14 11:11:01 PM,C,16.395
04/08/14 11:31:01 PM,C,16.333
04/08/14 11:51:01 PM,C,16.395
05/08/14 12:11:01 AM,C,16.333
05/08/14 12:31:01 AM,C,16.208
05/08/14 12:51:01 AM,C,16.208
05/08/14 01:11:01 AM,C,16.333
05/08/14 01:31:01 AM,C,16.27
05/08/14 01:51:01 AM,C,16.395
05/08/14 02:11:01 AM,C,16.333
05/08/14 02:31:01 AM,C,16.208
05/08/14 02:51:01 AM,C,16.208
05/08/14 03:11:01 AM,C,16.145
05/08/14 03:31:01 AM,C,15.957
05/08/14 03:51:01 AM,C,16.02
05/08/14 04:11:01 AM,C,16.145
05/08/14 04:31:01 AM,C,16.083
05/08/14 04:51:01 AM,C,15.895
05/08/14 05:11:01 AM,C,15.895
05/08/14 05:31:01 AM,C,15.895
05/08/14 05:51:01 AM,C,15.957
05/08/14 06:11:01 AM,C,16.395
05/08/14 06:31:01 AM,C,17.334
05/08/14 06:51:01 AM,C,18.335
05/08/14 07:11:01 AM,C,18.648
05/08/14 07:31:01 AM,C,19.211
05/08/14 07:51:01 AM,C,20.274
05/08/14 08:11:01 AM,C,21.462
05/08/14 08:31:01 AM,C,21.65
05/08/14 08:51:01 AM,C,22.462
05/08/14 09:11:01 AM,C,24.088
05/08/14 09:31:01 AM,C,23.775
05/08/14 09:51:01 AM,C,24.713
05/08/14 10:11:01 AM,C,25.588
05/08/14 10:31:01 AM,C,25.275
05/08/14 10:51:01 AM,C,26.15
05/08/14 11:11:01 AM,C,25.275
05/08/14 11:31:01 AM,C,25.838
