1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1F000000337DAB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:14:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:34:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10826
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:34:01 PM,C,16.881
04/08/14 08:54:01 PM,C,16.63
04/08/14 09:14:01 PM,C,16.568
04/08/14 09:34:01 PM,C,16.442
04/08/14 09:54:01 PM,C,16.505
04/08/14 10:14:01 PM,C,16.568
04/08/14 10:34:01 PM,C,16.693
04/08/14 10:54:01 PM,C,16.442
04/08/14 11:14:01 PM,C,16.192
04/08/14 11:34:01 PM,C,16.192
04/08/14 11:54:01 PM,C,16.129
05/08/14 12:14:01 AM,C,15.816
05/08/14 12:34:01 AM,C,16.38
05/08/14 12:54:01 AM,C,16.317
05/08/14 01:14:01 AM,C,16.317
05/08/14 01:34:01 AM,C,16.317
05/08/14 01:54:01 AM,C,16.442
05/08/14 02:14:01 AM,C,16.38
05/08/14 02:34:01 AM,C,16.254
05/08/14 02:54:01 AM,C,16.066
05/08/14 03:14:01 AM,C,16.254
05/08/14 03:34:01 AM,C,16.129
05/08/14 03:54:01 AM,C,15.816
05/08/14 04:14:01 AM,C,15.878
05/08/14 04:34:01 AM,C,16.004
05/08/14 04:54:01 AM,C,16.129
05/08/14 05:14:01 AM,C,15.816
05/08/14 05:34:01 AM,C,15.878
05/08/14 05:54:01 AM,C,16.066
05/08/14 06:14:01 AM,C,17.445
05/08/14 06:34:01 AM,C,19.574
05/08/14 06:54:01 AM,C,20.513
05/08/14 07:14:01 AM,C,23.328
05/08/14 07:34:01 AM,C,24.828
05/08/14 07:54:01 AM,C,26.14
05/08/14 08:14:01 AM,C,28.389
05/08/14 08:34:01 AM,C,30.386
05/08/14 08:54:01 AM,C,31.197
05/08/14 09:14:01 AM,C,32.008
05/08/14 09:34:01 AM,C,32.694
05/08/14 09:54:01 AM,C,29.887
05/08/14 10:14:01 AM,C,29.075
05/08/14 10:34:01 AM,C,29.013
05/08/14 10:54:01 AM,C,28.264
05/08/14 11:14:01 AM,C,28.326
05/08/14 11:34:01 AM,C,28.514
05/08/14 11:54:01 AM,C,28.326
05/08/14 12:14:01 PM,C,28.639
05/08/14 12:34:01 PM,C,30.823
05/08/14 12:54:01 PM,C,31.634
05/08/14 01:14:01 PM,C,32.32
05/08/14 01:34:01 PM,C,27.515
05/08/14 01:54:01 PM,C,26.203
05/08/14 02:14:01 PM,C,26.14
05/08/14 02:34:01 PM,C,25.203
05/08/14 02:54:01 PM,C,26.265
05/08/14 03:14:01 PM,C,25.891
05/08/14 03:34:01 PM,C,26.453
05/08/14 03:54:01 PM,C,25.391
05/08/14 04:14:01 PM,C,24.328
05/08/14 04:34:01 PM,C,22.89
05/08/14 04:54:01 PM,C,22.077
05/08/14 05:14:01 PM,C,21.013
05/08/14 05:34:01 PM,C,20.325
05/08/14 05:54:01 PM,C,19.449
05/08/14 06:14:01 PM,C,18.51
05/08/14 06:34:01 PM,C,18.071
05/08/14 06:54:01 PM,C,17.821
05/08/14 07:14:01 PM,C,17.57
05/08/14 07:34:01 PM,C,17.257
05/08/14 07:54:01 PM,C,16.881
05/08/14 08:14:01 PM,C,16.568
05/08/14 08:34:01 PM,C,16.38
05/08/14 08:54:01 PM,C,16.317
05/08/14 09:14:01 PM,C,16.317
05/08/14 09:34:01 PM,C,16.129
05/08/14 09:54:01 PM,C,15.69
05/08/14 10:14:01 PM,C,15.502
05/08/14 10:34:01 PM,C,15.314
05/08/14 10:54:01 PM,C,15.126
05/08/14 11:14:01 PM,C,14.813
05/08/14 11:34:01 PM,C,14.374
05/08/14 11:54:01 PM,C,14.499
06/08/14 12:14:01 AM,C,14.687
06/08/14 12:34:01 AM,C,15.001
06/08/14 12:54:01 AM,C,14.813
06/08/14 01:14:01 AM,C,14.813
06/08/14 01:34:01 AM,C,15.126
06/08/14 01:54:01 AM,C,15.126
06/08/14 02:14:01 AM,C,15.063
06/08/14 02:34:01 AM,C,15.189
06/08/14 02:54:01 AM,C,15.44
06/08/14 03:14:01 AM,C,15.44
06/08/14 03:34:01 AM,C,15.69
06/08/14 03:54:01 AM,C,15.941
06/08/14 04:14:01 AM,C,16.505
06/08/14 04:34:01 AM,C,16.693
06/08/14 04:54:01 AM,C,16.944
06/08/14 05:14:01 AM,C,17.194
06/08/14 05:34:01 AM,C,17.319
06/08/14 05:54:01 AM,C,17.382
06/08/14 06:14:01 AM,C,17.758
06/08/14 06:34:01 AM,C,18.134
06/08/14 06:54:01 AM,C,18.259
06/08/14 07:14:01 AM,C,18.008
06/08/14 07:34:01 AM,C,18.196
06/08/14 07:54:01 AM,C,18.384
06/08/14 08:14:01 AM,C,18.635
06/08/14 08:34:01 AM,C,19.386
06/08/14 08:54:01 AM,C,20.513
06/08/14 09:14:01 AM,C,22.14
06/08/14 09:34:01 AM,C,24.453
06/08/14 09:54:01 AM,C,26.828
06/08/14 10:14:01 AM,C,28.014
06/08/14 10:34:01 AM,C,29.138
06/08/14 10:54:01 AM,C,31.945
06/08/14 11:14:01 AM,C,31.322
06/08/14 11:34:01 AM,C,34.314
06/08/14 11:54:01 AM,C,29.824
06/08/14 12:14:01 PM,C,26.765
06/08/14 12:34:01 PM,C,25.453
06/08/14 12:54:01 PM,C,23.891
06/08/14 01:14:01 PM,C,23.891
