1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 44000000337DBB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:17:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:37:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10745
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:37:01 PM,C,17.242
04/08/14 08:57:01 PM,C,16.741
04/08/14 09:17:01 PM,C,16.678
04/08/14 09:37:01 PM,C,16.49
04/08/14 09:57:01 PM,C,16.24
04/08/14 10:17:01 PM,C,16.177
04/08/14 10:37:01 PM,C,16.24
04/08/14 10:57:01 PM,C,16.177
04/08/14 11:17:01 PM,C,15.989
04/08/14 11:37:01 PM,C,15.676
04/08/14 11:57:01 PM,C,15.488
05/08/14 12:17:01 AM,C,15.551
05/08/14 12:37:01 AM,C,15.614
05/08/14 12:57:01 AM,C,15.927
05/08/14 01:17:01 AM,C,15.801
05/08/14 01:37:01 AM,C,15.927
05/08/14 01:57:01 AM,C,16.302
05/08/14 02:17:01 AM,C,16.115
05/08/14 02:37:01 AM,C,15.801
05/08/14 02:57:01 AM,C,15.864
05/08/14 03:17:01 AM,C,15.864
05/08/14 03:37:01 AM,C,15.551
05/08/14 03:57:01 AM,C,15.488
05/08/14 04:17:01 AM,C,15.801
05/08/14 04:37:01 AM,C,15.676
05/08/14 04:57:01 AM,C,15.426
05/08/14 05:17:01 AM,C,15.426
05/08/14 05:37:01 AM,C,15.426
05/08/14 05:57:01 AM,C,15.426
05/08/14 06:17:01 AM,C,16.052
05/08/14 06:37:01 AM,C,16.803
05/08/14 06:57:01 AM,C,17.68
05/08/14 07:17:01 AM,C,18.493
05/08/14 07:37:01 AM,C,18.931
05/08/14 07:57:01 AM,C,19.933
05/08/14 08:17:01 AM,C,20.934
05/08/14 08:37:01 AM,C,20.871
05/08/14 08:57:01 AM,C,21.184
05/08/14 09:17:01 AM,C,21.497
05/08/14 09:37:01 AM,C,22.685
05/08/14 09:57:01 AM,C,22.497
05/08/14 10:17:01 AM,C,23.935
05/08/14 10:37:01 AM,C,25.248
05/08/14 10:57:01 AM,C,24.998
05/08/14 11:17:01 AM,C,25.186
05/08/14 11:37:01 AM,C,25.436
05/08/14 11:57:01 AM,C,26.498
05/08/14 12:17:01 PM,C,27.185
05/08/14 12:37:01 PM,C,29.621
05/08/14 12:57:01 PM,C,31.931
05/08/14 01:17:01 PM,C,31.682
05/08/14 01:37:01 PM,C,25.873
05/08/14 01:57:01 PM,C,27.185
05/08/14 02:17:01 PM,C,28.06
05/08/14 02:37:01 PM,C,28.747
05/08/14 02:57:01 PM,C,29.621
05/08/14 03:17:01 PM,C,26.748
05/08/14 03:37:01 PM,C,25.873
05/08/14 03:57:01 PM,C,24.185
05/08/14 04:17:01 PM,C,22.872
05/08/14 04:37:01 PM,C,22.185
05/08/14 04:57:01 PM,C,21.434
05/08/14 05:17:01 PM,C,20.558
05/08/14 05:37:01 PM,C,19.808
05/08/14 05:57:01 PM,C,18.994
05/08/14 06:17:01 PM,C,18.18
05/08/14 06:37:01 PM,C,18.055
05/08/14 06:57:01 PM,C,17.742
05/08/14 07:17:01 PM,C,17.304
05/08/14 07:37:01 PM,C,16.741
05/08/14 07:57:01 PM,C,16.428
05/08/14 08:17:01 PM,C,16.177
05/08/14 08:37:01 PM,C,16.052
05/08/14 08:57:01 PM,C,16.115
05/08/14 09:17:01 PM,C,15.989
05/08/14 09:37:01 PM,C,15.676
05/08/14 09:57:01 PM,C,15.175
05/08/14 10:17:01 PM,C,14.799
05/08/14 10:37:01 PM,C,14.424
05/08/14 10:57:01 PM,C,14.11
05/08/14 11:17:01 PM,C,13.985
05/08/14 11:37:01 PM,C,13.86
05/08/14 11:57:01 PM,C,13.923
06/08/14 12:17:01 AM,C,13.86
06/08/14 12:37:01 AM,C,13.86
06/08/14 12:57:01 AM,C,13.797
06/08/14 01:17:01 AM,C,13.923
06/08/14 01:37:01 AM,C,14.173
06/08/14 01:57:01 AM,C,14.298
06/08/14 02:17:01 AM,C,14.424
06/08/14 02:37:01 AM,C,14.612
06/08/14 02:57:01 AM,C,14.987
06/08/14 03:17:01 AM,C,14.987
06/08/14 03:37:01 AM,C,15.175
06/08/14 03:57:01 AM,C,15.551
06/08/14 04:17:01 AM,C,16.052
06/08/14 04:37:01 AM,C,16.365
06/08/14 04:57:01 AM,C,16.678
06/08/14 05:17:01 AM,C,16.928
06/08/14 05:37:01 AM,C,16.991
06/08/14 05:57:01 AM,C,17.179
06/08/14 06:17:01 AM,C,17.367
06/08/14 06:37:01 AM,C,17.492
06/08/14 06:57:01 AM,C,17.742
06/08/14 07:17:01 AM,C,17.617
06/08/14 07:37:01 AM,C,17.68
06/08/14 07:57:01 AM,C,17.867
