1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 23000000337E5B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:44:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:04:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10881
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:04:01 PM,C,19.247
04/08/14 08:24:01 PM,C,18.872
04/08/14 08:44:01 PM,C,18.559
04/08/14 09:04:01 PM,C,18.246
04/08/14 09:24:01 PM,C,17.996
04/08/14 09:44:01 PM,C,17.871
04/08/14 10:04:01 PM,C,17.62
04/08/14 10:24:01 PM,C,17.432
04/08/14 10:44:01 PM,C,17.245
04/08/14 11:04:01 PM,C,17.12
04/08/14 11:24:01 PM,C,17.057
04/08/14 11:44:01 PM,C,17.307
05/08/14 12:04:01 AM,C,17.057
05/08/14 12:24:01 AM,C,16.869
05/08/14 12:44:01 AM,C,17.12
05/08/14 01:04:01 AM,C,16.994
05/08/14 01:24:01 AM,C,17.057
05/08/14 01:44:01 AM,C,17.12
05/08/14 02:04:01 AM,C,17.182
05/08/14 02:24:01 AM,C,16.932
05/08/14 02:44:01 AM,C,16.807
05/08/14 03:04:01 AM,C,16.807
05/08/14 03:24:01 AM,C,16.807
05/08/14 03:44:01 AM,C,16.744
05/08/14 04:04:01 AM,C,16.744
05/08/14 04:24:01 AM,C,16.681
05/08/14 04:44:01 AM,C,16.619
05/08/14 05:04:01 AM,C,16.619
05/08/14 05:24:01 AM,C,16.494
05/08/14 05:44:01 AM,C,16.431
05/08/14 06:04:01 AM,C,16.869
05/08/14 06:24:01 AM,C,18.371
05/08/14 06:44:01 AM,C,19.748
05/08/14 07:04:01 AM,C,19.623
05/08/14 07:24:01 AM,C,24.813
05/08/14 07:44:01 AM,C,25.375
05/08/14 08:04:01 AM,C,25.125
05/08/14 08:24:01 AM,C,26.625
05/08/14 08:44:01 AM,C,27.125
