1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2900000033821041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:55:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:35:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10773
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:35:01 AM,C,15.121
04/08/14 04:55:01 AM,C,15.371
04/08/14 05:15:01 AM,C,15.434
04/08/14 05:35:01 AM,C,15.246
04/08/14 05:55:01 AM,C,15.559
04/08/14 06:15:01 AM,C,16.435
04/08/14 06:35:01 AM,C,18.748
04/08/14 06:55:01 AM,C,20.937
04/08/14 07:15:01 AM,C,20.187
04/08/14 07:35:01 AM,C,21.5
04/08/14 07:55:01 AM,C,24.625
04/08/14 08:15:01 AM,C,26.625
04/08/14 08:35:01 AM,C,28.937
04/08/14 08:55:01 AM,C,30.124
04/08/14 09:15:01 AM,C,31.061
04/08/14 09:35:01 AM,C,31.935
04/08/14 09:55:01 AM,C,30.374
04/08/14 10:15:01 AM,C,30.561
04/08/14 10:35:01 AM,C,32.81
04/08/14 10:55:01 AM,C,32.81
04/08/14 11:15:01 AM,C,31.623
04/08/14 11:35:01 AM,C,32.123
04/08/14 11:55:01 AM,C,31.436
04/08/14 12:15:01 PM,C,31.623
04/08/14 12:35:01 PM,C,31.623
04/08/14 12:55:01 PM,C,32.872
04/08/14 01:15:01 PM,C,33.497
04/08/14 01:35:01 PM,C,33.934
04/08/14 01:55:01 PM,C,31.498
04/08/14 02:15:01 PM,C,31.623
04/08/14 02:35:01 PM,C,29.124
04/08/14 02:55:01 PM,C,27.375
04/08/14 03:15:01 PM,C,25.5
04/08/14 03:35:01 PM,C,23.187
04/08/14 03:55:01 PM,C,21.249
