1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F2000000337EB041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:43:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10650
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:43:01 AM,C,20.996
04/08/14 05:03:01 AM,C,20.934
04/08/14 05:23:01 AM,C,20.871
04/08/14 05:43:01 AM,C,20.871
04/08/14 06:03:01 AM,C,20.808
04/08/14 06:23:01 AM,C,20.746
04/08/14 06:43:01 AM,C,20.746
04/08/14 07:03:01 AM,C,20.683
04/08/14 07:23:01 AM,C,20.683
04/08/14 07:43:01 AM,C,20.621
04/08/14 08:03:01 AM,C,20.621
04/08/14 08:23:01 AM,C,20.683
04/08/14 08:43:01 AM,C,20.683
04/08/14 09:03:01 AM,C,20.683
04/08/14 09:23:01 AM,C,20.746
04/08/14 09:43:01 AM,C,20.808
04/08/14 10:03:01 AM,C,20.934
04/08/14 10:23:01 AM,C,21.121
04/08/14 10:43:01 AM,C,21.309
04/08/14 11:03:01 AM,C,21.497
04/08/14 11:23:01 AM,C,21.684
04/08/14 11:43:01 AM,C,21.872
04/08/14 12:03:01 PM,C,22.059
04/08/14 12:23:01 PM,C,22.247
04/08/14 12:43:01 PM,C,22.435
04/08/14 01:03:01 PM,C,22.622
04/08/14 01:23:01 PM,C,22.747
04/08/14 01:43:01 PM,C,22.872
04/08/14 02:03:01 PM,C,22.997
04/08/14 02:23:01 PM,C,23.122
04/08/14 02:43:01 PM,C,23.185
04/08/14 03:03:01 PM,C,23.248
04/08/14 03:23:01 PM,C,23.31
04/08/14 03:43:01 PM,C,23.498
04/08/14 04:03:01 PM,C,23.498
04/08/14 04:23:01 PM,C,23.623
04/08/14 04:43:01 PM,C,23.56
04/08/14 05:03:01 PM,C,23.31
04/08/14 05:23:01 PM,C,23.373
04/08/14 05:43:01 PM,C,23.31
04/08/14 06:03:01 PM,C,23.248
04/08/14 06:23:01 PM,C,23.185
04/08/14 06:43:01 PM,C,23.122
04/08/14 07:03:01 PM,C,22.997
04/08/14 07:23:01 PM,C,22.935
04/08/14 07:43:01 PM,C,22.872
04/08/14 08:03:01 PM,C,22.81
04/08/14 08:23:01 PM,C,22.747
04/08/14 08:43:01 PM,C,22.685
04/08/14 09:03:01 PM,C,22.622
04/08/14 09:23:01 PM,C,22.497
04/08/14 09:43:01 PM,C,22.435
04/08/14 10:03:01 PM,C,22.372
04/08/14 10:23:01 PM,C,22.31
04/08/14 10:43:01 PM,C,22.247
04/08/14 11:03:01 PM,C,22.122
04/08/14 11:23:01 PM,C,22.122
04/08/14 11:43:01 PM,C,22.059
05/08/14 12:03:01 AM,C,21.997
05/08/14 12:23:01 AM,C,21.934
05/08/14 12:43:01 AM,C,21.934
05/08/14 01:03:01 AM,C,21.809
05/08/14 01:23:01 AM,C,21.809
05/08/14 01:43:01 AM,C,21.747
05/08/14 02:03:01 AM,C,21.684
05/08/14 02:23:01 AM,C,21.622
05/08/14 02:43:01 AM,C,21.559
05/08/14 03:03:01 AM,C,21.497
05/08/14 03:23:01 AM,C,21.434
05/08/14 03:43:01 AM,C,21.371
05/08/14 04:03:01 AM,C,21.309
05/08/14 04:23:01 AM,C,21.246
05/08/14 04:43:01 AM,C,21.246
05/08/14 05:03:01 AM,C,21.184
05/08/14 05:23:01 AM,C,21.121
05/08/14 05:43:01 AM,C,21.059
05/08/14 06:03:01 AM,C,21.059
05/08/14 06:23:01 AM,C,20.996
05/08/14 06:43:01 AM,C,20.934
05/08/14 07:03:01 AM,C,20.934
05/08/14 07:23:01 AM,C,20.871
05/08/14 07:43:01 AM,C,20.871
05/08/14 08:03:01 AM,C,20.871
05/08/14 08:23:01 AM,C,20.871
05/08/14 08:43:01 AM,C,20.871
05/08/14 09:03:01 AM,C,20.934
05/08/14 09:23:01 AM,C,20.934
05/08/14 09:43:01 AM,C,21.059
05/08/14 10:03:01 AM,C,21.184
05/08/14 10:23:01 AM,C,21.371
05/08/14 10:43:01 AM,C,21.559
05/08/14 11:03:01 AM,C,21.747
05/08/14 11:23:01 AM,C,21.934
05/08/14 11:43:01 AM,C,22.059
05/08/14 12:03:01 PM,C,22.184
05/08/14 12:23:01 PM,C,22.31
05/08/14 12:43:01 PM,C,22.435
05/08/14 01:03:01 PM,C,22.56
05/08/14 01:23:01 PM,C,22.622
05/08/14 01:43:01 PM,C,22.747
05/08/14 02:03:01 PM,C,22.872
05/08/14 02:23:01 PM,C,22.935
05/08/14 02:43:01 PM,C,23.06
05/08/14 03:03:01 PM,C,23.122
05/08/14 03:23:01 PM,C,23.185
05/08/14 03:43:01 PM,C,23.185
05/08/14 04:03:01 PM,C,23.248
05/08/14 04:23:01 PM,C,23.248
05/08/14 04:43:01 PM,C,23.31
05/08/14 05:03:01 PM,C,23.31
05/08/14 05:23:01 PM,C,23.31
05/08/14 05:43:01 PM,C,23.248
05/08/14 06:03:01 PM,C,23.248
05/08/14 06:23:01 PM,C,23.185
05/08/14 06:43:01 PM,C,23.185
05/08/14 07:03:01 PM,C,23.122
05/08/14 07:23:01 PM,C,23.06
05/08/14 07:43:01 PM,C,22.997
05/08/14 08:03:01 PM,C,22.935
05/08/14 08:23:01 PM,C,22.872
