1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 79000000337ECE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:17:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:17:01 CST 2014
Total Mission Samples:  3823
Total Device Samples:  10701
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:17:01 AM,C,15.28
04/08/14 04:37:01 AM,C,15.406
04/08/14 04:57:01 AM,C,15.468
04/08/14 05:17:01 AM,C,15.468
04/08/14 05:37:01 AM,C,15.594
04/08/14 05:57:01 AM,C,15.844
04/08/14 06:17:01 AM,C,17.159
04/08/14 06:37:01 AM,C,21.038
04/08/14 06:57:01 AM,C,23.039
04/08/14 07:17:01 AM,C,24.039
04/08/14 07:37:01 AM,C,23.789
04/08/14 07:57:01 AM,C,25.352
04/08/14 08:17:01 AM,C,26.664
04/08/14 08:37:01 AM,C,26.851
04/08/14 08:57:01 AM,C,27.226
04/08/14 09:17:01 AM,C,27.851
04/08/14 09:37:01 AM,C,29.225
04/08/14 09:57:01 AM,C,28.225
04/08/14 10:17:01 AM,C,29.599
04/08/14 10:37:01 AM,C,29.849
04/08/14 10:57:01 AM,C,29.911
04/08/14 11:17:01 AM,C,27.975
04/08/14 11:37:01 AM,C,28.35
04/08/14 11:57:01 AM,C,30.036
04/08/14 12:17:01 PM,C,26.289
04/08/14 12:37:01 PM,C,28.725
04/08/14 12:57:01 PM,C,30.598
04/08/14 01:17:01 PM,C,30.099
04/08/14 01:37:01 PM,C,30.224
04/08/14 01:57:01 PM,C,29.599
04/08/14 02:17:01 PM,C,29.599
04/08/14 02:37:01 PM,C,29.037
04/08/14 02:57:01 PM,C,29.662
04/08/14 03:17:01 PM,C,24.789
04/08/14 03:37:01 PM,C,21.538
04/08/14 03:57:01 PM,C,20.037
04/08/14 04:17:01 PM,C,19.724
04/08/14 04:37:01 PM,C,19.349
04/08/14 04:57:01 PM,C,19.161
04/08/14 05:17:01 PM,C,18.911
04/08/14 05:37:01 PM,C,18.598
04/08/14 05:57:01 PM,C,18.41
04/08/14 06:17:01 PM,C,18.348
04/08/14 06:37:01 PM,C,18.16
04/08/14 06:57:01 PM,C,17.972
04/08/14 07:17:01 PM,C,17.847
04/08/14 07:37:01 PM,C,17.847
04/08/14 07:57:01 PM,C,17.221
