1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A1000000337EEC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:00:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:40:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10873
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:40:01 PM,C,18.73
04/08/14 08:00:01 PM,C,18.354
04/08/14 08:20:01 PM,C,17.854
04/08/14 08:40:01 PM,C,17.415
04/08/14 09:00:01 PM,C,17.04
04/08/14 09:20:01 PM,C,16.789
04/08/14 09:40:01 PM,C,16.476
04/08/14 10:00:01 PM,C,16.351
04/08/14 10:20:01 PM,C,16.226
04/08/14 10:40:01 PM,C,16.226
04/08/14 11:00:01 PM,C,16.038
04/08/14 11:20:01 PM,C,15.85
04/08/14 11:40:01 PM,C,15.662
05/08/14 12:00:01 AM,C,15.474
05/08/14 12:20:01 AM,C,15.599
05/08/14 12:40:01 AM,C,15.85
05/08/14 01:00:01 AM,C,15.975
05/08/14 01:20:01 AM,C,15.975
05/08/14 01:40:01 AM,C,16.038
05/08/14 02:00:01 AM,C,16.226
05/08/14 02:20:01 AM,C,16.038
05/08/14 02:40:01 AM,C,15.912
05/08/14 03:00:01 AM,C,15.912
05/08/14 03:20:01 AM,C,15.85
05/08/14 03:40:01 AM,C,15.662
05/08/14 04:00:01 AM,C,15.599
05/08/14 04:20:01 AM,C,15.599
05/08/14 04:40:01 AM,C,15.599
05/08/14 05:00:01 AM,C,15.662
05/08/14 05:20:01 AM,C,15.537
05/08/14 05:40:01 AM,C,15.474
05/08/14 06:00:01 AM,C,15.85
05/08/14 06:20:01 AM,C,17.165
05/08/14 06:40:01 AM,C,21.421
05/08/14 07:00:01 AM,C,23.859
05/08/14 07:20:01 AM,C,25.484
05/08/14 07:40:01 AM,C,26.734
05/08/14 08:00:01 AM,C,27.234
05/08/14 08:20:01 AM,C,28.108
05/08/14 08:40:01 AM,C,28.483
05/08/14 09:00:01 AM,C,28.67
05/08/14 09:20:01 AM,C,28.108
05/08/14 09:40:01 AM,C,29.232
05/08/14 10:00:01 AM,C,30.605
05/08/14 10:20:01 AM,C,28.608
05/08/14 10:40:01 AM,C,28.233
05/08/14 11:00:01 AM,C,26.984
05/08/14 11:20:01 AM,C,26.796
05/08/14 11:40:01 AM,C,27.671
05/08/14 12:00:01 PM,C,27.421
05/08/14 12:20:01 PM,C,27.296
05/08/14 12:40:01 PM,C,29.981
05/08/14 01:00:01 PM,C,31.541
05/08/14 01:20:01 PM,C,28.608
05/08/14 01:40:01 PM,C,26.172
05/08/14 02:00:01 PM,C,25.672
05/08/14 02:20:01 PM,C,25.422
05/08/14 02:40:01 PM,C,25.109
05/08/14 03:00:01 PM,C,25.547
05/08/14 03:20:01 PM,C,25.547
05/08/14 03:40:01 PM,C,25.172
05/08/14 04:00:01 PM,C,24.172
05/08/14 04:20:01 PM,C,23.109
05/08/14 04:40:01 PM,C,22.484
05/08/14 05:00:01 PM,C,21.671
05/08/14 05:20:01 PM,C,20.92
05/08/14 05:40:01 PM,C,20.232
05/08/14 06:00:01 PM,C,19.293
05/08/14 06:20:01 PM,C,18.667
05/08/14 06:40:01 PM,C,18.354
05/08/14 07:00:01 PM,C,18.041
05/08/14 07:20:01 PM,C,17.791
05/08/14 07:40:01 PM,C,17.415
05/08/14 08:00:01 PM,C,16.852
05/08/14 08:20:01 PM,C,16.539
05/08/14 08:40:01 PM,C,16.476
05/08/14 09:00:01 PM,C,16.414
05/08/14 09:20:01 PM,C,16.226
05/08/14 09:40:01 PM,C,15.912
05/08/14 10:00:01 PM,C,15.599
05/08/14 10:20:01 PM,C,15.098
05/08/14 10:40:01 PM,C,14.597
05/08/14 11:00:01 PM,C,14.221
05/08/14 11:20:01 PM,C,13.908
05/08/14 11:40:01 PM,C,14.033
06/08/14 12:00:01 AM,C,13.97
06/08/14 12:20:01 AM,C,13.908
06/08/14 12:40:01 AM,C,13.845
06/08/14 01:00:01 AM,C,13.97
06/08/14 01:20:01 AM,C,14.096
06/08/14 01:40:01 AM,C,14.284
06/08/14 02:00:01 AM,C,14.472
06/08/14 02:20:01 AM,C,14.597
06/08/14 02:40:01 AM,C,14.722
06/08/14 03:00:01 AM,C,14.722
06/08/14 03:20:01 AM,C,14.91
06/08/14 03:40:01 AM,C,15.161
06/08/14 04:00:01 AM,C,15.662
06/08/14 04:20:01 AM,C,16.226
06/08/14 04:40:01 AM,C,16.476
06/08/14 05:00:01 AM,C,16.915
06/08/14 05:20:01 AM,C,17.04
06/08/14 05:40:01 AM,C,17.165
06/08/14 06:00:01 AM,C,17.353
06/08/14 06:20:01 AM,C,17.666
06/08/14 06:40:01 AM,C,18.104
06/08/14 07:00:01 AM,C,17.916
06/08/14 07:20:01 AM,C,18.041
06/08/14 07:40:01 AM,C,18.354
06/08/14 08:00:01 AM,C,18.48
06/08/14 08:20:01 AM,C,19.043
06/08/14 08:40:01 AM,C,18.98
06/08/14 09:00:01 AM,C,21.358
06/08/14 09:20:01 AM,C,21.983
06/08/14 09:40:01 AM,C,24.484
06/08/14 10:00:01 AM,C,27.858
06/08/14 10:20:01 AM,C,28.046
06/08/14 10:40:01 AM,C,28.233
06/08/14 11:00:01 AM,C,28.108
06/08/14 11:20:01 AM,C,29.357
06/08/14 11:40:01 AM,C,30.043
06/08/14 12:00:01 PM,C,27.608
06/08/14 12:20:01 PM,C,26.359
06/08/14 12:40:01 PM,C,24.797
06/08/14 01:00:01 PM,C,23.484
06/08/14 01:20:01 PM,C,23.734
06/08/14 01:40:01 PM,C,26.484
06/08/14 02:00:01 PM,C,25.359
06/08/14 02:20:01 PM,C,24.234
06/08/14 02:40:01 PM,C,25.172
06/08/14 03:00:01 PM,C,24.609
06/08/14 03:20:01 PM,C,24.172
06/08/14 03:40:01 PM,C,24.297
06/08/14 04:00:01 PM,C,23.859
06/08/14 04:20:01 PM,C,23.484
06/08/14 04:40:01 PM,C,22.484
06/08/14 05:00:01 PM,C,21.608
06/08/14 05:20:01 PM,C,21.358
06/08/14 05:40:01 PM,C,20.545
06/08/14 06:00:01 PM,C,19.606
06/08/14 06:20:01 PM,C,19.356
06/08/14 06:40:01 PM,C,19.231
06/08/14 07:00:01 PM,C,18.73
06/08/14 07:20:01 PM,C,18.73
06/08/14 07:40:01 PM,C,19.106
06/08/14 08:00:01 PM,C,18.417
06/08/14 08:20:01 PM,C,18.041
06/08/14 08:40:01 PM,C,17.728
06/08/14 09:00:01 PM,C,17.29
06/08/14 09:20:01 PM,C,16.977
06/08/14 09:40:01 PM,C,16.601
06/08/14 10:00:01 PM,C,16.539
06/08/14 10:20:01 PM,C,16.288
06/08/14 10:40:01 PM,C,16.226
06/08/14 11:00:01 PM,C,16.1
06/08/14 11:20:01 PM,C,15.975
06/08/14 11:40:01 PM,C,15.975
07/08/14 12:00:01 AM,C,15.975
07/08/14 12:20:01 AM,C,16.1
07/08/14 12:40:01 AM,C,16.038
07/08/14 01:00:01 AM,C,15.787
07/08/14 01:20:01 AM,C,15.662
07/08/14 01:40:01 AM,C,15.474
07/08/14 02:00:01 AM,C,15.349
07/08/14 02:20:01 AM,C,15.286
07/08/14 02:40:01 AM,C,14.91
07/08/14 03:00:01 AM,C,15.098
07/08/14 03:20:01 AM,C,14.91
07/08/14 03:40:01 AM,C,14.722
07/08/14 04:00:01 AM,C,14.848
07/08/14 04:20:01 AM,C,14.848
07/08/14 04:40:01 AM,C,14.973
07/08/14 05:00:01 AM,C,14.848
07/08/14 05:20:01 AM,C,14.91
07/08/14 05:40:01 AM,C,15.223
07/08/14 06:00:01 AM,C,15.912
07/08/14 06:20:01 AM,C,16.789
07/08/14 06:40:01 AM,C,17.415
07/08/14 07:00:01 AM,C,18.48
07/08/14 07:20:01 AM,C,20.295
07/08/14 07:40:01 AM,C,20.295
07/08/14 08:00:01 AM,C,21.045
07/08/14 08:20:01 AM,C,22.984
07/08/14 08:40:01 AM,C,27.046
07/08/14 09:00:01 AM,C,25.734
07/08/14 09:20:01 AM,C,26.359
07/08/14 09:40:01 AM,C,27.858
07/08/14 10:00:01 AM,C,30.293
07/08/14 10:20:01 AM,C,30.73
07/08/14 10:40:01 AM,C,30.231
07/08/14 11:00:01 AM,C,28.857
07/08/14 11:20:01 AM,C,29.856
07/08/14 11:40:01 AM,C,32.602
07/08/14 12:00:01 PM,C,29.482
07/08/14 12:20:01 PM,C,29.419
07/08/14 12:40:01 PM,C,30.293
07/08/14 01:00:01 PM,C,31.978
07/08/14 01:20:01 PM,C,29.544
07/08/14 01:40:01 PM,C,28.17
07/08/14 02:00:01 PM,C,26.422
07/08/14 02:20:01 PM,C,26.359
07/08/14 02:40:01 PM,C,25.797
07/08/14 03:00:01 PM,C,24.797
07/08/14 03:20:01 PM,C,25.047
07/08/14 03:40:01 PM,C,24.734
07/08/14 04:00:01 PM,C,25.672
07/08/14 04:20:01 PM,C,24.172
07/08/14 04:40:01 PM,C,23.547
07/08/14 05:00:01 PM,C,23.234
07/08/14 05:20:01 PM,C,21.858
07/08/14 05:40:01 PM,C,20.67
07/08/14 06:00:01 PM,C,19.731
07/08/14 06:20:01 PM,C,18.855
07/08/14 06:40:01 PM,C,19.606
07/08/14 07:00:01 PM,C,20.232
07/08/14 07:20:01 PM,C,19.731
07/08/14 07:40:01 PM,C,19.106
07/08/14 08:00:01 PM,C,19.106
07/08/14 08:20:01 PM,C,19.043
07/08/14 08:40:01 PM,C,18.793
07/08/14 09:00:01 PM,C,18.417
07/08/14 09:20:01 PM,C,18.041
07/08/14 09:40:01 PM,C,17.603
07/08/14 10:00:01 PM,C,17.728
07/08/14 10:20:01 PM,C,17.916
07/08/14 10:40:01 PM,C,17.916
07/08/14 11:00:01 PM,C,17.854
07/08/14 11:20:01 PM,C,17.728
07/08/14 11:40:01 PM,C,17.603
08/08/14 12:00:01 AM,C,17.165
08/08/14 12:20:01 AM,C,17.102
08/08/14 12:40:01 AM,C,17.791
