1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D0000000337F9341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:43:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:23:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10704
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:23:01 AM,C,16.008
04/08/14 04:43:01 AM,C,16.008
04/08/14 05:03:01 AM,C,16.133
04/08/14 05:23:01 AM,C,16.133
04/08/14 05:43:01 AM,C,16.258
04/08/14 06:03:01 AM,C,16.321
04/08/14 06:23:01 AM,C,18.011
04/08/14 06:43:01 AM,C,20.764
04/08/14 07:03:01 AM,C,23.766
04/08/14 07:23:01 AM,C,24.766
04/08/14 07:43:01 AM,C,25.016
04/08/14 08:03:01 AM,C,25.891
04/08/14 08:23:01 AM,C,27.328
04/08/14 08:43:01 AM,C,28.077
04/08/14 09:03:01 AM,C,28.702
04/08/14 09:23:01 AM,C,28.327
04/08/14 09:43:01 AM,C,27.078
04/08/14 10:03:01 AM,C,27.452
04/08/14 10:23:01 AM,C,28.389
04/08/14 10:43:01 AM,C,30.075
04/08/14 11:03:01 AM,C,30.512
04/08/14 11:23:01 AM,C,28.264
04/08/14 11:43:01 AM,C,28.327
04/08/14 12:03:01 PM,C,29.576
04/08/14 12:23:01 PM,C,29.389
04/08/14 12:43:01 PM,C,30.45
04/08/14 01:03:01 PM,C,32.073
04/08/14 01:23:01 PM,C,33.071
04/08/14 01:43:01 PM,C,32.26
04/08/14 02:03:01 PM,C,31.137
04/08/14 02:23:01 PM,C,28.702
04/08/14 02:43:01 PM,C,27.203
04/08/14 03:03:01 PM,C,26.203
04/08/14 03:23:01 PM,C,23.891
04/08/14 03:43:01 PM,C,22.14
04/08/14 04:03:01 PM,C,20.701
04/08/14 04:23:01 PM,C,20.264
04/08/14 04:43:01 PM,C,20.013
04/08/14 05:03:01 PM,C,19.575
04/08/14 05:23:01 PM,C,19.325
04/08/14 05:43:01 PM,C,19.075
04/08/14 06:03:01 PM,C,18.699
04/08/14 06:23:01 PM,C,18.699
04/08/14 06:43:01 PM,C,18.699
04/08/14 07:03:01 PM,C,18.637
04/08/14 07:23:01 PM,C,18.386
04/08/14 07:43:01 PM,C,18.512
04/08/14 08:03:01 PM,C,18.261
04/08/14 08:23:01 PM,C,17.886
04/08/14 08:43:01 PM,C,17.322
04/08/14 09:03:01 PM,C,17.197
04/08/14 09:23:01 PM,C,17.072
04/08/14 09:43:01 PM,C,17.197
04/08/14 10:03:01 PM,C,17.197
04/08/14 10:23:01 PM,C,17.072
04/08/14 10:43:01 PM,C,16.822
04/08/14 11:03:01 PM,C,16.884
04/08/14 11:23:01 PM,C,16.696
04/08/14 11:43:01 PM,C,16.634
05/08/14 12:03:01 AM,C,16.571
05/08/14 12:23:01 AM,C,16.571
05/08/14 12:43:01 AM,C,16.571
05/08/14 01:03:01 AM,C,16.759
05/08/14 01:23:01 AM,C,16.759
05/08/14 01:43:01 AM,C,16.759
05/08/14 02:03:01 AM,C,16.822
05/08/14 02:23:01 AM,C,16.884
05/08/14 02:43:01 AM,C,16.759
05/08/14 03:03:01 AM,C,16.634
05/08/14 03:23:01 AM,C,16.634
05/08/14 03:43:01 AM,C,16.571
05/08/14 04:03:01 AM,C,16.509
05/08/14 04:23:01 AM,C,16.509
05/08/14 04:43:01 AM,C,16.509
05/08/14 05:03:01 AM,C,16.446
05/08/14 05:23:01 AM,C,16.383
05/08/14 05:43:01 AM,C,16.446
05/08/14 06:03:01 AM,C,16.759
05/08/14 06:23:01 AM,C,18.011
05/08/14 06:43:01 AM,C,21.389
05/08/14 07:03:01 AM,C,24.828
05/08/14 07:23:01 AM,C,26.515
05/08/14 07:43:01 AM,C,27.328
05/08/14 08:03:01 AM,C,27.515
05/08/14 08:23:01 AM,C,28.639
05/08/14 08:43:01 AM,C,28.702
05/08/14 09:03:01 AM,C,28.577
05/08/14 09:23:01 AM,C,25.641
05/08/14 09:43:01 AM,C,25.953
05/08/14 10:03:01 AM,C,28.702
05/08/14 10:23:01 AM,C,26.578
05/08/14 10:43:01 AM,C,26.578
05/08/14 11:03:01 AM,C,24.891
05/08/14 11:23:01 AM,C,24.703
05/08/14 11:43:01 AM,C,26.39
05/08/14 12:03:01 PM,C,26.828
05/08/14 12:23:01 PM,C,25.391
05/08/14 12:43:01 PM,C,30.325
05/08/14 01:03:01 PM,C,31.573
05/08/14 01:23:01 PM,C,28.639
05/08/14 01:43:01 PM,C,24.766
05/08/14 02:03:01 PM,C,25.328
05/08/14 02:23:01 PM,C,25.453
05/08/14 02:43:01 PM,C,26.016
05/08/14 03:03:01 PM,C,26.265
05/08/14 03:23:01 PM,C,25.891
05/08/14 03:43:01 PM,C,24.078
05/08/14 04:03:01 PM,C,22.89
05/08/14 04:23:01 PM,C,22.015
05/08/14 04:43:01 PM,C,21.64
05/08/14 05:03:01 PM,C,21.202
05/08/14 05:23:01 PM,C,20.451
05/08/14 05:43:01 PM,C,19.826
05/08/14 06:03:01 PM,C,19.137
05/08/14 06:23:01 PM,C,18.637
05/08/14 06:43:01 PM,C,18.449
05/08/14 07:03:01 PM,C,18.261
05/08/14 07:23:01 PM,C,17.886
05/08/14 07:43:01 PM,C,17.448
05/08/14 08:03:01 PM,C,17.072
05/08/14 08:23:01 PM,C,17.135
05/08/14 08:43:01 PM,C,16.884
05/08/14 09:03:01 PM,C,17.009
05/08/14 09:23:01 PM,C,16.634
05/08/14 09:43:01 PM,C,16.509
05/08/14 10:03:01 PM,C,16.509
05/08/14 10:23:01 PM,C,15.945
05/08/14 10:43:01 PM,C,15.82
05/08/14 11:03:01 PM,C,15.569
05/08/14 11:23:01 PM,C,15.444
05/08/14 11:43:01 PM,C,15.507
06/08/14 12:03:01 AM,C,15.632
06/08/14 12:23:01 AM,C,15.507
06/08/14 12:43:01 AM,C,15.382
06/08/14 01:03:01 AM,C,15.382
06/08/14 01:23:01 AM,C,15.507
06/08/14 01:43:01 AM,C,15.569
06/08/14 02:03:01 AM,C,15.695
06/08/14 02:23:01 AM,C,15.82
06/08/14 02:43:01 AM,C,15.945
06/08/14 03:03:01 AM,C,16.07
06/08/14 03:23:01 AM,C,16.133
06/08/14 03:43:01 AM,C,16.321
06/08/14 04:03:01 AM,C,16.571
06/08/14 04:23:01 AM,C,16.884
06/08/14 04:43:01 AM,C,17.072
06/08/14 05:03:01 AM,C,17.197
06/08/14 05:23:01 AM,C,17.322
06/08/14 05:43:01 AM,C,17.448
06/08/14 06:03:01 AM,C,17.573
06/08/14 06:23:01 AM,C,17.761
06/08/14 06:43:01 AM,C,17.886
06/08/14 07:03:01 AM,C,17.823
06/08/14 07:23:01 AM,C,17.761
06/08/14 07:43:01 AM,C,17.698
06/08/14 08:03:01 AM,C,17.823
06/08/14 08:23:01 AM,C,18.073
06/08/14 08:43:01 AM,C,18.449
06/08/14 09:03:01 AM,C,19.7
06/08/14 09:23:01 AM,C,20.889
06/08/14 09:43:01 AM,C,22.515
06/08/14 10:03:01 AM,C,25.266
06/08/14 10:23:01 AM,C,26.953
06/08/14 10:43:01 AM,C,27.452
06/08/14 11:03:01 AM,C,27.39
06/08/14 11:23:01 AM,C,28.577
06/08/14 11:43:01 AM,C,25.391
06/08/14 12:03:01 PM,C,25.266
06/08/14 12:23:01 PM,C,23.39
06/08/14 12:43:01 PM,C,22.703
06/08/14 01:03:01 PM,C,22.328
06/08/14 01:23:01 PM,C,22.39
06/08/14 01:43:01 PM,C,26.39
06/08/14 02:03:01 PM,C,24.328
06/08/14 02:23:01 PM,C,22.953
06/08/14 02:43:01 PM,C,24.328
06/08/14 03:03:01 PM,C,24.266
06/08/14 03:23:01 PM,C,23.328
