1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0C000000337F9741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:24:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:44:01 CST 2014
Total Mission Samples:  3869
Total Device Samples:  10742
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:44:01 PM,C,19.015
04/08/14 08:04:01 PM,C,18.515
04/08/14 08:24:01 PM,C,18.077
04/08/14 08:44:01 PM,C,17.764
04/08/14 09:04:01 PM,C,17.388
04/08/14 09:24:01 PM,C,17.138
04/08/14 09:44:01 PM,C,16.887
04/08/14 10:04:01 PM,C,16.637
04/08/14 10:24:01 PM,C,16.574
04/08/14 10:44:01 PM,C,16.512
04/08/14 11:04:01 PM,C,16.324
04/08/14 11:24:01 PM,C,16.136
04/08/14 11:44:01 PM,C,15.948
05/08/14 12:04:01 AM,C,16.073
05/08/14 12:24:01 AM,C,15.823
05/08/14 12:44:01 AM,C,16.136
05/08/14 01:04:01 AM,C,16.136
05/08/14 01:24:01 AM,C,16.073
05/08/14 01:44:01 AM,C,16.261
05/08/14 02:04:01 AM,C,16.324
05/08/14 02:24:01 AM,C,16.199
05/08/14 02:44:01 AM,C,16.073
05/08/14 03:04:01 AM,C,15.885
05/08/14 03:24:01 AM,C,15.76
05/08/14 03:44:01 AM,C,15.823
05/08/14 04:04:01 AM,C,15.823
05/08/14 04:24:01 AM,C,15.635
05/08/14 04:44:01 AM,C,15.51
05/08/14 05:04:01 AM,C,15.635
05/08/14 05:24:01 AM,C,15.447
05/08/14 05:44:01 AM,C,15.385
05/08/14 06:04:01 AM,C,15.635
05/08/14 06:24:01 AM,C,16.324
05/08/14 06:44:01 AM,C,17.638
05/08/14 07:04:01 AM,C,19.266
05/08/14 07:24:01 AM,C,20.204
05/08/14 07:44:01 AM,C,19.954
05/08/14 08:04:01 AM,C,20.392
05/08/14 08:24:01 AM,C,22.018
05/08/14 08:44:01 AM,C,22.956
05/08/14 09:04:01 AM,C,26.582
05/08/14 09:24:01 AM,C,26.582
05/08/14 09:44:01 AM,C,26.144
05/08/14 10:04:01 AM,C,27.457
05/08/14 10:24:01 AM,C,26.894
05/08/14 10:44:01 AM,C,27.582
05/08/14 11:04:01 AM,C,26.644
05/08/14 11:24:01 AM,C,26.082
05/08/14 11:44:01 AM,C,26.644
05/08/14 12:04:01 PM,C,27.207
05/08/14 12:24:01 PM,C,26.457
05/08/14 12:44:01 PM,C,28.394
05/08/14 01:04:01 PM,C,29.456
05/08/14 01:24:01 PM,C,27.832
05/08/14 01:44:01 PM,C,25.77
05/08/14 02:04:01 PM,C,25.77
05/08/14 02:24:01 PM,C,25.957
05/08/14 02:44:01 PM,C,26.832
05/08/14 03:04:01 PM,C,27.457
05/08/14 03:24:01 PM,C,27.332
05/08/14 03:44:01 PM,C,26.332
05/08/14 04:04:01 PM,C,25.582
05/08/14 04:24:01 PM,C,24.207
05/08/14 04:44:01 PM,C,23.519
05/08/14 05:04:01 PM,C,22.269
05/08/14 05:24:01 PM,C,21.393
05/08/14 05:44:01 PM,C,20.642
05/08/14 06:04:01 PM,C,19.829
05/08/14 06:24:01 PM,C,19.078
05/08/14 06:44:01 PM,C,18.703
05/08/14 07:04:01 PM,C,18.39
05/08/14 07:24:01 PM,C,18.139
05/08/14 07:44:01 PM,C,17.889
05/08/14 08:04:01 PM,C,17.451
05/08/14 08:24:01 PM,C,17.138
05/08/14 08:44:01 PM,C,16.825
05/08/14 09:04:01 PM,C,16.699
05/08/14 09:24:01 PM,C,16.574
05/08/14 09:44:01 PM,C,16.449
05/08/14 10:04:01 PM,C,16.261
05/08/14 10:24:01 PM,C,15.885
05/08/14 10:44:01 PM,C,15.51
05/08/14 11:04:01 PM,C,15.385
05/08/14 11:24:01 PM,C,15.134
05/08/14 11:44:01 PM,C,15.009
06/08/14 12:04:01 AM,C,14.884
06/08/14 12:24:01 AM,C,14.696
06/08/14 12:44:01 AM,C,14.633
06/08/14 01:04:01 AM,C,14.633
06/08/14 01:24:01 AM,C,14.696
06/08/14 01:44:01 AM,C,14.884
06/08/14 02:04:01 AM,C,14.946
06/08/14 02:24:01 AM,C,14.884
06/08/14 02:44:01 AM,C,14.884
06/08/14 03:04:01 AM,C,14.884
06/08/14 03:24:01 AM,C,15.071
06/08/14 03:44:01 AM,C,15.385
06/08/14 04:04:01 AM,C,15.885
06/08/14 04:24:01 AM,C,16.324
06/08/14 04:44:01 AM,C,16.699
06/08/14 05:04:01 AM,C,17.012
06/08/14 05:24:01 AM,C,17.325
06/08/14 05:44:01 AM,C,17.451
06/08/14 06:04:01 AM,C,17.638
06/08/14 06:24:01 AM,C,18.077
06/08/14 06:44:01 AM,C,18.327
06/08/14 07:04:01 AM,C,17.889
06/08/14 07:24:01 AM,C,17.951
06/08/14 07:44:01 AM,C,18.202
06/08/14 08:04:01 AM,C,18.452
06/08/14 08:24:01 AM,C,18.64
06/08/14 08:44:01 AM,C,19.141
06/08/14 09:04:01 AM,C,20.455
06/08/14 09:24:01 AM,C,21.518
06/08/14 09:44:01 AM,C,22.081
06/08/14 10:04:01 AM,C,24.769
06/08/14 10:24:01 AM,C,26.144
06/08/14 10:44:01 AM,C,27.082
06/08/14 11:04:01 AM,C,27.019
06/08/14 11:24:01 AM,C,29.893
06/08/14 11:44:01 AM,C,28.581
06/08/14 12:04:01 PM,C,28.144
06/08/14 12:24:01 PM,C,25.645
06/08/14 12:44:01 PM,C,24.019
06/08/14 01:04:01 PM,C,23.332
06/08/14 01:24:01 PM,C,24.457
06/08/14 01:44:01 PM,C,26.832
06/08/14 02:04:01 PM,C,25.52
06/08/14 02:24:01 PM,C,24.644
06/08/14 02:44:01 PM,C,25.457
06/08/14 03:04:01 PM,C,25.457
06/08/14 03:24:01 PM,C,26.269
06/08/14 03:44:01 PM,C,26.832
06/08/14 04:04:01 PM,C,24.707
06/08/14 04:24:01 PM,C,24.207
06/08/14 04:44:01 PM,C,22.831
06/08/14 05:04:01 PM,C,22.018
06/08/14 05:24:01 PM,C,21.768
06/08/14 05:44:01 PM,C,20.767
06/08/14 06:04:01 PM,C,20.017
06/08/14 06:24:01 PM,C,19.891
06/08/14 06:44:01 PM,C,19.704
06/08/14 07:04:01 PM,C,19.516
06/08/14 07:24:01 PM,C,19.829
06/08/14 07:44:01 PM,C,19.453
06/08/14 08:04:01 PM,C,19.015
06/08/14 08:24:01 PM,C,18.515
06/08/14 08:44:01 PM,C,18.077
06/08/14 09:04:01 PM,C,17.701
06/08/14 09:24:01 PM,C,17.325
06/08/14 09:44:01 PM,C,17.075
06/08/14 10:04:01 PM,C,16.762
06/08/14 10:24:01 PM,C,16.574
06/08/14 10:44:01 PM,C,16.512
06/08/14 11:04:01 PM,C,16.324
06/08/14 11:24:01 PM,C,16.261
06/08/14 11:44:01 PM,C,16.136
07/08/14 12:04:01 AM,C,16.011
