1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DD000000337E6541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:14:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:54:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10685
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:54:01 PM,C,17.451
04/08/14 08:14:01 PM,C,16.699
04/08/14 08:34:01 PM,C,16.324
04/08/14 08:54:01 PM,C,16.011
04/08/14 09:14:01 PM,C,15.948
04/08/14 09:34:01 PM,C,15.76
04/08/14 09:54:01 PM,C,15.698
04/08/14 10:14:01 PM,C,15.322
04/08/14 10:34:01 PM,C,15.322
04/08/14 10:54:01 PM,C,15.51
04/08/14 11:14:01 PM,C,15.322
04/08/14 11:34:01 PM,C,15.009
04/08/14 11:54:01 PM,C,14.696
05/08/14 12:14:01 AM,C,14.633
05/08/14 12:34:01 AM,C,14.758
05/08/14 12:54:01 AM,C,14.758
05/08/14 01:14:01 AM,C,15.322
05/08/14 01:34:01 AM,C,15.071
05/08/14 01:54:01 AM,C,15.447
05/08/14 02:14:01 AM,C,15.447
05/08/14 02:34:01 AM,C,15.259
05/08/14 02:54:01 AM,C,14.946
05/08/14 03:14:01 AM,C,15.322
05/08/14 03:34:01 AM,C,15.134
05/08/14 03:54:01 AM,C,15.071
05/08/14 04:14:01 AM,C,15.134
05/08/14 04:34:01 AM,C,15.009
05/08/14 04:54:01 AM,C,15.197
05/08/14 05:14:01 AM,C,15.009
05/08/14 05:34:01 AM,C,14.884
05/08/14 05:54:01 AM,C,15.259
05/08/14 06:14:01 AM,C,15.635
05/08/14 06:34:01 AM,C,16.261
05/08/14 06:54:01 AM,C,17.951
05/08/14 07:14:01 AM,C,20.267
05/08/14 07:34:01 AM,C,20.017
05/08/14 07:54:01 AM,C,21.831
05/08/14 08:14:01 AM,C,22.894
05/08/14 08:34:01 AM,C,23.582
05/08/14 08:54:01 AM,C,24.957
05/08/14 09:14:01 AM,C,25.707
05/08/14 09:34:01 AM,C,27.644
05/08/14 09:54:01 AM,C,27.769
05/08/14 10:14:01 AM,C,29.081
05/08/14 10:34:01 AM,C,28.893
05/08/14 10:54:01 AM,C,28.206
05/08/14 11:14:01 AM,C,27.519
05/08/14 11:34:01 AM,C,28.706
05/08/14 11:54:01 AM,C,28.706
05/08/14 12:14:01 PM,C,29.643
05/08/14 12:34:01 PM,C,28.519
05/08/14 12:54:01 PM,C,31.204
05/08/14 01:14:01 PM,C,33.201
05/08/14 01:34:01 PM,C,26.894
05/08/14 01:54:01 PM,C,25.395
05/08/14 02:14:01 PM,C,27.707
05/08/14 02:34:01 PM,C,29.268
05/08/14 02:54:01 PM,C,31.266
05/08/14 03:14:01 PM,C,30.392
05/08/14 03:34:01 PM,C,31.079
05/08/14 03:54:01 PM,C,26.269
05/08/14 04:14:01 PM,C,25.707
05/08/14 04:34:01 PM,C,23.582
05/08/14 04:54:01 PM,C,22.331
05/08/14 05:14:01 PM,C,20.705
05/08/14 05:34:01 PM,C,19.641
05/08/14 05:54:01 PM,C,18.515
05/08/14 06:14:01 PM,C,17.576
05/08/14 06:34:01 PM,C,17.2
05/08/14 06:54:01 PM,C,16.386
05/08/14 07:14:01 PM,C,16.136
05/08/14 07:34:01 PM,C,15.885
