1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 71000000337DA941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:06:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:26:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10732
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:26:01 PM,C,17.826
04/08/14 08:46:01 PM,C,17.451
04/08/14 09:06:01 PM,C,17.325
04/08/14 09:26:01 PM,C,17.138
04/08/14 09:46:01 PM,C,16.95
04/08/14 10:06:01 PM,C,16.887
04/08/14 10:26:01 PM,C,16.825
04/08/14 10:46:01 PM,C,16.699
04/08/14 11:06:01 PM,C,16.637
04/08/14 11:26:01 PM,C,16.449
04/08/14 11:46:01 PM,C,16.261
05/08/14 12:06:01 AM,C,16.386
05/08/14 12:26:01 AM,C,16.449
05/08/14 12:46:01 AM,C,16.762
05/08/14 01:06:01 AM,C,16.574
05/08/14 01:26:01 AM,C,16.512
05/08/14 01:46:01 AM,C,16.762
05/08/14 02:06:01 AM,C,16.637
05/08/14 02:26:01 AM,C,16.574
05/08/14 02:46:01 AM,C,16.574
05/08/14 03:06:01 AM,C,16.386
05/08/14 03:26:01 AM,C,16.449
05/08/14 03:46:01 AM,C,16.449
05/08/14 04:06:01 AM,C,16.512
05/08/14 04:26:01 AM,C,16.386
05/08/14 04:46:01 AM,C,16.386
05/08/14 05:06:01 AM,C,16.324
05/08/14 05:26:01 AM,C,16.386
05/08/14 05:46:01 AM,C,16.887
05/08/14 06:06:01 AM,C,18.89
05/08/14 06:26:01 AM,C,20.955
05/08/14 06:46:01 AM,C,23.519
05/08/14 07:06:01 AM,C,24.769
05/08/14 07:26:01 AM,C,25.77
05/08/14 07:46:01 AM,C,28.144
05/08/14 08:06:01 AM,C,29.268
05/08/14 08:26:01 AM,C,30.018
05/08/14 08:46:01 AM,C,30.642
05/08/14 09:06:01 AM,C,31.516
05/08/14 09:26:01 AM,C,28.019
05/08/14 09:46:01 AM,C,29.518
05/08/14 10:06:01 AM,C,32.39
05/08/14 10:26:01 AM,C,28.144
05/08/14 10:46:01 AM,C,28.144
05/08/14 11:06:01 AM,C,27.019
05/08/14 11:26:01 AM,C,27.582
05/08/14 11:46:01 AM,C,29.018
05/08/14 12:06:01 PM,C,28.269
05/08/14 12:26:01 PM,C,26.207
05/08/14 12:46:01 PM,C,30.892
05/08/14 01:06:01 PM,C,32.328
05/08/14 01:26:01 PM,C,29.018
05/08/14 01:46:01 PM,C,26.082
05/08/14 02:06:01 PM,C,25.832
05/08/14 02:26:01 PM,C,25.332
05/08/14 02:46:01 PM,C,25.207
05/08/14 03:06:01 PM,C,25.082
05/08/14 03:26:01 PM,C,25.645
05/08/14 03:46:01 PM,C,26.145
05/08/14 04:06:01 PM,C,23.457
05/08/14 04:26:01 PM,C,22.706
05/08/14 04:46:01 PM,C,22.018
05/08/14 05:06:01 PM,C,21.143
05/08/14 05:26:01 PM,C,20.58
05/08/14 05:46:01 PM,C,19.954
05/08/14 06:06:01 PM,C,19.328
05/08/14 06:26:01 PM,C,19.14
05/08/14 06:46:01 PM,C,18.765
05/08/14 07:06:01 PM,C,18.577
05/08/14 07:26:01 PM,C,18.327
05/08/14 07:46:01 PM,C,18.327
05/08/14 08:06:01 PM,C,17.951
05/08/14 08:26:01 PM,C,17.764
05/08/14 08:46:01 PM,C,17.451
05/08/14 09:06:01 PM,C,17.325
05/08/14 09:26:01 PM,C,17.2
05/08/14 09:46:01 PM,C,17.325
05/08/14 10:06:01 PM,C,17.263
05/08/14 10:26:01 PM,C,16.574
05/08/14 10:46:01 PM,C,16.386
05/08/14 11:06:01 PM,C,16.449
05/08/14 11:26:01 PM,C,16.386
05/08/14 11:46:01 PM,C,16.324
06/08/14 12:06:01 AM,C,16.449
06/08/14 12:26:01 AM,C,16.386
06/08/14 12:46:01 AM,C,16.324
06/08/14 01:06:01 AM,C,16.512
06/08/14 01:26:01 AM,C,16.198
06/08/14 01:46:01 AM,C,16.386
06/08/14 02:06:01 AM,C,16.637
06/08/14 02:26:01 AM,C,16.699
06/08/14 02:46:01 AM,C,16.825
06/08/14 03:06:01 AM,C,16.762
06/08/14 03:26:01 AM,C,16.699
06/08/14 03:46:01 AM,C,16.762
06/08/14 04:06:01 AM,C,17.263
06/08/14 04:26:01 AM,C,17.701
06/08/14 04:46:01 AM,C,17.638
06/08/14 05:06:01 AM,C,17.889
06/08/14 05:26:01 AM,C,18.077
06/08/14 05:46:01 AM,C,17.826
06/08/14 06:06:01 AM,C,17.951
06/08/14 06:26:01 AM,C,18.264
06/08/14 06:46:01 AM,C,18.077
06/08/14 07:06:01 AM,C,17.826
06/08/14 07:26:01 AM,C,18.077
06/08/14 07:46:01 AM,C,18.202
06/08/14 08:06:01 AM,C,18.327
06/08/14 08:26:01 AM,C,18.953
06/08/14 08:46:01 AM,C,19.078
06/08/14 09:06:01 AM,C,21.205
06/08/14 09:26:01 AM,C,22.894
06/08/14 09:46:01 AM,C,23.206
06/08/14 10:06:01 AM,C,25.77
06/08/14 10:26:01 AM,C,28.644
06/08/14 10:46:01 AM,C,30.143
06/08/14 11:06:01 AM,C,28.394
06/08/14 11:26:01 AM,C,31.641
06/08/14 11:46:01 AM,C,28.456
06/08/14 12:06:01 PM,C,28.831
06/08/14 12:26:01 PM,C,26.082
06/08/14 12:46:01 PM,C,24.019
06/08/14 01:06:01 PM,C,23.332
06/08/14 01:26:01 PM,C,25.145
06/08/14 01:46:01 PM,C,26.394
06/08/14 02:06:01 PM,C,24.957
06/08/14 02:26:01 PM,C,24.582
06/08/14 02:46:01 PM,C,24.894
06/08/14 03:06:01 PM,C,24.394
06/08/14 03:26:01 PM,C,24.894
06/08/14 03:46:01 PM,C,25.957
06/08/14 04:06:01 PM,C,24.207
06/08/14 04:26:01 PM,C,23.332
06/08/14 04:46:01 PM,C,22.081
06/08/14 05:06:01 PM,C,21.393
06/08/14 05:26:01 PM,C,21.017
06/08/14 05:46:01 PM,C,20.204
06/08/14 06:06:01 PM,C,19.578
06/08/14 06:26:01 PM,C,19.766
06/08/14 06:46:01 PM,C,19.453
06/08/14 07:06:01 PM,C,19.266
06/08/14 07:26:01 PM,C,19.453
06/08/14 07:46:01 PM,C,18.89
06/08/14 08:06:01 PM,C,18.452
06/08/14 08:26:01 PM,C,18.202
06/08/14 08:46:01 PM,C,18.139
06/08/14 09:06:01 PM,C,17.951
06/08/14 09:26:01 PM,C,17.764
06/08/14 09:46:01 PM,C,17.451
06/08/14 10:06:01 PM,C,17.263
06/08/14 10:26:01 PM,C,17.138
06/08/14 10:46:01 PM,C,17.138
06/08/14 11:06:01 PM,C,16.95
