1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 59000000337FFE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:41:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:21:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10790
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:21:01 AM,C,15.719
04/08/14 04:41:01 AM,C,15.781
04/08/14 05:01:01 AM,C,15.906
04/08/14 05:21:01 AM,C,16.032
04/08/14 05:41:01 AM,C,15.969
04/08/14 06:01:01 AM,C,16.407
04/08/14 06:21:01 AM,C,18.41
04/08/14 06:41:01 AM,C,20.725
04/08/14 07:01:01 AM,C,22.414
04/08/14 07:21:01 AM,C,22.476
04/08/14 07:41:01 AM,C,21.976
04/08/14 08:01:01 AM,C,22.226
04/08/14 08:21:01 AM,C,22.601
04/08/14 08:41:01 AM,C,25.726
04/08/14 09:01:01 AM,C,27.101
04/08/14 09:21:01 AM,C,28.85
04/08/14 09:41:01 AM,C,29.349
04/08/14 10:01:01 AM,C,29.412
04/08/14 10:21:01 AM,C,30.224
04/08/14 10:41:01 AM,C,31.035
04/08/14 11:01:01 AM,C,32.283
04/08/14 11:21:01 AM,C,28.35
04/08/14 11:41:01 AM,C,30.348
04/08/14 12:01:01 PM,C,30.348
04/08/14 12:21:01 PM,C,30.536
04/08/14 12:41:01 PM,C,31.472
04/08/14 01:01:01 PM,C,32.471
04/08/14 01:21:01 PM,C,33.282
04/08/14 01:41:01 PM,C,32.658
04/08/14 02:01:01 PM,C,28.288
04/08/14 02:21:01 PM,C,25.976
04/08/14 02:41:01 PM,C,25.352
04/08/14 03:01:01 PM,C,26.164
04/08/14 03:21:01 PM,C,24.539
04/08/14 03:41:01 PM,C,22.414
04/08/14 04:01:01 PM,C,21.1
