1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA00000033806B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:46:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:06:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10770
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:06:01 PM,C,18.473
04/08/14 08:26:01 PM,C,18.035
04/08/14 08:46:01 PM,C,17.722
04/08/14 09:06:01 PM,C,17.409
04/08/14 09:26:01 PM,C,17.096
04/08/14 09:46:01 PM,C,16.908
04/08/14 10:06:01 PM,C,16.846
04/08/14 10:26:01 PM,C,16.72
04/08/14 10:46:01 PM,C,16.72
04/08/14 11:06:01 PM,C,16.595
04/08/14 11:26:01 PM,C,16.47
04/08/14 11:46:01 PM,C,16.47
05/08/14 12:06:01 AM,C,16.407
05/08/14 12:26:01 AM,C,16.47
05/08/14 12:46:01 AM,C,16.658
05/08/14 01:06:01 AM,C,16.658
05/08/14 01:26:01 AM,C,16.658
05/08/14 01:46:01 AM,C,16.72
05/08/14 02:06:01 AM,C,16.846
05/08/14 02:26:01 AM,C,16.72
05/08/14 02:46:01 AM,C,16.595
05/08/14 03:06:01 AM,C,16.47
05/08/14 03:26:01 AM,C,16.47
05/08/14 03:46:01 AM,C,16.345
05/08/14 04:06:01 AM,C,16.345
05/08/14 04:26:01 AM,C,16.345
05/08/14 04:46:01 AM,C,16.345
05/08/14 05:06:01 AM,C,16.345
05/08/14 05:26:01 AM,C,16.345
05/08/14 05:46:01 AM,C,16.407
05/08/14 06:06:01 AM,C,17.033
05/08/14 06:26:01 AM,C,18.035
05/08/14 06:46:01 AM,C,19.161
05/08/14 07:06:01 AM,C,22.851
05/08/14 07:26:01 AM,C,24.414
05/08/14 07:46:01 AM,C,25.664
05/08/14 08:06:01 AM,C,26.789
05/08/14 08:26:01 AM,C,27.601
05/08/14 08:46:01 AM,C,29.162
05/08/14 09:06:01 AM,C,29.974
05/08/14 09:26:01 AM,C,27.039
05/08/14 09:46:01 AM,C,27.663
05/08/14 10:06:01 AM,C,28.663
05/08/14 10:26:01 AM,C,27.351
05/08/14 10:46:01 AM,C,27.101
05/08/14 11:06:01 AM,C,25.914
05/08/14 11:26:01 AM,C,25.789
05/08/14 11:46:01 AM,C,26.726
05/08/14 12:06:01 PM,C,26.851
05/08/14 12:26:01 PM,C,25.976
05/08/14 12:46:01 PM,C,26.289
05/08/14 01:06:01 PM,C,28.475
05/08/14 01:26:01 PM,C,26.726
05/08/14 01:46:01 PM,C,24.727
05/08/14 02:06:01 PM,C,25.602
05/08/14 02:26:01 PM,C,26.851
05/08/14 02:46:01 PM,C,29.474
05/08/14 03:06:01 PM,C,31.535
05/08/14 03:26:01 PM,C,31.847
05/08/14 03:46:01 PM,C,29.599
05/08/14 04:06:01 PM,C,26.039
05/08/14 04:26:01 PM,C,24.789
05/08/14 04:46:01 PM,C,23.289
05/08/14 05:06:01 PM,C,21.788
05/08/14 05:26:01 PM,C,20.975
05/08/14 05:46:01 PM,C,20.35
05/08/14 06:06:01 PM,C,19.599
05/08/14 06:26:01 PM,C,19.098
05/08/14 06:46:01 PM,C,18.911
05/08/14 07:06:01 PM,C,18.66
05/08/14 07:26:01 PM,C,18.285
05/08/14 07:46:01 PM,C,17.91
05/08/14 08:06:01 PM,C,17.471
05/08/14 08:26:01 PM,C,17.284
05/08/14 08:46:01 PM,C,17.158
05/08/14 09:06:01 PM,C,17.096
05/08/14 09:26:01 PM,C,17.033
05/08/14 09:46:01 PM,C,16.846
05/08/14 10:06:01 PM,C,16.407
05/08/14 10:26:01 PM,C,15.969
05/08/14 10:46:01 PM,C,15.719
05/08/14 11:06:01 PM,C,15.656
05/08/14 11:26:01 PM,C,15.656
05/08/14 11:46:01 PM,C,15.531
06/08/14 12:06:01 AM,C,15.531
06/08/14 12:26:01 AM,C,15.406
06/08/14 12:46:01 AM,C,15.406
06/08/14 01:06:01 AM,C,15.468
06/08/14 01:26:01 AM,C,15.656
06/08/14 01:46:01 AM,C,15.969
06/08/14 02:06:01 AM,C,16.032
06/08/14 02:26:01 AM,C,16.094
06/08/14 02:46:01 AM,C,16.22
06/08/14 03:06:01 AM,C,16.157
06/08/14 03:26:01 AM,C,16.157
06/08/14 03:46:01 AM,C,16.407
06/08/14 04:06:01 AM,C,16.846
06/08/14 04:26:01 AM,C,17.221
06/08/14 04:46:01 AM,C,17.409
06/08/14 05:06:01 AM,C,17.597
06/08/14 05:26:01 AM,C,17.722
06/08/14 05:46:01 AM,C,17.722
06/08/14 06:06:01 AM,C,17.847
06/08/14 06:26:01 AM,C,18.097
06/08/14 06:46:01 AM,C,18.16
06/08/14 07:06:01 AM,C,17.847
06/08/14 07:26:01 AM,C,17.91
06/08/14 07:46:01 AM,C,17.847
06/08/14 08:06:01 AM,C,18.035
06/08/14 08:26:01 AM,C,18.535
06/08/14 08:46:01 AM,C,18.911
06/08/14 09:06:01 AM,C,20.35
06/08/14 09:26:01 AM,C,21.851
06/08/14 09:46:01 AM,C,22.351
06/08/14 10:06:01 AM,C,24.352
06/08/14 10:26:01 AM,C,25.352
06/08/14 10:46:01 AM,C,26.164
06/08/14 11:06:01 AM,C,26.164
06/08/14 11:26:01 AM,C,27.351
06/08/14 11:46:01 AM,C,26.164
06/08/14 12:06:01 PM,C,25.726
06/08/14 12:26:01 PM,C,24.727
06/08/14 12:46:01 PM,C,23.789
06/08/14 01:06:01 PM,C,23.226
06/08/14 01:26:01 PM,C,23.852
06/08/14 01:46:01 PM,C,26.351
06/08/14 02:06:01 PM,C,24.539
06/08/14 02:26:01 PM,C,24.727
06/08/14 02:46:01 PM,C,26.476
06/08/14 03:06:01 PM,C,26.726
06/08/14 03:26:01 PM,C,26.539
06/08/14 03:46:01 PM,C,27.226
06/08/14 04:06:01 PM,C,24.727
06/08/14 04:26:01 PM,C,24.352
06/08/14 04:46:01 PM,C,22.726
06/08/14 05:06:01 PM,C,21.726
06/08/14 05:26:01 PM,C,21.35
06/08/14 05:46:01 PM,C,20.475
06/08/14 06:06:01 PM,C,19.849
06/08/14 06:26:01 PM,C,19.787
06/08/14 06:46:01 PM,C,19.536
