1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C000000033812D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:15:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:55:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10664
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:55:01 PM,C,17.334
04/08/14 09:15:01 PM,C,17.146
04/08/14 09:35:01 PM,C,16.959
04/08/14 09:55:01 PM,C,16.708
04/08/14 10:15:01 PM,C,16.458
04/08/14 10:35:01 PM,C,16.395
04/08/14 10:55:01 PM,C,16.395
04/08/14 11:15:01 PM,C,16.02
04/08/14 11:35:01 PM,C,15.645
04/08/14 11:55:01 PM,C,15.77
05/08/14 12:15:01 AM,C,15.582
05/08/14 12:35:01 AM,C,16.083
05/08/14 12:55:01 AM,C,16.208
05/08/14 01:15:01 AM,C,16.145
05/08/14 01:35:01 AM,C,16.145
05/08/14 01:55:01 AM,C,16.333
05/08/14 02:15:01 AM,C,16.145
05/08/14 02:35:01 AM,C,16.02
05/08/14 02:55:01 AM,C,15.895
05/08/14 03:15:01 AM,C,15.895
05/08/14 03:35:01 AM,C,15.895
05/08/14 03:55:01 AM,C,15.832
05/08/14 04:15:01 AM,C,15.707
05/08/14 04:35:01 AM,C,15.707
05/08/14 04:55:01 AM,C,15.707
05/08/14 05:15:01 AM,C,15.457
05/08/14 05:35:01 AM,C,15.394
05/08/14 05:55:01 AM,C,15.519
05/08/14 06:15:01 AM,C,16.208
05/08/14 06:35:01 AM,C,17.209
05/08/14 06:55:01 AM,C,18.21
05/08/14 07:15:01 AM,C,19.648
05/08/14 07:35:01 AM,C,20.649
05/08/14 07:55:01 AM,C,21.587
05/08/14 08:15:01 AM,C,22.587
05/08/14 08:35:01 AM,C,23.463
05/08/14 08:55:01 AM,C,24.65
05/08/14 09:15:01 AM,C,26.9
05/08/14 09:35:01 AM,C,27.713
05/08/14 09:55:01 AM,C,26.963
05/08/14 10:15:01 AM,C,26.088
05/08/14 10:35:01 AM,C,26.338
05/08/14 10:55:01 AM,C,25.463
05/08/14 11:15:01 AM,C,25.65
05/08/14 11:35:01 AM,C,26.338
05/08/14 11:55:01 AM,C,26.4
05/08/14 12:15:01 PM,C,26.775
05/08/14 12:35:01 PM,C,27.588
05/08/14 12:55:01 PM,C,30.149
05/08/14 01:15:01 PM,C,31.086
05/08/14 01:35:01 PM,C,27.338
05/08/14 01:55:01 PM,C,26.213
05/08/14 02:15:01 PM,C,26.588
05/08/14 02:35:01 PM,C,26.525
05/08/14 02:55:01 PM,C,27.213
05/08/14 03:15:01 PM,C,26.338
05/08/14 03:35:01 PM,C,25.713
05/08/14 03:55:01 PM,C,24.713
05/08/14 04:15:01 PM,C,23.65
05/08/14 04:35:01 PM,C,22.963
05/08/14 04:55:01 PM,C,22.212
05/08/14 05:15:01 PM,C,21.149
05/08/14 05:35:01 PM,C,20.461
05/08/14 05:55:01 PM,C,19.648
05/08/14 06:15:01 PM,C,18.898
05/08/14 06:35:01 PM,C,18.397
05/08/14 06:55:01 PM,C,18.085
05/08/14 07:15:01 PM,C,17.897
05/08/14 07:35:01 PM,C,17.709
05/08/14 07:55:01 PM,C,17.146
05/08/14 08:15:01 PM,C,16.646
05/08/14 08:35:01 PM,C,16.333
05/08/14 08:55:01 PM,C,16.27
05/08/14 09:15:01 PM,C,16.333
05/08/14 09:35:01 PM,C,16.333
05/08/14 09:55:01 PM,C,15.957
05/08/14 10:15:01 PM,C,15.645
05/08/14 10:35:01 PM,C,15.269
05/08/14 10:55:01 PM,C,14.894
05/08/14 11:15:01 PM,C,14.643
05/08/14 11:35:01 PM,C,14.33
05/08/14 11:55:01 PM,C,14.518
06/08/14 12:15:01 AM,C,14.643
06/08/14 12:35:01 AM,C,14.581
06/08/14 12:55:01 AM,C,14.581
06/08/14 01:15:01 AM,C,14.518
06/08/14 01:35:01 AM,C,14.643
06/08/14 01:55:01 AM,C,14.768
06/08/14 02:15:01 AM,C,14.768
06/08/14 02:35:01 AM,C,14.831
06/08/14 02:55:01 AM,C,14.894
06/08/14 03:15:01 AM,C,14.956
06/08/14 03:35:01 AM,C,15.144
06/08/14 03:55:01 AM,C,15.394
06/08/14 04:15:01 AM,C,15.957
06/08/14 04:35:01 AM,C,16.333
06/08/14 04:55:01 AM,C,16.646
