1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3A00000033813541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:07:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 19:47:01 CST 2014
Total Mission Samples:  3870
Total Device Samples:  10748
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 07:47:01 PM,C,18.085
04/08/14 08:07:01 PM,C,17.709
04/08/14 08:27:01 PM,C,17.084
04/08/14 08:47:01 PM,C,16.583
04/08/14 09:07:01 PM,C,16.27
04/08/14 09:27:01 PM,C,16.208
04/08/14 09:47:01 PM,C,15.957
04/08/14 10:07:01 PM,C,15.77
04/08/14 10:27:01 PM,C,15.582
04/08/14 10:47:01 PM,C,15.645
04/08/14 11:07:01 PM,C,15.519
04/08/14 11:27:01 PM,C,15.519
04/08/14 11:47:01 PM,C,15.457
05/08/14 12:07:01 AM,C,15.645
05/08/14 12:27:01 AM,C,15.519
05/08/14 12:47:01 AM,C,15.707
05/08/14 01:07:01 AM,C,15.707
05/08/14 01:27:01 AM,C,15.77
05/08/14 01:47:01 AM,C,15.895
05/08/14 02:07:01 AM,C,16.02
05/08/14 02:27:01 AM,C,15.77
05/08/14 02:47:01 AM,C,15.77
05/08/14 03:07:01 AM,C,15.707
05/08/14 03:27:01 AM,C,15.582
05/08/14 03:47:01 AM,C,15.582
05/08/14 04:07:01 AM,C,15.457
05/08/14 04:27:01 AM,C,15.457
05/08/14 04:47:01 AM,C,15.332
05/08/14 05:07:01 AM,C,15.332
05/08/14 05:27:01 AM,C,15.394
05/08/14 05:47:01 AM,C,15.457
05/08/14 06:07:01 AM,C,16.458
05/08/14 06:27:01 AM,C,17.209
05/08/14 06:47:01 AM,C,18.397
05/08/14 07:07:01 AM,C,18.71
05/08/14 07:27:01 AM,C,18.71
05/08/14 07:47:01 AM,C,19.085
