1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 280000003381BE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:57:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:17:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10788
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:17:01 PM,C,17.197
04/08/14 08:37:01 PM,C,16.822
04/08/14 08:57:01 PM,C,16.634
04/08/14 09:17:01 PM,C,16.383
04/08/14 09:37:01 PM,C,16.196
04/08/14 09:57:01 PM,C,16.196
04/08/14 10:17:01 PM,C,16.133
04/08/14 10:37:01 PM,C,16.07
04/08/14 10:57:01 PM,C,16.008
04/08/14 11:17:01 PM,C,16.008
04/08/14 11:37:01 PM,C,15.945
04/08/14 11:57:01 PM,C,15.82
05/08/14 12:17:01 AM,C,16.008
05/08/14 12:37:01 AM,C,16.008
05/08/14 12:57:01 AM,C,16.07
05/08/14 01:17:01 AM,C,16.07
05/08/14 01:37:01 AM,C,16.258
05/08/14 01:57:01 AM,C,16.321
05/08/14 02:17:01 AM,C,16.258
05/08/14 02:37:01 AM,C,15.945
05/08/14 02:57:01 AM,C,15.882
05/08/14 03:17:01 AM,C,15.757
05/08/14 03:37:01 AM,C,15.757
05/08/14 03:57:01 AM,C,15.882
05/08/14 04:17:01 AM,C,15.757
05/08/14 04:37:01 AM,C,15.695
05/08/14 04:57:01 AM,C,15.82
05/08/14 05:17:01 AM,C,15.882
05/08/14 05:37:01 AM,C,15.82
05/08/14 05:57:01 AM,C,16.634
05/08/14 06:17:01 AM,C,18.011
05/08/14 06:37:01 AM,C,21.202
05/08/14 06:57:01 AM,C,22.515
05/08/14 07:17:01 AM,C,23.453
05/08/14 07:37:01 AM,C,24.891
05/08/14 07:57:01 AM,C,25.703
05/08/14 08:17:01 AM,C,26.203
05/08/14 08:37:01 AM,C,26.89
05/08/14 08:57:01 AM,C,27.265
05/08/14 09:17:01 AM,C,26.078
05/08/14 09:37:01 AM,C,25.953
05/08/14 09:57:01 AM,C,28.514
05/08/14 10:17:01 AM,C,27.827
05/08/14 10:37:01 AM,C,26.89
05/08/14 10:57:01 AM,C,25.703
05/08/14 11:17:01 AM,C,26.078
05/08/14 11:37:01 AM,C,27.14
05/08/14 11:57:01 AM,C,28.14
05/08/14 12:17:01 PM,C,25.766
05/08/14 12:37:01 PM,C,25.953
05/08/14 12:57:01 PM,C,27.765
05/08/14 01:17:01 PM,C,27.452
05/08/14 01:37:01 PM,C,23.953
05/08/14 01:57:01 PM,C,25.703
05/08/14 02:17:01 PM,C,25.078
05/08/14 02:37:01 PM,C,25.828
05/08/14 02:57:01 PM,C,26.203
05/08/14 03:17:01 PM,C,26.141
05/08/14 03:37:01 PM,C,25.016
05/08/14 03:57:01 PM,C,22.765
05/08/14 04:17:01 PM,C,21.202
05/08/14 04:37:01 PM,C,21.014
05/08/14 04:57:01 PM,C,20.451
05/08/14 05:17:01 PM,C,19.888
05/08/14 05:37:01 PM,C,19.45
05/08/14 05:57:01 PM,C,18.762
05/08/14 06:17:01 PM,C,18.449
05/08/14 06:37:01 PM,C,18.199
05/08/14 06:57:01 PM,C,17.51
05/08/14 07:17:01 PM,C,17.197
05/08/14 07:37:01 PM,C,16.947
05/08/14 07:57:01 PM,C,16.571
05/08/14 08:17:01 PM,C,16.696
05/08/14 08:37:01 PM,C,16.696
05/08/14 08:57:01 PM,C,16.446
05/08/14 09:17:01 PM,C,16.133
05/08/14 09:37:01 PM,C,15.82
05/08/14 09:57:01 PM,C,15.82
05/08/14 10:17:01 PM,C,15.507
05/08/14 10:37:01 PM,C,15.256
05/08/14 10:57:01 PM,C,15.382
05/08/14 11:17:01 PM,C,15.632
05/08/14 11:37:01 PM,C,15.695
05/08/14 11:57:01 PM,C,15.507
06/08/14 12:17:01 AM,C,15.256
