1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DC0000003381DF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:10:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:30:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10677
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:30:01 PM,C,16.208
04/08/14 08:50:01 PM,C,16.02
04/08/14 09:10:01 PM,C,15.895
04/08/14 09:30:01 PM,C,15.707
04/08/14 09:50:01 PM,C,15.707
04/08/14 10:10:01 PM,C,15.832
04/08/14 10:30:01 PM,C,15.957
04/08/14 10:50:01 PM,C,15.707
04/08/14 11:10:01 PM,C,16.02
04/08/14 11:30:01 PM,C,15.832
04/08/14 11:50:01 PM,C,15.957
05/08/14 12:10:01 AM,C,15.832
05/08/14 12:30:01 AM,C,15.832
05/08/14 12:50:01 AM,C,15.77
05/08/14 01:10:01 AM,C,16.083
05/08/14 01:30:01 AM,C,15.707
05/08/14 01:50:01 AM,C,16.521
05/08/14 02:10:01 AM,C,15.957
05/08/14 02:30:01 AM,C,15.645
05/08/14 02:50:01 AM,C,15.519
05/08/14 03:10:01 AM,C,15.645
05/08/14 03:30:01 AM,C,16.02
05/08/14 03:50:01 AM,C,16.02
05/08/14 04:10:01 AM,C,15.77
05/08/14 04:30:01 AM,C,15.832
05/08/14 04:50:01 AM,C,16.02
05/08/14 05:10:01 AM,C,16.145
05/08/14 05:30:01 AM,C,16.083
05/08/14 05:50:01 AM,C,18.335
05/08/14 06:10:01 AM,C,20.837
05/08/14 06:30:01 AM,C,22.4
05/08/14 06:50:01 AM,C,23.65
05/08/14 07:10:01 AM,C,25.213
05/08/14 07:30:01 AM,C,25.4
05/08/14 07:50:01 AM,C,26.463
05/08/14 08:10:01 AM,C,27.4
05/08/14 08:30:01 AM,C,27.588
05/08/14 08:50:01 AM,C,27.525
05/08/14 09:10:01 AM,C,28.212
05/08/14 09:30:01 AM,C,25.088
05/08/14 09:50:01 AM,C,27.025
05/08/14 10:10:01 AM,C,29.024
05/08/14 10:30:01 AM,C,25.525
05/08/14 10:50:01 AM,C,25.4
05/08/14 11:10:01 AM,C,23.4
05/08/14 11:30:01 AM,C,24.15
05/08/14 11:50:01 AM,C,26.338
05/08/14 12:10:01 PM,C,26.088
05/08/14 12:30:01 PM,C,24.338
05/08/14 12:50:01 PM,C,26.65
05/08/14 01:10:01 PM,C,27.525
05/08/14 01:30:01 PM,C,24.338
05/08/14 01:50:01 PM,C,22.65
05/08/14 02:10:01 PM,C,23.525
05/08/14 02:30:01 PM,C,22.4
05/08/14 02:50:01 PM,C,22.275
05/08/14 03:10:01 PM,C,21.9
05/08/14 03:30:01 PM,C,21.837
05/08/14 03:50:01 PM,C,21.024
05/08/14 04:10:01 PM,C,20.211
05/08/14 04:30:01 PM,C,19.899
05/08/14 04:50:01 PM,C,19.336
05/08/14 05:10:01 PM,C,19.148
05/08/14 05:30:01 PM,C,19.023
05/08/14 05:50:01 PM,C,18.648
05/08/14 06:10:01 PM,C,18.147
05/08/14 06:30:01 PM,C,17.897
05/08/14 06:50:01 PM,C,17.334
05/08/14 07:10:01 PM,C,17.084
05/08/14 07:30:01 PM,C,16.708
05/08/14 07:50:01 PM,C,17.021
05/08/14 08:10:01 PM,C,17.021
05/08/14 08:30:01 PM,C,17.146
05/08/14 08:50:01 PM,C,17.396
05/08/14 09:10:01 PM,C,16.458
05/08/14 09:30:01 PM,C,16.458
05/08/14 09:50:01 PM,C,17.522
05/08/14 10:10:01 PM,C,17.021
05/08/14 10:30:01 PM,C,16.583
05/08/14 10:50:01 PM,C,17.584
05/08/14 11:10:01 PM,C,17.396
05/08/14 11:30:01 PM,C,16.583
05/08/14 11:50:01 PM,C,16.333
06/08/14 12:10:01 AM,C,16.959
06/08/14 12:30:01 AM,C,17.021
06/08/14 12:50:01 AM,C,17.146
06/08/14 01:10:01 AM,C,16.521
06/08/14 01:30:01 AM,C,16.896
06/08/14 01:50:01 AM,C,17.209
06/08/14 02:10:01 AM,C,16.896
