1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4500000033820141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:58:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:18:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10708
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:18:01 PM,C,18.207
04/08/14 08:38:01 PM,C,17.769
04/08/14 08:58:01 PM,C,17.393
04/08/14 09:18:01 PM,C,17.08
04/08/14 09:38:01 PM,C,17.08
04/08/14 09:58:01 PM,C,16.892
04/08/14 10:18:01 PM,C,16.955
04/08/14 10:38:01 PM,C,16.767
04/08/14 10:58:01 PM,C,16.83
04/08/14 11:18:01 PM,C,16.705
04/08/14 11:38:01 PM,C,16.579
04/08/14 11:58:01 PM,C,16.517
05/08/14 12:18:01 AM,C,16.579
05/08/14 12:38:01 AM,C,16.705
05/08/14 12:58:01 AM,C,16.83
05/08/14 01:18:01 AM,C,16.705
05/08/14 01:38:01 AM,C,16.705
05/08/14 01:58:01 AM,C,16.892
05/08/14 02:18:01 AM,C,16.83
05/08/14 02:38:01 AM,C,16.705
05/08/14 02:58:01 AM,C,16.705
05/08/14 03:18:01 AM,C,16.579
05/08/14 03:38:01 AM,C,16.579
05/08/14 03:58:01 AM,C,16.642
05/08/14 04:18:01 AM,C,16.579
05/08/14 04:38:01 AM,C,16.579
05/08/14 04:58:01 AM,C,16.517
05/08/14 05:18:01 AM,C,16.579
05/08/14 05:38:01 AM,C,16.517
05/08/14 05:58:01 AM,C,16.892
05/08/14 06:18:01 AM,C,17.644
05/08/14 06:38:01 AM,C,18.645
05/08/14 06:58:01 AM,C,19.459
05/08/14 07:18:01 AM,C,19.835
05/08/14 07:38:01 AM,C,20.523
05/08/14 07:58:01 AM,C,21.149
05/08/14 08:18:01 AM,C,21.336
05/08/14 08:38:01 AM,C,21.774
05/08/14 08:58:01 AM,C,21.899
05/08/14 09:18:01 AM,C,21.962
05/08/14 09:38:01 AM,C,23.15
05/08/14 09:58:01 AM,C,24.338
05/08/14 10:18:01 AM,C,25.713
05/08/14 10:38:01 AM,C,24.775
05/08/14 10:58:01 AM,C,23.9
05/08/14 11:18:01 AM,C,24.65
05/08/14 11:38:01 AM,C,25.775
05/08/14 11:58:01 AM,C,25.65
05/08/14 12:18:01 PM,C,25.588
05/08/14 12:38:01 PM,C,27.962
05/08/14 12:58:01 PM,C,29.711
05/08/14 01:18:01 PM,C,29.211
05/08/14 01:38:01 PM,C,25.338
05/08/14 01:58:01 PM,C,24.65
05/08/14 02:18:01 PM,C,24.463
05/08/14 02:38:01 PM,C,23.775
05/08/14 02:58:01 PM,C,24.525
05/08/14 03:18:01 PM,C,23.775
05/08/14 03:38:01 PM,C,23.775
05/08/14 03:58:01 PM,C,23.212
05/08/14 04:18:01 PM,C,22.4
05/08/14 04:38:01 PM,C,21.899
05/08/14 04:58:01 PM,C,21.461
05/08/14 05:18:01 PM,C,20.898
05/08/14 05:38:01 PM,C,20.335
05/08/14 05:58:01 PM,C,19.709
05/08/14 06:18:01 PM,C,19.084
05/08/14 06:38:01 PM,C,18.771
05/08/14 06:58:01 PM,C,18.458
05/08/14 07:18:01 PM,C,18.207
05/08/14 07:38:01 PM,C,17.894
05/08/14 07:58:01 PM,C,17.456
05/08/14 08:18:01 PM,C,17.206
05/08/14 08:38:01 PM,C,17.206
05/08/14 08:58:01 PM,C,17.018
05/08/14 09:18:01 PM,C,17.018
05/08/14 09:38:01 PM,C,16.83
05/08/14 09:58:01 PM,C,16.391
05/08/14 10:18:01 PM,C,15.953
05/08/14 10:38:01 PM,C,15.577
05/08/14 10:58:01 PM,C,15.515
05/08/14 11:18:01 PM,C,15.64
05/08/14 11:38:01 PM,C,15.577
05/08/14 11:58:01 PM,C,15.577
06/08/14 12:18:01 AM,C,15.515
06/08/14 12:38:01 AM,C,15.515
06/08/14 12:58:01 AM,C,15.452
06/08/14 01:18:01 AM,C,15.577
06/08/14 01:38:01 AM,C,15.953
06/08/14 01:58:01 AM,C,16.016
06/08/14 02:18:01 AM,C,16.141
06/08/14 02:38:01 AM,C,16.329
06/08/14 02:58:01 AM,C,16.266
06/08/14 03:18:01 AM,C,16.204
06/08/14 03:38:01 AM,C,16.266
06/08/14 03:58:01 AM,C,16.517
06/08/14 04:18:01 AM,C,17.018
06/08/14 04:38:01 AM,C,17.206
06/08/14 04:58:01 AM,C,17.393
06/08/14 05:18:01 AM,C,17.519
06/08/14 05:38:01 AM,C,17.581
06/08/14 05:58:01 AM,C,17.644
06/08/14 06:18:01 AM,C,17.832
06/08/14 06:38:01 AM,C,17.894
06/08/14 06:58:01 AM,C,17.957
06/08/14 07:18:01 AM,C,17.644
06/08/14 07:38:01 AM,C,17.769
06/08/14 07:58:01 AM,C,17.894
06/08/14 08:18:01 AM,C,18.082
06/08/14 08:38:01 AM,C,18.332
06/08/14 08:58:01 AM,C,19.209
06/08/14 09:18:01 AM,C,20.21
06/08/14 09:38:01 AM,C,21.274
06/08/14 09:58:01 AM,C,22.024
06/08/14 10:18:01 AM,C,24.025
06/08/14 10:38:01 AM,C,24.525
06/08/14 10:58:01 AM,C,25.15
06/08/14 11:18:01 AM,C,26.338
06/08/14 11:38:01 AM,C,27.337
06/08/14 11:58:01 AM,C,25.963
06/08/14 12:18:01 PM,C,24.588
06/08/14 12:38:01 PM,C,23.775
06/08/14 12:58:01 PM,C,23.025
06/08/14 01:18:01 PM,C,22.837
06/08/14 01:38:01 PM,C,24.838
06/08/14 01:58:01 PM,C,24.713
06/08/14 02:18:01 PM,C,23.025
06/08/14 02:38:01 PM,C,23.65
06/08/14 02:58:01 PM,C,23.65
06/08/14 03:18:01 PM,C,23.087
06/08/14 03:38:01 PM,C,23.212
06/08/14 03:58:01 PM,C,22.837
06/08/14 04:18:01 PM,C,22.525
06/08/14 04:38:01 PM,C,22.024
06/08/14 04:58:01 PM,C,21.461
06/08/14 05:18:01 PM,C,21.086
06/08/14 05:38:01 PM,C,20.585
06/08/14 05:58:01 PM,C,19.897
06/08/14 06:18:01 PM,C,19.584
06/08/14 06:38:01 PM,C,19.647
06/08/14 06:58:01 PM,C,19.271
06/08/14 07:18:01 PM,C,19.146
06/08/14 07:38:01 PM,C,19.021
06/08/14 07:58:01 PM,C,18.645
06/08/14 08:18:01 PM,C,18.458
06/08/14 08:38:01 PM,C,18.082
06/08/14 08:58:01 PM,C,17.769
06/08/14 09:18:01 PM,C,17.581
06/08/14 09:38:01 PM,C,17.331
06/08/14 09:58:01 PM,C,17.268
06/08/14 10:18:01 PM,C,17.143
06/08/14 10:38:01 PM,C,17.268
06/08/14 10:58:01 PM,C,17.206
06/08/14 11:18:01 PM,C,17.08
06/08/14 11:38:01 PM,C,17.08
06/08/14 11:58:01 PM,C,17.018
07/08/14 12:18:01 AM,C,17.143
07/08/14 12:38:01 AM,C,17.08
07/08/14 12:58:01 AM,C,16.955
07/08/14 01:18:01 AM,C,16.767
07/08/14 01:38:01 AM,C,16.642
07/08/14 01:58:01 AM,C,16.454
07/08/14 02:18:01 AM,C,16.454
07/08/14 02:38:01 AM,C,16.266
07/08/14 02:58:01 AM,C,16.016
07/08/14 03:18:01 AM,C,16.078
07/08/14 03:38:01 AM,C,16.078
07/08/14 03:58:01 AM,C,16.141
07/08/14 04:18:01 AM,C,16.141
07/08/14 04:38:01 AM,C,16.204
07/08/14 04:58:01 AM,C,16.141
07/08/14 05:18:01 AM,C,15.953
07/08/14 05:38:01 AM,C,16.016
07/08/14 05:58:01 AM,C,16.642
07/08/14 06:18:01 AM,C,17.206
07/08/14 06:38:01 AM,C,17.706
07/08/14 06:58:01 AM,C,18.332
07/08/14 07:18:01 AM,C,19.647
07/08/14 07:38:01 AM,C,20.648
07/08/14 07:58:01 AM,C,21.211
07/08/14 08:18:01 AM,C,22.337
07/08/14 08:38:01 AM,C,23.963
07/08/14 08:58:01 AM,C,23.775
07/08/14 09:18:01 AM,C,22.9
07/08/14 09:38:01 AM,C,23.9
07/08/14 09:58:01 AM,C,25.088
07/08/14 10:18:01 AM,C,27.15
07/08/14 10:38:01 AM,C,26.713
07/08/14 10:58:01 AM,C,26.275
07/08/14 11:18:01 AM,C,26.65
07/08/14 11:38:01 AM,C,30.772
07/08/14 11:58:01 AM,C,29.523
07/08/14 12:18:01 PM,C,27.525
07/08/14 12:38:01 PM,C,28.462
07/08/14 12:58:01 PM,C,29.835
07/08/14 01:18:01 PM,C,30.335
07/08/14 01:38:01 PM,C,27.712
07/08/14 01:58:01 PM,C,25.65
07/08/14 02:18:01 PM,C,24.963
07/08/14 02:38:01 PM,C,25.025
07/08/14 02:58:01 PM,C,24.713
07/08/14 03:18:01 PM,C,23.775
07/08/14 03:38:01 PM,C,23.4
07/08/14 03:58:01 PM,C,23.15
07/08/14 04:18:01 PM,C,22.775
07/08/14 04:38:01 PM,C,22.274
07/08/14 04:58:01 PM,C,22.4
07/08/14 05:18:01 PM,C,21.712
07/08/14 05:38:01 PM,C,21.211
07/08/14 05:58:01 PM,C,20.273
07/08/14 06:18:01 PM,C,19.709
07/08/14 06:38:01 PM,C,19.897
07/08/14 06:58:01 PM,C,20.147
07/08/14 07:18:01 PM,C,19.96
07/08/14 07:38:01 PM,C,19.021
07/08/14 07:58:01 PM,C,19.084
07/08/14 08:18:01 PM,C,19.271
07/08/14 08:38:01 PM,C,19.084
07/08/14 08:58:01 PM,C,18.708
07/08/14 09:18:01 PM,C,18.395
07/08/14 09:38:01 PM,C,18.082
07/08/14 09:58:01 PM,C,18.019
07/08/14 10:18:01 PM,C,18.27
07/08/14 10:38:01 PM,C,18.458
07/08/14 10:58:01 PM,C,18.395
07/08/14 11:18:01 PM,C,18.27
07/08/14 11:38:01 PM,C,18.207
07/08/14 11:58:01 PM,C,17.769
08/08/14 12:18:01 AM,C,17.456
08/08/14 12:38:01 AM,C,17.832
08/08/14 12:58:01 AM,C,18.082
08/08/14 01:18:01 AM,C,17.832
08/08/14 01:38:01 AM,C,17.331
08/08/14 01:58:01 AM,C,17.08
08/08/14 02:18:01 AM,C,16.955
08/08/14 02:38:01 AM,C,16.83
08/08/14 02:58:01 AM,C,16.642
08/08/14 03:18:01 AM,C,16.705
08/08/14 03:38:01 AM,C,16.83
08/08/14 03:58:01 AM,C,17.08
08/08/14 04:18:01 AM,C,17.268
08/08/14 04:38:01 AM,C,17.331
08/08/14 04:58:01 AM,C,17.268
08/08/14 05:18:01 AM,C,17.331
08/08/14 05:38:01 AM,C,17.393
08/08/14 05:58:01 AM,C,17.456
08/08/14 06:18:01 AM,C,17.706
08/08/14 06:38:01 AM,C,17.832
08/08/14 06:58:01 AM,C,17.894
08/08/14 07:18:01 AM,C,17.957
08/08/14 07:38:01 AM,C,18.019
08/08/14 07:58:01 AM,C,18.27
08/08/14 08:18:01 AM,C,18.395
08/08/14 08:38:01 AM,C,18.833
08/08/14 08:58:01 AM,C,19.271
08/08/14 09:18:01 AM,C,19.459
08/08/14 09:38:01 AM,C,19.709
08/08/14 09:58:01 AM,C,19.897
08/08/14 10:18:01 AM,C,20.022
08/08/14 10:38:01 AM,C,19.709
08/08/14 10:58:01 AM,C,20.21
08/08/14 11:18:01 AM,C,20.648
08/08/14 11:38:01 AM,C,20.898
08/08/14 11:58:01 AM,C,20.335
08/08/14 12:18:01 PM,C,19.96
08/08/14 12:38:01 PM,C,20.21
08/08/14 12:58:01 PM,C,21.211
08/08/14 01:18:01 PM,C,22.087
08/08/14 01:38:01 PM,C,21.962
08/08/14 01:58:01 PM,C,20.898
08/08/14 02:18:01 PM,C,20.898
08/08/14 02:38:01 PM,C,20.585
08/08/14 02:58:01 PM,C,20.335
08/08/14 03:18:01 PM,C,20.398
08/08/14 03:38:01 PM,C,19.835
08/08/14 03:58:01 PM,C,19.584
08/08/14 04:18:01 PM,C,19.397
08/08/14 04:38:01 PM,C,19.334
08/08/14 04:58:01 PM,C,19.334
08/08/14 05:18:01 PM,C,19.334
