1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1C00000033820241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:02:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:42:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10701
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:42:01 AM,C,15.569
04/08/14 05:02:01 AM,C,15.757
04/08/14 05:22:01 AM,C,15.757
04/08/14 05:42:01 AM,C,15.757
04/08/14 06:02:01 AM,C,16.133
04/08/14 06:22:01 AM,C,17.322
04/08/14 06:42:01 AM,C,18.199
04/08/14 07:02:01 AM,C,18.261
04/08/14 07:22:01 AM,C,18.449
04/08/14 07:42:01 AM,C,18.887
04/08/14 08:02:01 AM,C,19.388
04/08/14 08:22:01 AM,C,19.7
04/08/14 08:42:01 AM,C,20.138
04/08/14 09:02:01 AM,C,20.514
04/08/14 09:22:01 AM,C,20.952
04/08/14 09:42:01 AM,C,23.015
04/08/14 10:02:01 AM,C,24.516
04/08/14 10:22:01 AM,C,24.516
04/08/14 10:42:01 AM,C,25.266
04/08/14 11:02:01 AM,C,25.766
04/08/14 11:22:01 AM,C,26.203
04/08/14 11:42:01 AM,C,27.015
04/08/14 12:02:01 PM,C,28.514
04/08/14 12:22:01 PM,C,28.577
04/08/14 12:42:01 PM,C,29.701
04/08/14 01:02:01 PM,C,29.701
04/08/14 01:22:01 PM,C,30.388
04/08/14 01:42:01 PM,C,30.388
04/08/14 02:02:01 PM,C,29.951
04/08/14 02:22:01 PM,C,29.389
04/08/14 02:42:01 PM,C,29.701
04/08/14 03:02:01 PM,C,28.14
04/08/14 03:22:01 PM,C,24.703
04/08/14 03:42:01 PM,C,22.453
04/08/14 04:02:01 PM,C,21.077
04/08/14 04:22:01 PM,C,20.576
04/08/14 04:42:01 PM,C,20.076
04/08/14 05:02:01 PM,C,19.763
04/08/14 05:22:01 PM,C,19.513
04/08/14 05:42:01 PM,C,19.388
04/08/14 06:02:01 PM,C,19.012
04/08/14 06:22:01 PM,C,18.95
04/08/14 06:42:01 PM,C,18.887
04/08/14 07:02:01 PM,C,18.887
04/08/14 07:22:01 PM,C,18.699
04/08/14 07:42:01 PM,C,18.574
04/08/14 08:02:01 PM,C,18.386
04/08/14 08:22:01 PM,C,18.011
04/08/14 08:42:01 PM,C,17.51
04/08/14 09:02:01 PM,C,17.197
04/08/14 09:22:01 PM,C,16.947
04/08/14 09:42:01 PM,C,16.821
04/08/14 10:02:01 PM,C,16.696
04/08/14 10:22:01 PM,C,16.571
04/08/14 10:42:01 PM,C,16.508
04/08/14 11:02:01 PM,C,16.383
04/08/14 11:22:01 PM,C,16.321
04/08/14 11:42:01 PM,C,16.133
05/08/14 12:02:01 AM,C,16.07
05/08/14 12:22:01 AM,C,16.133
05/08/14 12:42:01 AM,C,16.383
05/08/14 01:02:01 AM,C,16.383
05/08/14 01:22:01 AM,C,16.383
05/08/14 01:42:01 AM,C,16.383
05/08/14 02:02:01 AM,C,16.508
05/08/14 02:22:01 AM,C,16.508
05/08/14 02:42:01 AM,C,16.383
05/08/14 03:02:01 AM,C,16.195
05/08/14 03:22:01 AM,C,16.133
05/08/14 03:42:01 AM,C,16.008
05/08/14 04:02:01 AM,C,16.07
05/08/14 04:22:01 AM,C,16.07
05/08/14 04:42:01 AM,C,16.07
05/08/14 05:02:01 AM,C,16.008
05/08/14 05:22:01 AM,C,16.008
05/08/14 05:42:01 AM,C,16.008
05/08/14 06:02:01 AM,C,16.696
05/08/14 06:22:01 AM,C,17.51
05/08/14 06:42:01 AM,C,18.261
05/08/14 07:02:01 AM,C,18.824
