1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 400000003382A241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:49:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:29:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10678
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:29:01 PM,C,17.993
04/08/14 08:49:01 PM,C,17.492
04/08/14 09:09:01 PM,C,17.242
04/08/14 09:29:01 PM,C,17.054
04/08/14 09:49:01 PM,C,16.866
04/08/14 10:09:01 PM,C,16.803
04/08/14 10:29:01 PM,C,16.741
04/08/14 10:49:01 PM,C,16.678
04/08/14 11:09:01 PM,C,16.615
04/08/14 11:29:01 PM,C,16.365
04/08/14 11:49:01 PM,C,16.302
05/08/14 12:09:01 AM,C,16.24
05/08/14 12:29:01 AM,C,16.365
05/08/14 12:49:01 AM,C,16.49
05/08/14 01:09:01 AM,C,16.553
05/08/14 01:29:01 AM,C,16.553
05/08/14 01:49:01 AM,C,16.678
05/08/14 02:09:01 AM,C,16.741
05/08/14 02:29:01 AM,C,16.615
05/08/14 02:49:01 AM,C,16.428
05/08/14 03:09:01 AM,C,16.302
05/08/14 03:29:01 AM,C,16.302
05/08/14 03:49:01 AM,C,16.177
05/08/14 04:09:01 AM,C,16.177
05/08/14 04:29:01 AM,C,16.24
05/08/14 04:49:01 AM,C,16.24
05/08/14 05:09:01 AM,C,16.177
05/08/14 05:29:01 AM,C,16.115
05/08/14 05:49:01 AM,C,16.428
05/08/14 06:09:01 AM,C,19.495
05/08/14 06:29:01 AM,C,21.434
05/08/14 06:49:01 AM,C,23.498
05/08/14 07:09:01 AM,C,24.31
05/08/14 07:29:01 AM,C,25.748
05/08/14 07:49:01 AM,C,27.373
05/08/14 08:09:01 AM,C,28.872
05/08/14 08:29:01 AM,C,30.808
05/08/14 08:49:01 AM,C,30.745
05/08/14 09:09:01 AM,C,31.369
05/08/14 09:29:01 AM,C,28.435
05/08/14 09:49:01 AM,C,29.184
05/08/14 10:09:01 AM,C,30.808
05/08/14 10:29:01 AM,C,28.247
05/08/14 10:49:01 AM,C,27.623
05/08/14 11:09:01 AM,C,26.061
05/08/14 11:29:01 AM,C,26.56
05/08/14 11:49:01 AM,C,28.56
05/08/14 12:09:01 PM,C,28.372
05/08/14 12:29:01 PM,C,27.498
05/08/14 12:49:01 PM,C,32.431
05/08/14 01:09:01 PM,C,31.931
05/08/14 01:29:01 PM,C,27.81
05/08/14 01:49:01 PM,C,25.748
05/08/14 02:09:01 PM,C,27.935
05/08/14 02:29:01 PM,C,28.56
05/08/14 02:49:01 PM,C,31.12
05/08/14 03:09:01 PM,C,31.182
05/08/14 03:29:01 PM,C,29.996
05/08/14 03:49:01 PM,C,28.247
05/08/14 04:09:01 PM,C,25.498
05/08/14 04:29:01 PM,C,24.185
05/08/14 04:49:01 PM,C,22.872
05/08/14 05:09:01 PM,C,21.809
05/08/14 05:29:01 PM,C,20.996
05/08/14 05:49:01 PM,C,20.183
05/08/14 06:09:01 PM,C,19.37
05/08/14 06:29:01 PM,C,18.931
05/08/14 06:49:01 PM,C,18.681
05/08/14 07:09:01 PM,C,18.368
05/08/14 07:29:01 PM,C,18.055
05/08/14 07:49:01 PM,C,17.555
05/08/14 08:09:01 PM,C,17.179
05/08/14 08:29:01 PM,C,17.054
05/08/14 08:49:01 PM,C,16.991
05/08/14 09:09:01 PM,C,16.928
05/08/14 09:29:01 PM,C,16.678
05/08/14 09:49:01 PM,C,16.365
05/08/14 10:09:01 PM,C,15.864
05/08/14 10:29:01 PM,C,15.363
05/08/14 10:49:01 PM,C,15.175
05/08/14 11:09:01 PM,C,15.175
05/08/14 11:29:01 PM,C,15.175
05/08/14 11:49:01 PM,C,15.175
06/08/14 12:09:01 AM,C,15.238
06/08/14 12:29:01 AM,C,15.05
06/08/14 12:49:01 AM,C,15.05
06/08/14 01:09:01 AM,C,15.175
06/08/14 01:29:01 AM,C,15.363
06/08/14 01:49:01 AM,C,15.676
06/08/14 02:09:01 AM,C,15.676
06/08/14 02:29:01 AM,C,15.864
06/08/14 02:49:01 AM,C,15.989
06/08/14 03:09:01 AM,C,15.864
06/08/14 03:29:01 AM,C,15.989
06/08/14 03:49:01 AM,C,16.302
06/08/14 04:09:01 AM,C,16.803
06/08/14 04:29:01 AM,C,17.179
06/08/14 04:49:01 AM,C,17.367
06/08/14 05:09:01 AM,C,17.492
06/08/14 05:29:01 AM,C,17.68
06/08/14 05:49:01 AM,C,17.68
06/08/14 06:09:01 AM,C,17.867
06/08/14 06:29:01 AM,C,18.243
06/08/14 06:49:01 AM,C,18.18
06/08/14 07:09:01 AM,C,17.93
06/08/14 07:29:01 AM,C,18.18
06/08/14 07:49:01 AM,C,18.243
06/08/14 08:09:01 AM,C,18.18
06/08/14 08:29:01 AM,C,18.931
06/08/14 08:49:01 AM,C,19.808
06/08/14 09:09:01 AM,C,21.434
06/08/14 09:29:01 AM,C,23.373
06/08/14 09:49:01 AM,C,23.873
06/08/14 10:09:01 AM,C,27.373
06/08/14 10:29:01 AM,C,28.56
06/08/14 10:49:01 AM,C,29.621
06/08/14 11:09:01 AM,C,30.246
06/08/14 11:29:01 AM,C,31.994
06/08/14 11:49:01 AM,C,27.31
06/08/14 12:09:01 PM,C,26.748
06/08/14 12:29:01 PM,C,25.498
06/08/14 12:49:01 PM,C,23.56
06/08/14 01:09:01 PM,C,23.435
06/08/14 01:29:01 PM,C,25.936
06/08/14 01:49:01 PM,C,27.498
06/08/14 02:09:01 PM,C,25.248
06/08/14 02:29:01 PM,C,26.623
06/08/14 02:49:01 PM,C,27.935
06/08/14 03:09:01 PM,C,26.935
06/08/14 03:29:01 PM,C,26.873
06/08/14 03:49:01 PM,C,26.498
06/08/14 04:09:01 PM,C,25.123
