1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B40000003382C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:09:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:49:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10827
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:49:01 PM,C,16.783
04/08/14 09:09:01 PM,C,16.595
04/08/14 09:29:01 PM,C,16.533
04/08/14 09:49:01 PM,C,16.345
04/08/14 10:09:01 PM,C,16.22
04/08/14 10:29:01 PM,C,15.969
04/08/14 10:49:01 PM,C,15.906
04/08/14 11:09:01 PM,C,15.906
04/08/14 11:29:01 PM,C,15.781
04/08/14 11:49:01 PM,C,15.719
05/08/14 12:09:01 AM,C,15.531
05/08/14 12:29:01 AM,C,15.719
05/08/14 12:49:01 AM,C,15.781
05/08/14 01:09:01 AM,C,15.844
05/08/14 01:29:01 AM,C,15.781
05/08/14 01:49:01 AM,C,15.969
05/08/14 02:09:01 AM,C,16.094
05/08/14 02:29:01 AM,C,16.032
05/08/14 02:49:01 AM,C,15.781
05/08/14 03:09:01 AM,C,15.844
05/08/14 03:29:01 AM,C,15.781
05/08/14 03:49:01 AM,C,15.656
05/08/14 04:09:01 AM,C,15.719
05/08/14 04:29:01 AM,C,15.719
05/08/14 04:49:01 AM,C,15.656
05/08/14 05:09:01 AM,C,15.656
05/08/14 05:29:01 AM,C,15.593
05/08/14 05:49:01 AM,C,15.656
05/08/14 06:09:01 AM,C,16.094
05/08/14 06:29:01 AM,C,16.846
05/08/14 06:49:01 AM,C,18.848
05/08/14 07:09:01 AM,C,21.413
05/08/14 07:29:01 AM,C,22.914
05/08/14 07:49:01 AM,C,24.352
05/08/14 08:09:01 AM,C,26.039
05/08/14 08:29:01 AM,C,27.601
05/08/14 08:49:01 AM,C,28.663
05/08/14 09:09:01 AM,C,29.225
05/08/14 09:29:01 AM,C,26.414
05/08/14 09:49:01 AM,C,27.226
05/08/14 10:09:01 AM,C,28.038
05/08/14 10:29:01 AM,C,27.101
05/08/14 10:49:01 AM,C,27.413
05/08/14 11:09:01 AM,C,26.664
05/08/14 11:29:01 AM,C,27.101
05/08/14 11:49:01 AM,C,27.226
05/08/14 12:09:01 PM,C,28.163
05/08/14 12:29:01 PM,C,26.476
05/08/14 12:49:01 PM,C,29.911
05/08/14 01:09:01 PM,C,31.847
05/08/14 01:29:01 PM,C,27.039
05/08/14 01:49:01 PM,C,26.101
05/08/14 02:09:01 PM,C,27.601
05/08/14 02:29:01 PM,C,27.476
05/08/14 02:49:01 PM,C,31.098
05/08/14 03:09:01 PM,C,29.724
05/08/14 03:29:01 PM,C,30.848
05/08/14 03:49:01 PM,C,28.413
05/08/14 04:09:01 PM,C,25.726
05/08/14 04:29:01 PM,C,23.914
05/08/14 04:49:01 PM,C,23.164
05/08/14 05:09:01 PM,C,21.601
05/08/14 05:29:01 PM,C,20.725
05/08/14 05:49:01 PM,C,19.787
05/08/14 06:09:01 PM,C,18.848
05/08/14 06:29:01 PM,C,18.473
05/08/14 06:49:01 PM,C,18.035
05/08/14 07:09:01 PM,C,17.659
05/08/14 07:29:01 PM,C,17.158
05/08/14 07:49:01 PM,C,16.595
05/08/14 08:09:01 PM,C,16.094
05/08/14 08:29:01 PM,C,15.844
05/08/14 08:49:01 PM,C,15.844
05/08/14 09:09:01 PM,C,15.969
05/08/14 09:29:01 PM,C,15.969
05/08/14 09:49:01 PM,C,15.656
05/08/14 10:09:01 PM,C,15.218
05/08/14 10:29:01 PM,C,15.03
05/08/14 10:49:01 PM,C,14.905
05/08/14 11:09:01 PM,C,14.842
05/08/14 11:29:01 PM,C,15.03
05/08/14 11:49:01 PM,C,15.093
06/08/14 12:09:01 AM,C,14.967
06/08/14 12:29:01 AM,C,14.717
06/08/14 12:49:01 AM,C,14.654
06/08/14 01:09:01 AM,C,14.779
06/08/14 01:29:01 AM,C,15.03
06/08/14 01:49:01 AM,C,15.28
06/08/14 02:09:01 AM,C,15.28
06/08/14 02:29:01 AM,C,15.218
06/08/14 02:49:01 AM,C,15.28
06/08/14 03:09:01 AM,C,15.155
06/08/14 03:29:01 AM,C,15.28
06/08/14 03:49:01 AM,C,15.468
06/08/14 04:09:01 AM,C,16.094
06/08/14 04:29:01 AM,C,16.533
06/08/14 04:49:01 AM,C,16.72
06/08/14 05:09:01 AM,C,16.971
06/08/14 05:29:01 AM,C,17.158
06/08/14 05:49:01 AM,C,17.221
06/08/14 06:09:01 AM,C,17.534
06/08/14 06:29:01 AM,C,17.847
06/08/14 06:49:01 AM,C,17.972
06/08/14 07:09:01 AM,C,17.534
06/08/14 07:29:01 AM,C,17.722
06/08/14 07:49:01 AM,C,17.847
06/08/14 08:09:01 AM,C,17.784
06/08/14 08:29:01 AM,C,18.348
06/08/14 08:49:01 AM,C,19.098
06/08/14 09:09:01 AM,C,20.537
06/08/14 09:29:01 AM,C,22.351
06/08/14 09:49:01 AM,C,23.039
06/08/14 10:09:01 AM,C,25.789
06/08/14 10:29:01 AM,C,27.663
06/08/14 10:49:01 AM,C,29.474
06/08/14 11:09:01 AM,C,29.225
06/08/14 11:29:01 AM,C,32.221
06/08/14 11:49:01 AM,C,26.539
06/08/14 12:09:01 PM,C,25.726
06/08/14 12:29:01 PM,C,24.852
06/08/14 12:49:01 PM,C,23.539
06/08/14 01:09:01 PM,C,23.039
06/08/14 01:29:01 PM,C,24.414
06/08/14 01:49:01 PM,C,26.289
06/08/14 02:09:01 PM,C,24.352
06/08/14 02:29:01 PM,C,25.102
06/08/14 02:49:01 PM,C,25.352
06/08/14 03:09:01 PM,C,25.664
06/08/14 03:29:01 PM,C,25.039
06/08/14 03:49:01 PM,C,26.601
06/08/14 04:09:01 PM,C,24.789
06/08/14 04:29:01 PM,C,23.664
06/08/14 04:49:01 PM,C,22.289
06/08/14 05:09:01 PM,C,21.476
06/08/14 05:29:01 PM,C,20.913
06/08/14 05:49:01 PM,C,19.849
06/08/14 06:09:01 PM,C,19.161
06/08/14 06:29:01 PM,C,19.286
06/08/14 06:49:01 PM,C,19.036
06/08/14 07:09:01 PM,C,19.036
06/08/14 07:29:01 PM,C,18.535
06/08/14 07:49:01 PM,C,18.035
06/08/14 08:09:01 PM,C,17.597
06/08/14 08:29:01 PM,C,17.284
06/08/14 08:49:01 PM,C,17.033
06/08/14 09:09:01 PM,C,16.658
06/08/14 09:29:01 PM,C,16.407
06/08/14 09:49:01 PM,C,16.345
06/08/14 10:09:01 PM,C,16.282
06/08/14 10:29:01 PM,C,16.282
06/08/14 10:49:01 PM,C,16.22
06/08/14 11:09:01 PM,C,16.094
06/08/14 11:29:01 PM,C,16.032
06/08/14 11:49:01 PM,C,16.094
07/08/14 12:09:01 AM,C,16.22
07/08/14 12:29:01 AM,C,16.282
07/08/14 12:49:01 AM,C,15.969
07/08/14 01:09:01 AM,C,15.656
07/08/14 01:29:01 AM,C,15.468
07/08/14 01:49:01 AM,C,15.343
07/08/14 02:09:01 AM,C,15.218
07/08/14 02:29:01 AM,C,15.093
07/08/14 02:49:01 AM,C,14.842
07/08/14 03:09:01 AM,C,15.218
07/08/14 03:29:01 AM,C,15.03
07/08/14 03:49:01 AM,C,14.842
07/08/14 04:09:01 AM,C,14.779
07/08/14 04:29:01 AM,C,14.717
07/08/14 04:49:01 AM,C,14.592
07/08/14 05:09:01 AM,C,14.592
07/08/14 05:29:01 AM,C,14.654
07/08/14 05:49:01 AM,C,15.218
07/08/14 06:09:01 AM,C,16.157
07/08/14 06:29:01 AM,C,16.783
07/08/14 06:49:01 AM,C,17.471
07/08/14 07:09:01 AM,C,18.848
07/08/14 07:29:01 AM,C,20.037
07/08/14 07:49:01 AM,C,20.788
07/08/14 08:09:01 AM,C,22.414
07/08/14 08:29:01 AM,C,25.289
07/08/14 08:49:01 AM,C,27.601
07/08/14 09:09:01 AM,C,24.789
07/08/14 09:29:01 AM,C,25.851
07/08/14 09:49:01 AM,C,27.039
07/08/14 10:09:01 AM,C,28.288
07/08/14 10:29:01 AM,C,28.163
07/08/14 10:49:01 AM,C,29.225
07/08/14 11:09:01 AM,C,28.475
07/08/14 11:29:01 AM,C,29.787
07/08/14 11:49:01 AM,C,29.974
07/08/14 12:09:01 PM,C,28.225
07/08/14 12:29:01 PM,C,29.911
07/08/14 12:49:01 PM,C,31.472
07/08/14 01:09:01 PM,C,31.784
07/08/14 01:29:01 PM,C,32.408
07/08/14 01:49:01 PM,C,27.163
07/08/14 02:09:01 PM,C,30.723
07/08/14 02:29:01 PM,C,31.847
07/08/14 02:49:01 PM,C,30.723
07/08/14 03:09:01 PM,C,31.16
07/08/14 03:29:01 PM,C,31.035
07/08/14 03:49:01 PM,C,29.974
07/08/14 04:09:01 PM,C,30.099
07/08/14 04:29:01 PM,C,26.289
07/08/14 04:49:01 PM,C,26.039
07/08/14 05:09:01 PM,C,23.039
07/08/14 05:29:01 PM,C,21.663
07/08/14 05:49:01 PM,C,20.412
07/08/14 06:09:01 PM,C,19.536
07/08/14 06:29:01 PM,C,19.474
07/08/14 06:49:01 PM,C,19.724
07/08/14 07:09:01 PM,C,19.411
07/08/14 07:29:01 PM,C,18.097
07/08/14 07:49:01 PM,C,18.035
07/08/14 08:09:01 PM,C,18.348
07/08/14 08:29:01 PM,C,18.222
07/08/14 08:49:01 PM,C,17.784
07/08/14 09:09:01 PM,C,17.471
07/08/14 09:29:01 PM,C,17.096
07/08/14 09:49:01 PM,C,17.096
07/08/14 10:09:01 PM,C,17.471
07/08/14 10:29:01 PM,C,17.534
07/08/14 10:49:01 PM,C,17.534
07/08/14 11:09:01 PM,C,17.409
07/08/14 11:29:01 PM,C,17.096
07/08/14 11:49:01 PM,C,16.908
08/08/14 12:09:01 AM,C,16.47
08/08/14 12:29:01 AM,C,16.595
08/08/14 12:49:01 AM,C,16.72
08/08/14 01:09:01 AM,C,16.533
08/08/14 01:29:01 AM,C,16.094
08/08/14 01:49:01 AM,C,15.844
08/08/14 02:09:01 AM,C,15.719
08/08/14 02:29:01 AM,C,15.593
08/08/14 02:49:01 AM,C,15.406
08/08/14 03:09:01 AM,C,15.593
08/08/14 03:29:01 AM,C,15.719
08/08/14 03:49:01 AM,C,15.844
08/08/14 04:09:01 AM,C,16.22
08/08/14 04:29:01 AM,C,16.47
08/08/14 04:49:01 AM,C,16.658
08/08/14 05:09:01 AM,C,16.658
08/08/14 05:29:01 AM,C,16.846
08/08/14 05:49:01 AM,C,16.908
08/08/14 06:09:01 AM,C,17.033
08/08/14 06:29:01 AM,C,17.284
08/08/14 06:49:01 AM,C,17.409
08/08/14 07:09:01 AM,C,17.597
08/08/14 07:29:01 AM,C,17.722
08/08/14 07:49:01 AM,C,17.847
08/08/14 08:09:01 AM,C,18.16
08/08/14 08:29:01 AM,C,18.598
08/08/14 08:49:01 AM,C,19.349
08/08/14 09:09:01 AM,C,19.787
08/08/14 09:29:01 AM,C,19.349
08/08/14 09:49:01 AM,C,19.599
08/08/14 10:09:01 AM,C,20.037
08/08/14 10:29:01 AM,C,19.787
08/08/14 10:49:01 AM,C,20.037
08/08/14 11:09:01 AM,C,20.412
08/08/14 11:29:01 AM,C,20.913
08/08/14 11:49:01 AM,C,20.537
08/08/14 12:09:01 PM,C,20.099
08/08/14 12:29:01 PM,C,20.162
08/08/14 12:49:01 PM,C,21.225
08/08/14 01:09:01 PM,C,22.476
08/08/14 01:29:01 PM,C,22.726
08/08/14 01:49:01 PM,C,21.913
08/08/14 02:09:01 PM,C,21.225
08/08/14 02:29:01 PM,C,21.163
08/08/14 02:49:01 PM,C,21.288
08/08/14 03:09:01 PM,C,21.163
08/08/14 03:29:01 PM,C,20.85
08/08/14 03:49:01 PM,C,20.162
08/08/14 04:09:01 PM,C,19.411
08/08/14 04:29:01 PM,C,19.224
08/08/14 04:49:01 PM,C,19.161
08/08/14 05:09:01 PM,C,19.224
08/08/14 05:29:01 PM,C,19.161
08/08/14 05:49:01 PM,C,18.911
08/08/14 06:09:01 PM,C,18.848
08/08/14 06:29:01 PM,C,18.786
08/08/14 06:49:01 PM,C,18.723
08/08/14 07:09:01 PM,C,18.598
08/08/14 07:29:01 PM,C,18.097
08/08/14 07:49:01 PM,C,18.097
08/08/14 08:09:01 PM,C,18.097
08/08/14 08:29:01 PM,C,18.035
08/08/14 08:49:01 PM,C,17.659
08/08/14 09:09:01 PM,C,17.096
08/08/14 09:29:01 PM,C,16.72
08/08/14 09:49:01 PM,C,16.407
08/08/14 10:09:01 PM,C,16.282
08/08/14 10:29:01 PM,C,16.157
08/08/14 10:49:01 PM,C,15.969
08/08/14 11:09:01 PM,C,15.844
08/08/14 11:29:01 PM,C,15.719
08/08/14 11:49:01 PM,C,15.656
09/08/14 12:09:01 AM,C,15.593
09/08/14 12:29:01 AM,C,15.406
09/08/14 12:49:01 AM,C,15.468
09/08/14 01:09:01 AM,C,15.343
09/08/14 01:29:01 AM,C,15.155
09/08/14 01:49:01 AM,C,15.093
09/08/14 02:09:01 AM,C,15.03
09/08/14 02:29:01 AM,C,14.905
09/08/14 02:49:01 AM,C,14.842
09/08/14 03:09:01 AM,C,14.779
09/08/14 03:29:01 AM,C,14.779
09/08/14 03:49:01 AM,C,15.03
09/08/14 04:09:01 AM,C,14.842
09/08/14 04:29:01 AM,C,14.842
09/08/14 04:49:01 AM,C,14.842
09/08/14 05:09:01 AM,C,14.905
09/08/14 05:29:01 AM,C,14.842
09/08/14 05:49:01 AM,C,14.842
09/08/14 06:09:01 AM,C,15.093
09/08/14 06:29:01 AM,C,15.844
09/08/14 06:49:01 AM,C,17.784
09/08/14 07:09:01 AM,C,19.411
09/08/14 07:29:01 AM,C,21.163
09/08/14 07:49:01 AM,C,23.226
09/08/14 08:09:01 AM,C,24.289
09/08/14 08:29:01 AM,C,25.414
09/08/14 08:49:01 AM,C,26.664
09/08/14 09:09:01 AM,C,27.476
09/08/14 09:29:01 AM,C,28.725
09/08/14 09:49:01 AM,C,29.787
09/08/14 10:09:01 AM,C,28.975
09/08/14 10:29:01 AM,C,29.537
09/08/14 10:49:01 AM,C,29.849
09/08/14 11:09:01 AM,C,30.411
09/08/14 11:29:01 AM,C,30.848
09/08/14 11:49:01 AM,C,30.91
09/08/14 12:09:01 PM,C,29.974
09/08/14 12:29:01 PM,C,30.099
09/08/14 12:49:01 PM,C,30.224
09/08/14 01:09:01 PM,C,28.038
09/08/14 01:29:01 PM,C,28.35
09/08/14 01:49:01 PM,C,27.413
09/08/14 02:09:01 PM,C,26.789
09/08/14 02:29:01 PM,C,24.852
09/08/14 02:49:01 PM,C,23.539
09/08/14 03:09:01 PM,C,23.101
09/08/14 03:29:01 PM,C,23.039
09/08/14 03:49:01 PM,C,23.539
09/08/14 04:09:01 PM,C,23.852
09/08/14 04:29:01 PM,C,22.914
09/08/14 04:49:01 PM,C,22.226
09/08/14 05:09:01 PM,C,21.726
09/08/14 05:29:01 PM,C,21.225
09/08/14 05:49:01 PM,C,20.788
09/08/14 06:09:01 PM,C,20.412
09/08/14 06:29:01 PM,C,20.475
09/08/14 06:49:01 PM,C,20.412
09/08/14 07:09:01 PM,C,20.412
09/08/14 07:29:01 PM,C,20.35
09/08/14 07:49:01 PM,C,19.974
09/08/14 08:09:01 PM,C,19.974
09/08/14 08:29:01 PM,C,19.912
09/08/14 08:49:01 PM,C,19.787
09/08/14 09:09:01 PM,C,19.724
09/08/14 09:29:01 PM,C,19.599
09/08/14 09:49:01 PM,C,19.349
09/08/14 10:09:01 PM,C,19.224
09/08/14 10:29:01 PM,C,19.224
09/08/14 10:49:01 PM,C,18.598
09/08/14 11:09:01 PM,C,17.972
09/08/14 11:29:01 PM,C,17.284
09/08/14 11:49:01 PM,C,17.659
10/08/14 12:09:01 AM,C,17.659
10/08/14 12:29:01 AM,C,16.783
10/08/14 12:49:01 AM,C,16.407
10/08/14 01:09:01 AM,C,16.22
10/08/14 01:29:01 AM,C,16.157
10/08/14 01:49:01 AM,C,15.969
10/08/14 02:09:01 AM,C,15.906
10/08/14 02:29:01 AM,C,15.906
10/08/14 02:49:01 AM,C,15.781
10/08/14 03:09:01 AM,C,15.593
10/08/14 03:29:01 AM,C,15.593
10/08/14 03:49:01 AM,C,15.593
10/08/14 04:09:01 AM,C,15.468
10/08/14 04:29:01 AM,C,15.468
10/08/14 04:49:01 AM,C,16.032
10/08/14 05:09:01 AM,C,16.533
10/08/14 05:29:01 AM,C,16.658
10/08/14 05:49:01 AM,C,17.096
10/08/14 06:09:01 AM,C,17.409
10/08/14 06:29:01 AM,C,18.222
10/08/14 06:49:01 AM,C,19.224
10/08/14 07:09:01 AM,C,21.038
10/08/14 07:29:01 AM,C,21.663
10/08/14 07:49:01 AM,C,21.788
10/08/14 08:09:01 AM,C,25.227
10/08/14 08:29:01 AM,C,23.977
10/08/14 08:49:01 AM,C,23.601
10/08/14 09:09:01 AM,C,22.789
10/08/14 09:29:01 AM,C,22.976
10/08/14 09:49:01 AM,C,23.977
10/08/14 10:09:01 AM,C,25.914
10/08/14 10:29:01 AM,C,26.789
10/08/14 10:49:01 AM,C,28.1
10/08/14 11:09:01 AM,C,28.787
10/08/14 11:29:01 AM,C,30.286
10/08/14 11:49:01 AM,C,30.973
10/08/14 12:09:01 PM,C,30.224
10/08/14 12:29:01 PM,C,28.163
10/08/14 12:49:01 PM,C,27.226
10/08/14 01:09:01 PM,C,31.347
10/08/14 01:29:01 PM,C,33.906
10/08/14 01:49:01 PM,C,32.533
10/08/14 02:09:01 PM,C,31.597
10/08/14 02:29:01 PM,C,31.285
10/08/14 02:49:01 PM,C,30.286
10/08/14 03:09:01 PM,C,27.976
10/08/14 03:29:01 PM,C,27.101
10/08/14 03:49:01 PM,C,25.289
10/08/14 04:09:01 PM,C,24.414
10/08/14 04:29:01 PM,C,24.289
10/08/14 04:49:01 PM,C,23.476
10/08/14 05:09:01 PM,C,22.351
10/08/14 05:29:01 PM,C,21.538
10/08/14 05:49:01 PM,C,21.1
10/08/14 06:09:01 PM,C,20.35
10/08/14 06:29:01 PM,C,19.849
10/08/14 06:49:01 PM,C,19.411
10/08/14 07:09:01 PM,C,18.848
10/08/14 07:29:01 PM,C,18.66
10/08/14 07:49:01 PM,C,19.036
10/08/14 08:09:01 PM,C,18.535
10/08/14 08:29:01 PM,C,17.784
10/08/14 08:49:01 PM,C,17.284
10/08/14 09:09:01 PM,C,16.971
10/08/14 09:29:01 PM,C,16.908
10/08/14 09:49:01 PM,C,16.846
10/08/14 10:09:01 PM,C,16.658
10/08/14 10:29:01 PM,C,16.533
10/08/14 10:49:01 PM,C,16.533
10/08/14 11:09:01 PM,C,17.284
10/08/14 11:29:01 PM,C,17.784
