1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7600000033786441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:05:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:45:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10761
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:45:01 PM,C,17.305
04/08/14 09:05:01 PM,C,16.991
04/08/14 09:25:01 PM,C,16.866
04/08/14 09:45:01 PM,C,16.741
04/08/14 10:05:01 PM,C,16.615
04/08/14 10:25:01 PM,C,16.553
04/08/14 10:45:01 PM,C,16.49
04/08/14 11:05:01 PM,C,16.365
04/08/14 11:25:01 PM,C,16.177
04/08/14 11:45:01 PM,C,16.177
05/08/14 12:05:01 AM,C,16.114
05/08/14 12:25:01 AM,C,16.177
05/08/14 12:45:01 AM,C,16.428
05/08/14 01:05:01 AM,C,16.302
05/08/14 01:25:01 AM,C,16.114
05/08/14 01:45:01 AM,C,16.24
05/08/14 02:05:01 AM,C,16.302
05/08/14 02:25:01 AM,C,16.24
05/08/14 02:45:01 AM,C,16.114
05/08/14 03:05:01 AM,C,16.177
05/08/14 03:25:01 AM,C,16.114
05/08/14 03:45:01 AM,C,16.052
05/08/14 04:05:01 AM,C,16.114
05/08/14 04:25:01 AM,C,16.114
05/08/14 04:45:01 AM,C,16.177
05/08/14 05:05:01 AM,C,16.114
05/08/14 05:25:01 AM,C,16.114
05/08/14 05:45:01 AM,C,16.177
05/08/14 06:05:01 AM,C,16.553
05/08/14 06:25:01 AM,C,16.866
05/08/14 06:45:01 AM,C,17.242
05/08/14 07:05:01 AM,C,17.931
05/08/14 07:25:01 AM,C,18.369
05/08/14 07:45:01 AM,C,20.372
05/08/14 08:05:01 AM,C,21.686
05/08/14 08:25:01 AM,C,22.875
05/08/14 08:45:01 AM,C,23.5
05/08/14 09:05:01 AM,C,25.25
05/08/14 09:25:01 AM,C,25.188
05/08/14 09:45:01 AM,C,26.5
05/08/14 10:05:01 AM,C,30.183
05/08/14 10:25:01 AM,C,28.498
05/08/14 10:45:01 AM,C,29.122
05/08/14 11:05:01 AM,C,26.937
05/08/14 11:25:01 AM,C,27.749
05/08/14 11:45:01 AM,C,29.622
05/08/14 12:05:01 PM,C,30.495
05/08/14 12:25:01 PM,C,27.437
05/08/14 12:45:01 PM,C,31.369
05/08/14 01:05:01 PM,C,32.866
05/08/14 01:25:01 PM,C,29.809
05/08/14 01:45:01 PM,C,26.937
05/08/14 02:05:01 PM,C,27.124
05/08/14 02:25:01 PM,C,28.56
05/08/14 02:45:01 PM,C,30.994
05/08/14 03:05:01 PM,C,30.807
05/08/14 03:25:01 PM,C,29.434
05/08/14 03:45:01 PM,C,27.187
05/08/14 04:05:01 PM,C,24.875
