1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 590000003382F341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:40:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:00:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10769
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:00:01 PM,C,17.492
04/08/14 08:20:01 PM,C,16.615
04/08/14 08:40:01 PM,C,16.24
04/08/14 09:00:01 PM,C,15.739
04/08/14 09:20:01 PM,C,15.739
04/08/14 09:40:01 PM,C,15.113
04/08/14 10:00:01 PM,C,14.987
04/08/14 10:20:01 PM,C,14.799
04/08/14 10:40:01 PM,C,14.987
04/08/14 11:00:01 PM,C,14.925
04/08/14 11:20:01 PM,C,14.612
04/08/14 11:40:01 PM,C,14.486
05/08/14 12:00:01 AM,C,14.173
05/08/14 12:20:01 AM,C,13.86
05/08/14 12:40:01 AM,C,14.173
05/08/14 01:00:01 AM,C,14.298
05/08/14 01:20:01 AM,C,14.862
05/08/14 01:40:01 AM,C,14.674
05/08/14 02:00:01 AM,C,14.925
05/08/14 02:20:01 AM,C,14.987
05/08/14 02:40:01 AM,C,14.799
05/08/14 03:00:01 AM,C,14.298
05/08/14 03:20:01 AM,C,14.862
05/08/14 03:40:01 AM,C,14.486
05/08/14 04:00:01 AM,C,14.361
05/08/14 04:20:01 AM,C,14.236
05/08/14 04:40:01 AM,C,14.486
05/08/14 05:00:01 AM,C,14.424
05/08/14 05:20:01 AM,C,14.173
05/08/14 05:40:01 AM,C,13.985
05/08/14 06:00:01 AM,C,14.298
05/08/14 06:20:01 AM,C,15.676
05/08/14 06:40:01 AM,C,17.304
05/08/14 07:00:01 AM,C,18.243
05/08/14 07:20:01 AM,C,18.806
05/08/14 07:40:01 AM,C,19.244
05/08/14 08:00:01 AM,C,19.933
05/08/14 08:20:01 AM,C,20.496
05/08/14 08:40:01 AM,C,21.497
05/08/14 09:00:01 AM,C,22.247
05/08/14 09:20:01 AM,C,21.809
05/08/14 09:40:01 AM,C,23.373
05/08/14 10:00:01 AM,C,26.186
05/08/14 10:20:01 AM,C,27.935
05/08/14 10:40:01 AM,C,27.81
05/08/14 11:00:01 AM,C,26.998
05/08/14 11:20:01 AM,C,26.685
05/08/14 11:40:01 AM,C,27.872
05/08/14 12:00:01 PM,C,29.746
05/08/14 12:20:01 PM,C,28.56
05/08/14 12:40:01 PM,C,28.56
05/08/14 01:00:01 PM,C,32.992
05/08/14 01:20:01 PM,C,33.179
05/08/14 01:40:01 PM,C,27.123
05/08/14 02:00:01 PM,C,28.185
05/08/14 02:20:01 PM,C,29.371
05/08/14 02:40:01 PM,C,31.057
05/08/14 03:00:01 PM,C,33.616
05/08/14 03:20:01 PM,C,31.744
05/08/14 03:40:01 PM,C,32.743
05/08/14 04:00:01 PM,C,25.873
05/08/14 04:20:01 PM,C,22.497
05/08/14 04:40:01 PM,C,21.434
05/08/14 05:00:01 PM,C,20.558
05/08/14 05:20:01 PM,C,19.682
05/08/14 05:40:01 PM,C,19.182
05/08/14 06:00:01 PM,C,18.619
05/08/14 06:20:01 PM,C,18.055
05/08/14 06:40:01 PM,C,17.742
05/08/14 07:00:01 PM,C,16.866
05/08/14 07:20:01 PM,C,16.052
05/08/14 07:40:01 PM,C,15.488
05/08/14 08:00:01 PM,C,15.426
05/08/14 08:20:01 PM,C,14.987
05/08/14 08:40:01 PM,C,14.862
05/08/14 09:00:01 PM,C,14.799
05/08/14 09:20:01 PM,C,14.925
05/08/14 09:40:01 PM,C,14.674
05/08/14 10:00:01 PM,C,13.86
05/08/14 10:20:01 PM,C,13.296
05/08/14 10:40:01 PM,C,12.858
05/08/14 11:00:01 PM,C,12.607
05/08/14 11:20:01 PM,C,12.607
05/08/14 11:40:01 PM,C,12.732
06/08/14 12:00:01 AM,C,12.858
06/08/14 12:20:01 AM,C,12.67
06/08/14 12:40:01 AM,C,12.482
06/08/14 01:00:01 AM,C,12.482
06/08/14 01:20:01 AM,C,12.67
06/08/14 01:40:01 AM,C,12.983
06/08/14 02:00:01 AM,C,13.233
06/08/14 02:20:01 AM,C,13.484
06/08/14 02:40:01 AM,C,13.735
06/08/14 03:00:01 AM,C,13.609
06/08/14 03:20:01 AM,C,13.672
06/08/14 03:40:01 AM,C,14.298
06/08/14 04:00:01 AM,C,14.799
06/08/14 04:20:01 AM,C,15.551
06/08/14 04:40:01 AM,C,15.927
06/08/14 05:00:01 AM,C,16.24
06/08/14 05:20:01 AM,C,16.49
06/08/14 05:40:01 AM,C,16.615
06/08/14 06:00:01 AM,C,16.803
06/08/14 06:20:01 AM,C,16.803
06/08/14 06:40:01 AM,C,17.054
06/08/14 07:00:01 AM,C,17.179
06/08/14 07:20:01 AM,C,17.242
06/08/14 07:40:01 AM,C,17.179
06/08/14 08:00:01 AM,C,17.492
06/08/14 08:20:01 AM,C,17.993
06/08/14 08:40:01 AM,C,18.368
06/08/14 09:00:01 AM,C,19.37
06/08/14 09:20:01 AM,C,21.059
06/08/14 09:40:01 AM,C,22.31
06/08/14 10:00:01 AM,C,23.685
06/08/14 10:20:01 AM,C,25.748
06/08/14 10:40:01 AM,C,27.435
06/08/14 11:00:01 AM,C,28.122
06/08/14 11:20:01 AM,C,28.31
06/08/14 11:40:01 AM,C,30.183
06/08/14 12:00:01 PM,C,26.685
06/08/14 12:20:01 PM,C,24.873
06/08/14 12:40:01 PM,C,24.435
06/08/14 01:00:01 PM,C,23.373
06/08/14 01:20:01 PM,C,23.31
06/08/14 01:40:01 PM,C,28.372
06/08/14 02:00:01 PM,C,28.185
06/08/14 02:20:01 PM,C,24.31
06/08/14 02:40:01 PM,C,26.56
06/08/14 03:00:01 PM,C,25.186
06/08/14 03:20:01 PM,C,24.31
06/08/14 03:40:01 PM,C,23.748
06/08/14 04:00:01 PM,C,23.06
06/08/14 04:20:01 PM,C,23.56
06/08/14 04:40:01 PM,C,22.122
06/08/14 05:00:01 PM,C,20.871
06/08/14 05:20:01 PM,C,20.245
06/08/14 05:40:01 PM,C,19.307
06/08/14 06:00:01 PM,C,18.118
06/08/14 06:20:01 PM,C,17.68
06/08/14 06:40:01 PM,C,18.431
06/08/14 07:00:01 PM,C,17.367
06/08/14 07:20:01 PM,C,17.054
06/08/14 07:40:01 PM,C,16.928
06/08/14 08:00:01 PM,C,16.365
06/08/14 08:20:01 PM,C,16.115
06/08/14 08:40:01 PM,C,15.864
06/08/14 09:00:01 PM,C,15.676
06/08/14 09:20:01 PM,C,15.238
06/08/14 09:40:01 PM,C,14.799
06/08/14 10:00:01 PM,C,14.674
06/08/14 10:20:01 PM,C,14.862
06/08/14 10:40:01 PM,C,14.737
06/08/14 11:00:01 PM,C,14.799
06/08/14 11:20:01 PM,C,14.361
06/08/14 11:40:01 PM,C,14.424
07/08/14 12:00:01 AM,C,15.238
07/08/14 12:20:01 AM,C,15.488
07/08/14 12:40:01 AM,C,15.05
07/08/14 01:00:01 AM,C,14.612
07/08/14 01:20:01 AM,C,14.173
07/08/14 01:40:01 AM,C,13.985
07/08/14 02:00:01 AM,C,13.672
07/08/14 02:20:01 AM,C,13.359
07/08/14 02:40:01 AM,C,13.672
07/08/14 03:00:01 AM,C,13.985
07/08/14 03:20:01 AM,C,14.173
07/08/14 03:40:01 AM,C,13.609
07/08/14 04:00:01 AM,C,13.171
07/08/14 04:20:01 AM,C,13.171
07/08/14 04:40:01 AM,C,13.296
07/08/14 05:00:01 AM,C,13.547
07/08/14 05:20:01 AM,C,13.359
07/08/14 05:40:01 AM,C,13.672
07/08/14 06:00:01 AM,C,14.862
07/08/14 06:20:01 AM,C,16.365
07/08/14 06:40:01 AM,C,17.242
07/08/14 07:00:01 AM,C,17.993
07/08/14 07:20:01 AM,C,19.182
07/08/14 07:40:01 AM,C,19.37
07/08/14 08:00:01 AM,C,19.808
07/08/14 08:20:01 AM,C,20.683
07/08/14 08:40:01 AM,C,21.809
07/08/14 09:00:01 AM,C,22.81
07/08/14 09:20:01 AM,C,22.622
07/08/14 09:40:01 AM,C,24.248
07/08/14 10:00:01 AM,C,25.686
07/08/14 10:20:01 AM,C,27.81
07/08/14 10:40:01 AM,C,28.809
07/08/14 11:00:01 AM,C,27.997
07/08/14 11:20:01 AM,C,27.185
07/08/14 11:40:01 AM,C,29.496
07/08/14 12:00:01 PM,C,30.308
07/08/14 12:20:01 PM,C,29.122
07/08/14 12:40:01 PM,C,29.621
07/08/14 01:00:01 PM,C,29.684
07/08/14 01:20:01 PM,C,33.117
07/08/14 01:40:01 PM,C,31.307
07/08/14 02:00:01 PM,C,29.059
07/08/14 02:20:01 PM,C,27.623
07/08/14 02:40:01 PM,C,29.371
07/08/14 03:00:01 PM,C,29.871
07/08/14 03:20:01 PM,C,31.432
07/08/14 03:40:01 PM,C,30.308
07/08/14 04:00:01 PM,C,30.932
07/08/14 04:20:01 PM,C,30.308
07/08/14 04:40:01 PM,C,24.373
07/08/14 05:00:01 PM,C,21.434
07/08/14 05:20:01 PM,C,21.121
07/08/14 05:40:01 PM,C,19.87
07/08/14 06:00:01 PM,C,18.306
07/08/14 06:20:01 PM,C,17.742
07/08/14 06:40:01 PM,C,18.681
07/08/14 07:00:01 PM,C,19.057
07/08/14 07:20:01 PM,C,18.306
07/08/14 07:40:01 PM,C,17.179
07/08/14 08:00:01 PM,C,17.805
07/08/14 08:20:01 PM,C,17.617
07/08/14 08:40:01 PM,C,17.242
07/08/14 09:00:01 PM,C,17.054
07/08/14 09:20:01 PM,C,16.553
07/08/14 09:40:01 PM,C,16.052
07/08/14 10:00:01 PM,C,16.553
07/08/14 10:20:01 PM,C,16.866
07/08/14 10:40:01 PM,C,16.928
07/08/14 11:00:01 PM,C,16.741
07/08/14 11:20:01 PM,C,16.302
07/08/14 11:40:01 PM,C,16.177
08/08/14 12:00:01 AM,C,15.676
08/08/14 12:20:01 AM,C,15.175
08/08/14 12:40:01 AM,C,15.113
08/08/14 01:00:01 AM,C,14.674
08/08/14 01:20:01 AM,C,14.424
08/08/14 01:40:01 AM,C,14.486
08/08/14 02:00:01 AM,C,14.486
08/08/14 02:20:01 AM,C,14.674
08/08/14 02:40:01 AM,C,14.361
08/08/14 03:00:01 AM,C,14.236
08/08/14 03:20:01 AM,C,14.862
08/08/14 03:40:01 AM,C,14.925
08/08/14 04:00:01 AM,C,15.238
08/08/14 04:20:01 AM,C,15.927
08/08/14 04:40:01 AM,C,15.927
08/08/14 05:00:01 AM,C,16.302
08/08/14 05:20:01 AM,C,16.365
08/08/14 05:40:01 AM,C,16.678
08/08/14 06:00:01 AM,C,16.615
08/08/14 06:20:01 AM,C,16.741
08/08/14 06:40:01 AM,C,16.928
08/08/14 07:00:01 AM,C,16.928
08/08/14 07:20:01 AM,C,16.928
08/08/14 07:40:01 AM,C,17.054
08/08/14 08:00:01 AM,C,17.367
08/08/14 08:20:01 AM,C,17.617
08/08/14 08:40:01 AM,C,18.243
08/08/14 09:00:01 AM,C,18.681
08/08/14 09:20:01 AM,C,18.744
08/08/14 09:40:01 AM,C,19.119
08/08/14 10:00:01 AM,C,19.62
08/08/14 10:20:01 AM,C,19.432
08/08/14 10:40:01 AM,C,19.119
08/08/14 11:00:01 AM,C,19.933
08/08/14 11:20:01 AM,C,20.371
08/08/14 11:40:01 AM,C,20.934
08/08/14 12:00:01 PM,C,19.682
08/08/14 12:20:01 PM,C,19.244
08/08/14 12:40:01 PM,C,19.62
08/08/14 01:00:01 PM,C,21.497
08/08/14 01:20:01 PM,C,23.06
08/08/14 01:40:01 PM,C,22.685
08/08/14 02:00:01 PM,C,20.996
08/08/14 02:20:01 PM,C,20.558
08/08/14 02:40:01 PM,C,20.683
08/08/14 03:00:01 PM,C,20.245
08/08/14 03:20:01 PM,C,19.995
08/08/14 03:40:01 PM,C,19.182
08/08/14 04:00:01 PM,C,18.869
08/08/14 04:20:01 PM,C,18.681
08/08/14 04:40:01 PM,C,18.493
08/08/14 05:00:01 PM,C,18.368
08/08/14 05:20:01 PM,C,18.431
08/08/14 05:40:01 PM,C,18.243
08/08/14 06:00:01 PM,C,17.805
08/08/14 06:20:01 PM,C,17.993
08/08/14 06:40:01 PM,C,17.555
08/08/14 07:00:01 PM,C,17.304
08/08/14 07:20:01 PM,C,16.866
08/08/14 07:40:01 PM,C,16.615
