1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C400000033833941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:33:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10825
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:33:01 PM,C,18.041
04/08/14 08:53:01 PM,C,17.603
04/08/14 09:13:01 PM,C,17.228
04/08/14 09:33:01 PM,C,16.915
04/08/14 09:53:01 PM,C,16.789
04/08/14 10:13:01 PM,C,16.852
04/08/14 10:33:01 PM,C,16.727
04/08/14 10:53:01 PM,C,16.664
04/08/14 11:13:01 PM,C,16.414
04/08/14 11:33:01 PM,C,16.351
04/08/14 11:53:01 PM,C,16.226
05/08/14 12:13:01 AM,C,16.163
05/08/14 12:33:01 AM,C,16.163
05/08/14 12:53:01 AM,C,16.351
05/08/14 01:13:01 AM,C,16.414
05/08/14 01:33:01 AM,C,16.351
05/08/14 01:53:01 AM,C,16.351
05/08/14 02:13:01 AM,C,16.414
05/08/14 02:33:01 AM,C,16.226
05/08/14 02:53:01 AM,C,16.288
05/08/14 03:13:01 AM,C,16.288
05/08/14 03:33:01 AM,C,16.163
05/08/14 03:53:01 AM,C,16.1
05/08/14 04:13:01 AM,C,16.163
05/08/14 04:33:01 AM,C,16.226
05/08/14 04:53:01 AM,C,16.038
05/08/14 05:13:01 AM,C,16.038
05/08/14 05:33:01 AM,C,16.038
05/08/14 05:53:01 AM,C,16.1
05/08/14 06:13:01 AM,C,16.601
05/08/14 06:33:01 AM,C,17.603
05/08/14 06:53:01 AM,C,18.605
05/08/14 07:13:01 AM,C,19.043
05/08/14 07:33:01 AM,C,19.794
05/08/14 07:53:01 AM,C,20.607
05/08/14 08:13:01 AM,C,25.172
05/08/14 08:33:01 AM,C,26.921
05/08/14 08:53:01 AM,C,27.608
05/08/14 09:13:01 AM,C,26.921
05/08/14 09:33:01 AM,C,24.797
05/08/14 09:53:01 AM,C,25.172
05/08/14 10:13:01 AM,C,25.047
05/08/14 10:33:01 AM,C,25.234
05/08/14 10:53:01 AM,C,25.172
05/08/14 11:13:01 AM,C,25.047
05/08/14 11:33:01 AM,C,25.047
05/08/14 11:53:01 AM,C,25.297
05/08/14 12:13:01 PM,C,25.484
05/08/14 12:33:01 PM,C,25.547
05/08/14 12:53:01 PM,C,26.609
05/08/14 01:13:01 PM,C,27.296
05/08/14 01:33:01 PM,C,25.297
05/08/14 01:53:01 PM,C,25.047
05/08/14 02:13:01 PM,C,25.422
05/08/14 02:33:01 PM,C,25.672
05/08/14 02:53:01 PM,C,27.421
05/08/14 03:13:01 PM,C,25.922
05/08/14 03:33:01 PM,C,25.047
05/08/14 03:53:01 PM,C,24.172
05/08/14 04:13:01 PM,C,23.172
05/08/14 04:33:01 PM,C,22.546
05/08/14 04:53:01 PM,C,22.171
05/08/14 05:13:01 PM,C,21.546
05/08/14 05:33:01 PM,C,20.983
05/08/14 05:53:01 PM,C,20.357
05/08/14 06:13:01 PM,C,19.606
05/08/14 06:33:01 PM,C,19.106
05/08/14 06:53:01 PM,C,18.73
05/08/14 07:13:01 PM,C,18.354
05/08/14 07:33:01 PM,C,18.041
05/08/14 07:53:01 PM,C,17.541
05/08/14 08:13:01 PM,C,17.102
05/08/14 08:33:01 PM,C,16.977
05/08/14 08:53:01 PM,C,16.852
05/08/14 09:13:01 PM,C,16.789
05/08/14 09:33:01 PM,C,16.727
05/08/14 09:53:01 PM,C,16.476
05/08/14 10:13:01 PM,C,16.1
05/08/14 10:33:01 PM,C,15.662
05/08/14 10:53:01 PM,C,15.349
05/08/14 11:13:01 PM,C,15.098
05/08/14 11:33:01 PM,C,15.098
05/08/14 11:53:01 PM,C,15.098
06/08/14 12:13:01 AM,C,15.098
06/08/14 12:33:01 AM,C,14.973
06/08/14 12:53:01 AM,C,15.036
06/08/14 01:13:01 AM,C,15.036
06/08/14 01:33:01 AM,C,15.349
06/08/14 01:53:01 AM,C,15.474
06/08/14 02:13:01 AM,C,15.474
06/08/14 02:33:01 AM,C,15.599
06/08/14 02:53:01 AM,C,15.599
06/08/14 03:13:01 AM,C,15.599
06/08/14 03:33:01 AM,C,15.662
06/08/14 03:53:01 AM,C,15.912
06/08/14 04:13:01 AM,C,16.351
06/08/14 04:33:01 AM,C,16.727
06/08/14 04:53:01 AM,C,16.977
06/08/14 05:13:01 AM,C,17.228
06/08/14 05:33:01 AM,C,17.353
06/08/14 05:53:01 AM,C,17.478
06/08/14 06:13:01 AM,C,17.728
06/08/14 06:33:01 AM,C,18.104
06/08/14 06:53:01 AM,C,18.229
06/08/14 07:13:01 AM,C,17.854
06/08/14 07:33:01 AM,C,18.041
06/08/14 07:53:01 AM,C,18.167
06/08/14 08:13:01 AM,C,18.104
06/08/14 08:33:01 AM,C,18.354
06/08/14 08:53:01 AM,C,19.168
06/08/14 09:13:01 AM,C,20.295
06/08/14 09:33:01 AM,C,21.733
06/08/14 09:53:01 AM,C,22.484
06/08/14 10:13:01 AM,C,23.422
06/08/14 10:33:01 AM,C,23.484
06/08/14 10:53:01 AM,C,24.109
06/08/14 11:13:01 AM,C,24.172
06/08/14 11:33:01 AM,C,25.297
06/08/14 11:53:01 AM,C,24.047
06/08/14 12:13:01 PM,C,23.797
06/08/14 12:33:01 PM,C,23.484
06/08/14 12:53:01 PM,C,22.859
