1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 45000000337F0C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:06:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:46:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10656
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:46:01 AM,%RH,103.01
04/08/14 05:06:01 AM,%RH,102.55
04/08/14 05:26:01 AM,%RH,103.01
04/08/14 05:46:01 AM,%RH,102.55
04/08/14 06:06:01 AM,%RH,102.089
04/08/14 06:26:01 AM,%RH,102.089
04/08/14 06:46:01 AM,%RH,102.089
04/08/14 07:06:01 AM,%RH,101.626
04/08/14 07:26:01 AM,%RH,98.34
04/08/14 07:46:01 AM,%RH,97.864
04/08/14 08:06:01 AM,%RH,94.483
04/08/14 08:26:01 AM,%RH,90.519
04/08/14 08:46:01 AM,%RH,81.208
04/08/14 09:06:01 AM,%RH,75.801
04/08/14 09:26:01 AM,%RH,73.035
04/08/14 09:46:01 AM,%RH,74.7
04/08/14 10:06:01 AM,%RH,58.574
04/08/14 10:26:01 AM,%RH,57.372
04/08/14 10:46:01 AM,%RH,60.958
04/08/14 11:06:01 AM,%RH,56.768
04/08/14 11:26:01 AM,%RH,60.958
04/08/14 11:46:01 AM,%RH,61.55
04/08/14 12:06:01 PM,%RH,58.574
04/08/14 12:26:01 PM,%RH,60.958
04/08/14 12:46:01 PM,%RH,55.556
04/08/14 01:06:01 PM,%RH,49.395
04/08/14 01:26:01 PM,%RH,49.395
04/08/14 01:46:01 PM,%RH,48.77
04/08/14 02:06:01 PM,%RH,47.514
04/08/14 02:26:01 PM,%RH,48.77
04/08/14 02:46:01 PM,%RH,49.395
04/08/14 03:06:01 PM,%RH,62.729
04/08/14 03:26:01 PM,%RH,79.604
04/08/14 03:46:01 PM,%RH,93.993
04/08/14 04:06:01 PM,%RH,97.864
04/08/14 04:26:01 PM,%RH,100.696
04/08/14 04:46:01 PM,%RH,98.814
04/08/14 05:06:01 PM,%RH,100.228
04/08/14 05:26:01 PM,%RH,100.696
04/08/14 05:46:01 PM,%RH,100.228
04/08/14 06:06:01 PM,%RH,98.814
04/08/14 06:26:01 PM,%RH,102.55
04/08/14 06:46:01 PM,%RH,100.228
04/08/14 07:06:01 PM,%RH,100.696
04/08/14 07:26:01 PM,%RH,101.162
04/08/14 07:46:01 PM,%RH,101.626
04/08/14 08:06:01 PM,%RH,101.162
04/08/14 08:26:01 PM,%RH,101.162
04/08/14 08:46:01 PM,%RH,101.626
04/08/14 09:06:01 PM,%RH,102.089
04/08/14 09:26:01 PM,%RH,102.089
04/08/14 09:46:01 PM,%RH,102.089
04/08/14 10:06:01 PM,%RH,102.55
04/08/14 10:26:01 PM,%RH,102.55
04/08/14 10:46:01 PM,%RH,101.626
04/08/14 11:06:01 PM,%RH,102.55
04/08/14 11:26:01 PM,%RH,102.55
04/08/14 11:46:01 PM,%RH,102.55
05/08/14 12:06:01 AM,%RH,102.55
05/08/14 12:26:01 AM,%RH,102.55
05/08/14 12:46:01 AM,%RH,103.01
05/08/14 01:06:01 AM,%RH,103.01
05/08/14 01:26:01 AM,%RH,102.089
05/08/14 01:46:01 AM,%RH,102.55
05/08/14 02:06:01 AM,%RH,102.55
05/08/14 02:26:01 AM,%RH,102.089
05/08/14 02:46:01 AM,%RH,101.626
05/08/14 03:06:01 AM,%RH,103.01
05/08/14 03:26:01 AM,%RH,102.55
05/08/14 03:46:01 AM,%RH,103.468
05/08/14 04:06:01 AM,%RH,102.55
05/08/14 04:26:01 AM,%RH,102.55
05/08/14 04:46:01 AM,%RH,103.01
05/08/14 05:06:01 AM,%RH,103.01
05/08/14 05:26:01 AM,%RH,103.468
05/08/14 05:46:01 AM,%RH,102.55
05/08/14 06:06:01 AM,%RH,102.55
05/08/14 06:26:01 AM,%RH,102.089
05/08/14 06:46:01 AM,%RH,101.626
05/08/14 07:06:01 AM,%RH,100.696
05/08/14 07:26:01 AM,%RH,99.287
05/08/14 07:46:01 AM,%RH,98.34
05/08/14 08:06:01 AM,%RH,94.971
05/08/14 08:26:01 AM,%RH,89.005
05/08/14 08:46:01 AM,%RH,83.849
05/08/14 09:06:01 AM,%RH,76.896
05/08/14 09:26:01 AM,%RH,75.801
05/08/14 09:46:01 AM,%RH,70.791
05/08/14 10:06:01 AM,%RH,60.958
05/08/14 10:26:01 AM,%RH,67.95
05/08/14 10:46:01 AM,%RH,66.224
05/08/14 11:06:01 AM,%RH,68.521
05/08/14 11:26:01 AM,%RH,70.226
05/08/14 11:46:01 AM,%RH,66.224
05/08/14 12:06:01 PM,%RH,67.95
05/08/14 12:26:01 PM,%RH,74.146
05/08/14 12:46:01 PM,%RH,58.574
05/08/14 01:06:01 PM,%RH,54.948
05/08/14 01:26:01 PM,%RH,65.646
05/08/14 01:46:01 PM,%RH,74.7
05/08/14 02:06:01 PM,%RH,71.355
05/08/14 02:26:01 PM,%RH,66.224
05/08/14 02:46:01 PM,%RH,53.726
05/08/14 03:06:01 PM,%RH,53.726
05/08/14 03:26:01 PM,%RH,53.726
05/08/14 03:46:01 PM,%RH,60.958
05/08/14 04:06:01 PM,%RH,72.476
05/08/14 04:26:01 PM,%RH,79.066
05/08/14 04:46:01 PM,%RH,83.849
05/08/14 05:06:01 PM,%RH,86.963
05/08/14 05:26:01 PM,%RH,91.021
05/08/14 05:46:01 PM,%RH,93.993
05/08/14 06:06:01 PM,%RH,95.457
05/08/14 06:26:01 PM,%RH,97.386
05/08/14 06:46:01 PM,%RH,98.814
05/08/14 07:06:01 PM,%RH,98.814
05/08/14 07:26:01 PM,%RH,97.864
05/08/14 07:46:01 PM,%RH,98.34
05/08/14 08:06:01 PM,%RH,98.34
05/08/14 08:26:01 PM,%RH,98.34
05/08/14 08:46:01 PM,%RH,99.287
05/08/14 09:06:01 PM,%RH,99.758
05/08/14 09:26:01 PM,%RH,98.34
05/08/14 09:46:01 PM,%RH,99.287
05/08/14 10:06:01 PM,%RH,98.34
05/08/14 10:26:01 PM,%RH,97.386
05/08/14 10:46:01 PM,%RH,98.34
05/08/14 11:06:01 PM,%RH,95.942
05/08/14 11:26:01 PM,%RH,96.425
05/08/14 11:46:01 PM,%RH,99.287
06/08/14 12:06:01 AM,%RH,98.814
06/08/14 12:26:01 AM,%RH,98.34
06/08/14 12:46:01 AM,%RH,97.864
06/08/14 01:06:01 AM,%RH,99.287
06/08/14 01:26:01 AM,%RH,99.287
06/08/14 01:46:01 AM,%RH,99.758
06/08/14 02:06:01 AM,%RH,99.758
06/08/14 02:26:01 AM,%RH,99.758
06/08/14 02:46:01 AM,%RH,100.696
06/08/14 03:06:01 AM,%RH,100.696
06/08/14 03:26:01 AM,%RH,100.228
06/08/14 03:46:01 AM,%RH,101.162
06/08/14 04:06:01 AM,%RH,101.162
06/08/14 04:26:01 AM,%RH,101.162
06/08/14 04:46:01 AM,%RH,102.55
06/08/14 05:06:01 AM,%RH,102.089
06/08/14 05:26:01 AM,%RH,101.626
06/08/14 05:46:01 AM,%RH,101.162
06/08/14 06:06:01 AM,%RH,100.696
06/08/14 06:26:01 AM,%RH,100.228
06/08/14 06:46:01 AM,%RH,100.228
06/08/14 07:06:01 AM,%RH,100.228
06/08/14 07:26:01 AM,%RH,101.162
06/08/14 07:46:01 AM,%RH,100.696
06/08/14 08:06:01 AM,%RH,100.696
06/08/14 08:26:01 AM,%RH,100.696
06/08/14 08:46:01 AM,%RH,100.228
06/08/14 09:06:01 AM,%RH,100.228
06/08/14 09:26:01 AM,%RH,99.758
06/08/14 09:46:01 AM,%RH,100.228
06/08/14 10:06:01 AM,%RH,99.758
06/08/14 10:26:01 AM,%RH,93.009
06/08/14 10:46:01 AM,%RH,87.987
06/08/14 11:06:01 AM,%RH,80.675
06/08/14 11:26:01 AM,%RH,70.791
06/08/14 11:46:01 AM,%RH,67.376
06/08/14 12:06:01 PM,%RH,76.896
06/08/14 12:26:01 PM,%RH,79.604
06/08/14 12:46:01 PM,%RH,85.414
06/08/14 01:06:01 PM,%RH,87.987
06/08/14 01:26:01 PM,%RH,84.372
06/08/14 01:46:01 PM,%RH,71.916
06/08/14 02:06:01 PM,%RH,80.14
06/08/14 02:26:01 PM,%RH,81.74
06/08/14 02:46:01 PM,%RH,71.916
06/08/14 03:06:01 PM,%RH,72.476
06/08/14 03:26:01 PM,%RH,73.591
06/08/14 03:46:01 PM,%RH,73.035
06/08/14 04:06:01 PM,%RH,81.74
06/08/14 04:26:01 PM,%RH,84.372
06/08/14 04:46:01 PM,%RH,88.497
06/08/14 05:06:01 PM,%RH,91.52
06/08/14 05:26:01 PM,%RH,93.993
06/08/14 05:46:01 PM,%RH,95.457
06/08/14 06:06:01 PM,%RH,96.906
06/08/14 06:26:01 PM,%RH,99.758
06/08/14 06:46:01 PM,%RH,99.287
06/08/14 07:06:01 PM,%RH,98.34
06/08/14 07:26:01 PM,%RH,99.758
06/08/14 07:46:01 PM,%RH,100.228
06/08/14 08:06:01 PM,%RH,99.287
06/08/14 08:26:01 PM,%RH,100.228
06/08/14 08:46:01 PM,%RH,99.758
06/08/14 09:06:01 PM,%RH,98.34
06/08/14 09:26:01 PM,%RH,99.758
06/08/14 09:46:01 PM,%RH,99.758
