1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2900000033821041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 14:55:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:35:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10773
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:35:01 AM,%RH,101.854
04/08/14 04:55:01 AM,%RH,102.814
04/08/14 05:15:01 AM,%RH,102.814
04/08/14 05:35:01 AM,%RH,102.335
04/08/14 05:55:01 AM,%RH,101.854
04/08/14 06:15:01 AM,%RH,102.335
04/08/14 06:35:01 AM,%RH,101.372
04/08/14 06:55:01 AM,%RH,97.957
04/08/14 07:15:01 AM,%RH,98.94
04/08/14 07:35:01 AM,%RH,100.404
04/08/14 07:55:01 AM,%RH,92.955
04/08/14 08:15:01 AM,%RH,85.178
04/08/14 08:35:01 AM,%RH,78.173
04/08/14 08:55:01 AM,%RH,74.857
04/08/14 09:15:01 AM,%RH,62.837
04/08/14 09:35:01 AM,%RH,58.687
04/08/14 09:55:01 AM,%RH,61.067
04/08/14 10:15:01 AM,%RH,61.658
04/08/14 10:35:01 AM,%RH,58.687
04/08/14 10:55:01 AM,%RH,54.466
04/08/14 11:15:01 AM,%RH,61.658
04/08/14 11:35:01 AM,%RH,61.658
04/08/14 11:55:01 AM,%RH,64.593
04/08/14 12:15:01 PM,%RH,58.089
04/08/14 12:35:01 PM,%RH,62.837
04/08/14 12:55:01 PM,%RH,58.687
04/08/14 01:15:01 PM,%RH,56.284
04/08/14 01:35:01 PM,%RH,53.857
04/08/14 01:55:01 PM,%RH,55.679
04/08/14 02:15:01 PM,%RH,55.679
04/08/14 02:35:01 PM,%RH,66.915
04/08/14 02:55:01 PM,%RH,70.922
04/08/14 03:15:01 PM,%RH,78.721
04/08/14 03:35:01 PM,%RH,86.234
04/08/14 03:55:01 PM,%RH,94.471
04/08/14 04:15:01 PM,%RH,98.94
04/08/14 04:35:01 PM,%RH,98.94
04/08/14 04:55:01 PM,%RH,98.94
04/08/14 05:15:01 PM,%RH,99.917
04/08/14 05:35:01 PM,%RH,100.404
04/08/14 05:55:01 PM,%RH,100.404
04/08/14 06:15:01 PM,%RH,99.917
04/08/14 06:35:01 PM,%RH,100.404
04/08/14 06:55:01 PM,%RH,100.889
04/08/14 07:15:01 PM,%RH,100.404
04/08/14 07:35:01 PM,%RH,101.372
04/08/14 07:55:01 PM,%RH,100.889
04/08/14 08:15:01 PM,%RH,100.404
04/08/14 08:35:01 PM,%RH,100.404
04/08/14 08:55:01 PM,%RH,100.889
04/08/14 09:15:01 PM,%RH,100.404
04/08/14 09:35:01 PM,%RH,101.372
04/08/14 09:55:01 PM,%RH,100.889
04/08/14 10:15:01 PM,%RH,101.372
04/08/14 10:35:01 PM,%RH,101.372
04/08/14 10:55:01 PM,%RH,100.404
04/08/14 11:15:01 PM,%RH,100.889
04/08/14 11:35:01 PM,%RH,101.854
04/08/14 11:55:01 PM,%RH,101.372
05/08/14 12:15:01 AM,%RH,101.854
05/08/14 12:35:01 AM,%RH,101.372
05/08/14 12:55:01 AM,%RH,102.335
05/08/14 01:15:01 AM,%RH,101.854
05/08/14 01:35:01 AM,%RH,101.854
