1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000003381A741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:00:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:40:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10689
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:40:01 AM,C,15.76
04/08/14 05:00:01 AM,C,15.948
04/08/14 05:20:01 AM,C,16.136
04/08/14 05:40:01 AM,C,16.011
04/08/14 06:00:01 AM,C,16.449
04/08/14 06:20:01 AM,C,17.889
04/08/14 06:40:01 AM,C,19.453
04/08/14 07:00:01 AM,C,20.392
04/08/14 07:20:01 AM,C,21.018
04/08/14 07:40:01 AM,C,21.33
04/08/14 08:00:01 AM,C,22.206
04/08/14 08:20:01 AM,C,22.769
04/08/14 08:40:01 AM,C,22.706
04/08/14 09:00:01 AM,C,23.144
04/08/14 09:20:01 AM,C,24.957
04/08/14 09:40:01 AM,C,25.645
04/08/14 10:00:01 AM,C,25.52
04/08/14 10:20:01 AM,C,25.207
04/08/14 10:40:01 AM,C,25.645
04/08/14 11:00:01 AM,C,25.145
04/08/14 11:20:01 AM,C,25.27
04/08/14 11:40:01 AM,C,25.52
04/08/14 12:00:01 PM,C,25.27
04/08/14 12:20:01 PM,C,25.207
04/08/14 12:40:01 PM,C,25.019
04/08/14 01:00:01 PM,C,25.27
04/08/14 01:20:01 PM,C,26.145
04/08/14 01:40:01 PM,C,27.082
04/08/14 02:00:01 PM,C,25.707
04/08/14 02:20:01 PM,C,25.77
04/08/14 02:40:01 PM,C,27.894
04/08/14 03:00:01 PM,C,26.457
04/08/14 03:20:01 PM,C,24.269
04/08/14 03:40:01 PM,C,22.581
04/08/14 04:00:01 PM,C,20.892
04/08/14 04:20:01 PM,C,20.392
04/08/14 04:40:01 PM,C,20.204
04/08/14 05:00:01 PM,C,19.829
04/08/14 05:20:01 PM,C,19.641
04/08/14 05:40:01 PM,C,19.516
04/08/14 06:00:01 PM,C,19.266
04/08/14 06:20:01 PM,C,19.203
04/08/14 06:40:01 PM,C,19.141
04/08/14 07:00:01 PM,C,19.078
04/08/14 07:20:01 PM,C,18.953
04/08/14 07:40:01 PM,C,18.953
04/08/14 08:00:01 PM,C,18.765
04/08/14 08:20:01 PM,C,18.39
04/08/14 08:40:01 PM,C,18.014
04/08/14 09:00:01 PM,C,17.638
04/08/14 09:20:01 PM,C,17.325
04/08/14 09:40:01 PM,C,17.075
04/08/14 10:00:01 PM,C,16.95
04/08/14 10:20:01 PM,C,16.825
04/08/14 10:40:01 PM,C,16.699
04/08/14 11:00:01 PM,C,16.637
04/08/14 11:20:01 PM,C,16.637
04/08/14 11:40:01 PM,C,16.637
05/08/14 12:00:01 AM,C,16.386
