"TOA5","CR1000_thermoradiometer","CR1000","23189","CR800.Std.24","CPU:ProgIR120_2.CR8","31908","IR120Data_semih"
"TIMESTAMP","RECORD","Batt_Volt","PTemp_C","AVG_IRSensorCan_Temp_S1","AVG_Surface_Temperature_C_S1","AVG_IRSensorCan_Temp_S2","AVG_Surface_Temperature_C_S2","AVG_IRSensorCan_Temp_S3","AVG_Surface_Temperature_C_S3"
"TS","RN","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-11-15 13:30:00",0,0,0,30.43,25.42,29.63,23.36,"NAN","NAN"
"2013-11-15 14:00:00",1,0,0,28.61,25.02,28.05,23.43,27.94,23.3
"2013-11-15 14:30:00",2,0,0,27.33,24.09,26.79,24.15,26.67,24.08
"2013-11-15 15:00:00",3,0,0,26.81,24.07,26.28,24.11,26.16,24.13
"2013-11-15 15:30:00",4,0,0,25.71,22.03,25.27,22.2,25.17,22.23
"2013-11-15 16:00:00",5,0,0,24.03,21.3,23.83,21.46,23.68,21.49
"2013-11-15 16:30:00",6,0,0,23.03,20.93,22.97,21.06,22.78,21.08
"2013-11-15 17:00:00",7,0,0,22.06,20.01,22.07,20.08,21.94,20.08
"2013-11-15 17:30:00",8,0,0,20.7,19.42,20.69,19.43,20.64,19.37
"2013-11-15 18:00:00",9,0,0,20.09,19.23,20.08,19.27,19.99,19.22
"2013-11-15 18:30:00",10,0,0,19.66,18.79,19.68,18.87,19.58,18.82
"2013-11-15 19:00:00",11,0,0,19.18,18.06,19.2,18.22,19.1,18.17
"2013-11-15 19:30:00",12,0,0,18.71,17.96,18.73,18.04,18.63,17.98
"2013-11-15 20:00:00",13,0,0,18.44,17.63,18.45,17.75,18.37,17.68
"2013-11-15 20:30:00",14,0,0,18.12,17.35,18.14,17.51,18.04,17.43
"2013-11-15 21:00:00",15,0,0,17.9,17.28,17.92,17.43,17.82,17.36
"2013-11-15 21:30:00",16,0,0,17.78,17.17,17.79,17.39,17.71,17.31
"2013-11-15 22:00:00",17,0,0,17.69,17.06,17.7,17.28,17.62,17.19
"2013-11-15 22:30:00",18,0,0,17.69,17.28,17.68,17.5,17.61,17.4
"2013-11-15 23:00:00",19,0,0,17.71,17.17,17.69,17.43,17.62,17.34
"2013-11-15 23:30:00",20,0,0,17.72,17.12,17.7,17.38,17.63,17.28
"2013-11-16 00:00:00",21,0,0,17.68,17.16,17.66,17.32,17.59,17.23
"2013-11-16 00:30:00",22,0,0,17.63,16.86,17.62,17.14,17.55,17.04
"2013-11-16 01:00:00",23,0,0,17.49,16.98,17.49,17.14,17.41,17.05
"2013-11-16 01:30:00",24,0,0,17.45,17.34,17.43,17.38,17.36,17.28
"2013-11-16 02:00:00",25,0,0,17.57,17.63,17.52,17.69,17.44,17.6
"2013-11-16 02:30:00",26,0,0,17.65,17.09,17.6,17.28,17.52,17.18
"2013-11-16 03:00:00",27,0,0,17.53,17.15,17.49,17.21,17.41,17.12
"2013-11-16 03:30:00",28,0,0,17.36,16.36,17.33,16.55,17.24,16.45
"2013-11-16 04:00:00",29,0,0,17.03,15.88,17.03,16.13,16.92,16.03
"2013-11-16 04:30:00",30,0,0,16.83,15.84,16.83,16.18,16.73,16.08
"2013-11-16 05:00:00",31,0,0,16.82,16.34,16.79,16.54,16.71,16.43
"2013-11-16 05:30:00",32,0,0,16.94,16.27,16.9,16.53,16.83,16.42
"2013-11-16 06:00:00",33,0,0,17.02,16.66,16.99,16.91,16.89,16.79
"2013-11-16 06:30:00",34,0,0,17.49,17.87,17.4,17.91,17.32,17.81
"2013-11-16 07:00:00",35,0,0,18.31,18.65,18.12,18.79,18.07,18.71
"2013-11-16 07:30:00",36,0,0,19.5,19.73,19.17,19.86,19.16,19.79
"2013-11-16 08:00:00",37,0,0,20.42,19.48,20.09,19.37,19.99,19.32
"2013-11-16 08:30:00",38,0,0,20.38,19.65,20.13,19.52,19.9,19.52
"2013-11-16 09:00:00",39,0,0,21.62,20.15,21.21,20.17,20.85,20.23
"2013-11-16 09:30:00",40,0,0,22.72,20.48,22.12,20.26,21.88,20.29
"2013-11-16 10:00:00",41,0,0,22.86,21,22.16,20.9,22.15,20.94
"2013-11-16 10:30:00",42,0,0,24.21,22.31,23.13,21.86,22.9,21.93
"2013-11-16 11:00:00",43,0,0,25.87,22.13,24.59,21.85,24.04,22.02
"2013-11-16 11:30:00",44,0,0,25.91,22.49,24.8,22.13,24.32,22.3
"2013-11-16 12:00:00",45,0,0,26.41,22.21,25.42,21.76,25.2,21.93
