1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1B00000033766E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:38:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:18:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  11988
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:18:01,%RH,86.742
23/06/14 10:23:01,%RH,86.477
23/06/14 10:28:01,%RH,86.212
23/06/14 10:33:01,%RH,85.813
23/06/14 10:38:01,%RH,84.613
23/06/14 10:43:01,%RH,83.942
23/06/14 10:48:01,%RH,83.001
23/06/14 10:53:01,%RH,81.104
23/06/14 10:58:01,%RH,80.968
23/06/14 11:03:01,%RH,79.053
23/06/14 11:08:01,%RH,76.288
23/06/14 11:13:01,%RH,74.753
23/06/14 11:18:01,%RH,74.753
23/06/14 11:23:01,%RH,75.592
23/06/14 11:28:01,%RH,76.427
23/06/14 11:33:01,%RH,77.675
23/06/14 11:38:01,%RH,77.813
23/06/14 11:43:01,%RH,78.365
23/06/14 11:48:01,%RH,79.053
23/06/14 11:53:01,%RH,79.053
23/06/14 11:58:01,%RH,78.641
23/06/14 12:03:01,%RH,78.09
23/06/14 12:08:01,%RH,78.365
23/06/14 12:13:01,%RH,77.675
23/06/14 12:18:01,%RH,79.876
23/06/14 12:23:01,%RH,81.24
23/06/14 12:28:01,%RH,82.055
23/06/14 12:33:01,%RH,85.014
23/06/14 12:38:01,%RH,84.479
23/06/14 12:43:01,%RH,83.674
23/06/14 12:48:01,%RH,84.88
23/06/14 12:53:01,%RH,84.88
23/06/14 12:58:01,%RH,85.014
23/06/14 13:03:01,%RH,84.345
23/06/14 13:08:01,%RH,85.946
23/06/14 13:13:01,%RH,85.946
23/06/14 13:18:01,%RH,86.61
23/06/14 13:23:01,%RH,86.079
23/06/14 13:28:01,%RH,86.875
23/06/14 13:33:01,%RH,86.477
23/06/14 13:38:01,%RH,86.477
23/06/14 13:43:01,%RH,85.946
23/06/14 13:48:01,%RH,85.813
23/06/14 13:53:01,%RH,85.946
23/06/14 13:58:01,%RH,85.813
23/06/14 14:03:01,%RH,85.147
23/06/14 14:08:01,%RH,85.414
23/06/14 14:13:01,%RH,85.281
23/06/14 14:18:01,%RH,85.813
23/06/14 14:23:01,%RH,85.547
23/06/14 14:28:01,%RH,85.281
23/06/14 14:33:01,%RH,85.68
23/06/14 14:38:01,%RH,84.613
23/06/14 14:43:01,%RH,85.014
23/06/14 14:48:01,%RH,84.211
23/06/14 14:53:01,%RH,85.014
23/06/14 14:58:01,%RH,85.281
23/06/14 15:03:01,%RH,85.414
23/06/14 15:08:01,%RH,86.079
23/06/14 15:13:01,%RH,85.68
23/06/14 15:18:01,%RH,88.062
23/06/14 15:23:01,%RH,87.007
23/06/14 15:28:01,%RH,85.813
23/06/14 15:33:01,%RH,87.93
23/06/14 15:38:01,%RH,86.875
23/06/14 15:43:01,%RH,86.61
23/06/14 15:48:01,%RH,86.212
23/06/14 15:53:01,%RH,87.535
23/06/14 15:58:01,%RH,87.403
23/06/14 16:03:01,%RH,85.813
23/06/14 16:08:01,%RH,86.477
23/06/14 16:13:01,%RH,88.456
23/06/14 16:18:01,%RH,89.111
23/06/14 16:23:01,%RH,88.981
23/06/14 16:28:01,%RH,90.025
23/06/14 16:33:01,%RH,88.85
23/06/14 16:38:01,%RH,89.765
23/06/14 16:43:01,%RH,90.285
23/06/14 16:48:01,%RH,90.025
23/06/14 16:53:01,%RH,90.285
23/06/14 16:58:01,%RH,90.285
23/06/14 17:03:01,%RH,90.415
23/06/14 17:08:01,%RH,91.452
23/06/14 17:13:01,%RH,90.675
23/06/14 17:18:01,%RH,91.194
23/06/14 17:23:01,%RH,92.997
23/06/14 17:28:01,%RH,92.226
23/06/14 17:33:01,%RH,91.711
23/06/14 17:38:01,%RH,91.84
23/06/14 17:43:01,%RH,91.711
23/06/14 17:48:01,%RH,92.869
23/06/14 17:53:01,%RH,92.741
23/06/14 17:58:01,%RH,92.997
23/06/14 18:03:01,%RH,92.997
23/06/14 18:08:01,%RH,93.509
23/06/14 18:13:01,%RH,93.254
23/06/14 18:18:01,%RH,93.509
23/06/14 18:23:01,%RH,93.509
23/06/14 18:28:01,%RH,93.637
23/06/14 18:33:01,%RH,93.893
23/06/14 18:38:01,%RH,94.02
23/06/14 18:43:01,%RH,93.893
23/06/14 18:48:01,%RH,93.893
23/06/14 18:53:01,%RH,94.402
23/06/14 18:58:01,%RH,93.893
23/06/14 19:03:01,%RH,95.291
23/06/14 19:08:01,%RH,93.254
23/06/14 19:13:01,%RH,94.275
23/06/14 19:18:01,%RH,93.893
23/06/14 19:23:01,%RH,94.275
23/06/14 19:28:01,%RH,94.275
23/06/14 19:33:01,%RH,94.402
23/06/14 19:38:01,%RH,94.275
23/06/14 19:43:01,%RH,94.275
23/06/14 19:48:01,%RH,93.382
23/06/14 19:53:01,%RH,94.53
23/06/14 19:58:01,%RH,94.657
23/06/14 20:03:01,%RH,95.038
23/06/14 20:08:01,%RH,94.275
23/06/14 20:13:01,%RH,95.038
23/06/14 20:18:01,%RH,94.275
23/06/14 20:23:01,%RH,94.911
23/06/14 20:28:01,%RH,94.784
23/06/14 20:33:01,%RH,94.911
23/06/14 20:38:01,%RH,94.784
23/06/14 20:43:01,%RH,95.038
23/06/14 20:48:01,%RH,94.911
23/06/14 20:53:01,%RH,94.911
23/06/14 20:58:01,%RH,95.038
23/06/14 21:03:01,%RH,95.291
23/06/14 21:08:01,%RH,94.657
23/06/14 21:13:01,%RH,94.784
23/06/14 21:18:01,%RH,94.784
23/06/14 21:23:01,%RH,94.402
23/06/14 21:28:01,%RH,94.02
23/06/14 21:33:01,%RH,94.911
23/06/14 21:38:01,%RH,94.148
23/06/14 21:43:01,%RH,95.164
23/06/14 21:48:01,%RH,95.418
23/06/14 21:53:01,%RH,94.53
23/06/14 21:58:01,%RH,93.893
23/06/14 22:03:01,%RH,94.657
23/06/14 22:08:01,%RH,93.765
23/06/14 22:13:01,%RH,94.148
23/06/14 22:18:01,%RH,95.164
23/06/14 22:23:01,%RH,94.148
23/06/14 22:28:01,%RH,94.275
23/06/14 22:33:01,%RH,93.509
23/06/14 22:38:01,%RH,93.893
23/06/14 22:43:01,%RH,94.53
23/06/14 22:48:01,%RH,94.275
23/06/14 22:53:01,%RH,93.637
23/06/14 22:58:01,%RH,94.02
23/06/14 23:03:01,%RH,94.148
23/06/14 23:08:01,%RH,94.02
23/06/14 23:13:01,%RH,94.53
23/06/14 23:18:01,%RH,94.148
23/06/14 23:23:01,%RH,94.02
23/06/14 23:28:01,%RH,94.148
23/06/14 23:33:01,%RH,94.275
23/06/14 23:38:01,%RH,93.637
23/06/14 23:43:01,%RH,94.02
23/06/14 23:48:01,%RH,94.275
23/06/14 23:53:01,%RH,94.275
23/06/14 23:58:01,%RH,94.275
24/06/14 00:03:01,%RH,94.02
24/06/14 00:08:01,%RH,94.784
24/06/14 00:13:01,%RH,93.509
24/06/14 00:18:01,%RH,93.637
24/06/14 00:23:01,%RH,93.637
24/06/14 00:28:01,%RH,92.741
24/06/14 00:33:01,%RH,94.402
24/06/14 00:38:01,%RH,94.148
24/06/14 00:43:01,%RH,94.53
24/06/14 00:48:01,%RH,94.402
24/06/14 00:53:01,%RH,94.148
24/06/14 00:58:01,%RH,94.657
24/06/14 01:03:01,%RH,94.911
24/06/14 01:08:01,%RH,95.797
24/06/14 01:13:01,%RH,94.911
24/06/14 01:18:01,%RH,95.164
24/06/14 01:23:01,%RH,95.291
24/06/14 01:28:01,%RH,95.418
24/06/14 01:33:01,%RH,94.53
24/06/14 01:38:01,%RH,94.784
24/06/14 01:43:01,%RH,95.164
24/06/14 01:48:01,%RH,94.911
24/06/14 01:53:01,%RH,95.291
24/06/14 01:58:01,%RH,94.911
24/06/14 02:03:01,%RH,95.544
24/06/14 02:08:01,%RH,95.418
24/06/14 02:13:01,%RH,95.038
24/06/14 02:18:01,%RH,94.784
24/06/14 02:23:01,%RH,96.302
