1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 750000003382B041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:48:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:18:01 CST 2014
Total Mission Samples:  2054
Total Device Samples:  8884
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:18:01,%RH,86.436
23/06/14 10:23:01,%RH,86.7
23/06/14 10:28:01,%RH,86.303
23/06/14 10:33:01,%RH,85.373
23/06/14 10:38:01,%RH,86.568
23/06/14 10:43:01,%RH,85.373
23/06/14 10:48:01,%RH,83.767
23/06/14 10:53:01,%RH,83.094
23/06/14 10:58:01,%RH,82.689
23/06/14 11:03:01,%RH,80.515
23/06/14 11:08:01,%RH,79.145
23/06/14 11:13:01,%RH,78.456
23/06/14 11:18:01,%RH,76.932
23/06/14 11:23:01,%RH,77.071
23/06/14 11:28:01,%RH,76.932
23/06/14 11:33:01,%RH,77.071
23/06/14 11:38:01,%RH,77.349
23/06/14 11:43:01,%RH,78.594
23/06/14 11:48:01,%RH,78.456
23/06/14 11:53:01,%RH,78.456
23/06/14 11:58:01,%RH,79.282
23/06/14 12:03:01,%RH,78.318
23/06/14 12:08:01,%RH,78.318
23/06/14 12:13:01,%RH,78.456
23/06/14 12:18:01,%RH,79.419
23/06/14 12:23:01,%RH,80.515
23/06/14 12:28:01,%RH,80.788
23/06/14 12:33:01,%RH,81.333
23/06/14 12:38:01,%RH,81.469
23/06/14 12:43:01,%RH,83.363
23/06/14 12:48:01,%RH,83.632
23/06/14 12:53:01,%RH,82.283
23/06/14 12:58:01,%RH,83.901
23/06/14 13:03:01,%RH,84.571
23/06/14 13:08:01,%RH,84.035
23/06/14 13:13:01,%RH,85.373
23/06/14 13:18:01,%RH,85.506
23/06/14 13:23:01,%RH,85.373
23/06/14 13:28:01,%RH,85.772
23/06/14 13:33:01,%RH,85.905
23/06/14 13:38:01,%RH,84.571
23/06/14 13:43:01,%RH,85.905
23/06/14 13:48:01,%RH,84.304
23/06/14 13:53:01,%RH,84.705
23/06/14 13:58:01,%RH,85.772
23/06/14 14:03:01,%RH,83.498
23/06/14 14:08:01,%RH,85.772
23/06/14 14:13:01,%RH,83.229
23/06/14 14:18:01,%RH,85.373
23/06/14 14:23:01,%RH,84.972
23/06/14 14:28:01,%RH,84.705
23/06/14 14:33:01,%RH,84.035
23/06/14 14:38:01,%RH,84.705
