1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3300000033798C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:49:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:19:01 CST 2014
Total Mission Samples:  2054
Total Device Samples:  9008
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:19:01,%RH,86.332
23/06/14 10:24:01,%RH,86.981
23/06/14 10:29:01,%RH,85.42
23/06/14 10:34:01,%RH,85.159
23/06/14 10:39:01,%RH,83.582
23/06/14 10:44:01,%RH,83.713
23/06/14 10:49:01,%RH,81.857
23/06/14 10:54:01,%RH,80.25
23/06/14 10:59:01,%RH,80.116
23/06/14 11:04:01,%RH,78.222
23/06/14 11:09:01,%RH,76.995
23/06/14 11:14:01,%RH,74.655
23/06/14 11:19:01,%RH,75.07
23/06/14 11:24:01,%RH,74.793
23/06/14 11:29:01,%RH,74.932
23/06/14 11:34:01,%RH,76.858
23/06/14 11:39:01,%RH,77.132
23/06/14 11:44:01,%RH,76.995
23/06/14 11:49:01,%RH,77.814
23/06/14 11:54:01,%RH,77.541
23/06/14 11:59:01,%RH,77.405
23/06/14 12:04:01,%RH,77.132
23/06/14 12:09:01,%RH,77.268
23/06/14 12:14:01,%RH,78.222
23/06/14 12:19:01,%RH,78.086
23/06/14 12:24:01,%RH,80.25
23/06/14 12:29:01,%RH,80.922
23/06/14 12:34:01,%RH,81.59
23/06/14 12:39:01,%RH,82.655
23/06/14 12:44:01,%RH,82.522
23/06/14 12:49:01,%RH,83.845
23/06/14 12:54:01,%RH,83.713
23/06/14 12:59:01,%RH,82.788
23/06/14 13:04:01,%RH,84.635
23/06/14 13:09:01,%RH,84.766
23/06/14 13:14:01,%RH,85.159
23/06/14 13:19:01,%RH,84.897
23/06/14 13:24:01,%RH,85.028
23/06/14 13:29:01,%RH,85.42
23/06/14 13:34:01,%RH,84.503
23/06/14 13:39:01,%RH,84.635
23/06/14 13:44:01,%RH,85.42
23/06/14 13:49:01,%RH,85.42
23/06/14 13:54:01,%RH,83.977
23/06/14 13:59:01,%RH,83.977
23/06/14 14:04:01,%RH,83.449
23/06/14 14:09:01,%RH,84.372
23/06/14 14:14:01,%RH,84.766
23/06/14 14:19:01,%RH,84.635
23/06/14 14:24:01,%RH,83.977
23/06/14 14:29:01,%RH,84.109
23/06/14 14:34:01,%RH,83.845
23/06/14 14:39:01,%RH,83.977
23/06/14 14:44:01,%RH,82.655
23/06/14 14:49:01,%RH,83.317
23/06/14 14:54:01,%RH,83.977
23/06/14 14:59:01,%RH,83.845
23/06/14 15:04:01,%RH,83.713
23/06/14 15:09:01,%RH,84.503
23/06/14 15:14:01,%RH,84.503
23/06/14 15:19:01,%RH,85.028
23/06/14 15:24:01,%RH,85.289
23/06/14 15:29:01,%RH,86.722
23/06/14 15:34:01,%RH,85.812
23/06/14 15:39:01,%RH,85.681
23/06/14 15:44:01,%RH,86.462
23/06/14 15:49:01,%RH,86.202
23/06/14 15:54:01,%RH,85.159
23/06/14 15:59:01,%RH,86.332
23/06/14 16:04:01,%RH,87.24
23/06/14 16:09:01,%RH,86.722
23/06/14 16:14:01,%RH,87.756
23/06/14 16:19:01,%RH,88.784
23/06/14 16:24:01,%RH,89.551
23/06/14 16:29:01,%RH,88.784
23/06/14 16:34:01,%RH,88.528
23/06/14 16:39:01,%RH,89.296
23/06/14 16:44:01,%RH,87.369
23/06/14 16:49:01,%RH,89.04
23/06/14 16:54:01,%RH,89.168
23/06/14 16:59:01,%RH,90.187
23/06/14 17:04:01,%RH,90.568
23/06/14 17:09:01,%RH,90.314
23/06/14 17:14:01,%RH,90.568
23/06/14 17:19:01,%RH,90.187
23/06/14 17:24:01,%RH,90.441
23/06/14 17:29:01,%RH,90.821
23/06/14 17:34:01,%RH,91.453
23/06/14 17:39:01,%RH,90.948
23/06/14 17:44:01,%RH,91.2
23/06/14 17:49:01,%RH,91.326
23/06/14 17:54:01,%RH,91.453
23/06/14 17:59:01,%RH,91.074
23/06/14 18:04:01,%RH,91.704
23/06/14 18:09:01,%RH,92.207
23/06/14 18:14:01,%RH,91.956
23/06/14 18:19:01,%RH,92.458
23/06/14 18:24:01,%RH,92.708
23/06/14 18:29:01,%RH,91.453
23/06/14 18:34:01,%RH,92.332
23/06/14 18:39:01,%RH,92.833
23/06/14 18:44:01,%RH,92.207
23/06/14 18:49:01,%RH,92.708
23/06/14 18:54:01,%RH,92.833
23/06/14 18:59:01,%RH,92.958
23/06/14 19:04:01,%RH,93.083
23/06/14 19:09:01,%RH,93.208
23/06/14 19:14:01,%RH,93.332
23/06/14 19:19:01,%RH,92.583
23/06/14 19:24:01,%RH,93.208
23/06/14 19:29:01,%RH,92.958
23/06/14 19:34:01,%RH,93.581
23/06/14 19:39:01,%RH,93.083
23/06/14 19:44:01,%RH,93.083
23/06/14 19:49:01,%RH,93.083
23/06/14 19:54:01,%RH,93.581
23/06/14 19:59:01,%RH,93.457
23/06/14 20:04:01,%RH,93.954
23/06/14 20:09:01,%RH,94.078
23/06/14 20:14:01,%RH,93.581
23/06/14 20:19:01,%RH,94.078
23/06/14 20:24:01,%RH,94.078
23/06/14 20:29:01,%RH,93.705
