1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DF0000003377A741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:44:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:19:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  12010
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:19:01,%RH,89.118
23/06/14 10:24:01,%RH,89.118
23/06/14 10:29:01,%RH,89.377
23/06/14 10:34:01,%RH,89.377
23/06/14 10:39:01,%RH,88.47
23/06/14 10:44:01,%RH,87.428
23/06/14 10:49:01,%RH,87.297
23/06/14 10:54:01,%RH,87.167
23/06/14 10:59:01,%RH,86.118
23/06/14 11:04:01,%RH,85.986
23/06/14 11:09:01,%RH,84.931
23/06/14 11:14:01,%RH,84.003
23/06/14 11:19:01,%RH,83.87
23/06/14 11:24:01,%RH,82.401
23/06/14 11:29:01,%RH,82.535
23/06/14 11:34:01,%RH,82.535
23/06/14 11:39:01,%RH,81.731
23/06/14 11:44:01,%RH,82.535
23/06/14 11:49:01,%RH,82.133
23/06/14 11:54:01,%RH,82.535
23/06/14 11:59:01,%RH,81.462
23/06/14 12:04:01,%RH,81.865
23/06/14 12:09:01,%RH,82.669
23/06/14 12:14:01,%RH,81.058
23/06/14 12:19:01,%RH,81.327
23/06/14 12:24:01,%RH,81.999
23/06/14 12:29:01,%RH,82.535
23/06/14 12:34:01,%RH,81.731
23/06/14 12:39:01,%RH,83.07
23/06/14 12:44:01,%RH,83.737
23/06/14 12:49:01,%RH,83.737
23/06/14 12:54:01,%RH,84.003
23/06/14 12:59:01,%RH,84.003
23/06/14 13:04:01,%RH,84.666
23/06/14 13:09:01,%RH,84.798
23/06/14 13:14:01,%RH,84.268
23/06/14 13:19:01,%RH,85.195
23/06/14 13:24:01,%RH,84.798
23/06/14 13:29:01,%RH,85.063
23/06/14 13:34:01,%RH,85.327
23/06/14 13:39:01,%RH,85.854
23/06/14 13:44:01,%RH,85.327
