1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0C0000003381B141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:43:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:23:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  11925
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:23:01,%RH,87.827
23/06/14 10:28:01,%RH,87.431
23/06/14 10:33:01,%RH,86.77
23/06/14 10:38:01,%RH,86.239
23/06/14 10:43:01,%RH,85.44
23/06/14 10:48:01,%RH,84.102
23/06/14 10:53:01,%RH,83.699
23/06/14 10:58:01,%RH,82.079
23/06/14 11:03:01,%RH,81.128
23/06/14 11:08:01,%RH,79.076
23/06/14 11:13:01,%RH,77.697
23/06/14 11:18:01,%RH,76.587
23/06/14 11:23:01,%RH,77.004
23/06/14 11:28:01,%RH,76.865
23/06/14 11:33:01,%RH,77.835
23/06/14 11:38:01,%RH,78.8
23/06/14 11:43:01,%RH,79.899
23/06/14 11:48:01,%RH,79.899
23/06/14 11:53:01,%RH,79.899
23/06/14 11:58:01,%RH,79.35
23/06/14 12:03:01,%RH,80.309
23/06/14 12:08:01,%RH,78.8
23/06/14 12:13:01,%RH,79.488
23/06/14 12:18:01,%RH,81.128
23/06/14 12:23:01,%RH,82.079
23/06/14 12:28:01,%RH,82.62
23/06/14 12:33:01,%RH,84.37
23/06/14 12:38:01,%RH,84.772
23/06/14 12:43:01,%RH,85.707
23/06/14 12:48:01,%RH,85.44
23/06/14 12:53:01,%RH,85.574
23/06/14 12:58:01,%RH,85.973
23/06/14 13:03:01,%RH,85.84
23/06/14 13:08:01,%RH,86.637
23/06/14 13:13:01,%RH,86.504
23/06/14 13:18:01,%RH,86.372
23/06/14 13:23:01,%RH,87.167
23/06/14 13:28:01,%RH,87.431
23/06/14 13:33:01,%RH,87.034
23/06/14 13:38:01,%RH,87.034
23/06/14 13:43:01,%RH,87.167
23/06/14 13:48:01,%RH,86.77
23/06/14 13:53:01,%RH,87.299
23/06/14 13:58:01,%RH,86.239
23/06/14 14:03:01,%RH,85.973
23/06/14 14:08:01,%RH,86.239
23/06/14 14:13:01,%RH,86.106
23/06/14 14:18:01,%RH,85.973
23/06/14 14:23:01,%RH,86.239
23/06/14 14:28:01,%RH,86.106
23/06/14 14:33:01,%RH,86.77
23/06/14 14:38:01,%RH,85.84
23/06/14 14:43:01,%RH,85.973
