1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6E000000337A8241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:44:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:24:01 CST 2014
Total Mission Samples:  2056
Total Device Samples:  11966
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:24:01,%RH,87.054
23/06/14 10:29:01,%RH,85.872
23/06/14 10:34:01,%RH,85.872
23/06/14 10:39:01,%RH,85.741
23/06/14 10:44:01,%RH,84.417
23/06/14 10:49:01,%RH,83.885
23/06/14 10:54:01,%RH,82.414
23/06/14 10:59:01,%RH,80.932
23/06/14 11:04:01,%RH,79.303
23/06/14 11:09:01,%RH,76.418
23/06/14 11:14:01,%RH,75.586
23/06/14 11:19:01,%RH,75.308
23/06/14 11:24:01,%RH,76.002
23/06/14 11:29:01,%RH,77.108
23/06/14 11:34:01,%RH,76.556
23/06/14 11:39:01,%RH,78.619
23/06/14 11:44:01,%RH,79.166
23/06/14 11:49:01,%RH,80.255
23/06/14 11:54:01,%RH,79.303
23/06/14 11:59:01,%RH,78.483
23/06/14 12:04:01,%RH,77.797
23/06/14 12:09:01,%RH,78.346
23/06/14 12:14:01,%RH,79.03
23/06/14 12:19:01,%RH,80.797
23/06/14 12:24:01,%RH,82.414
23/06/14 12:29:01,%RH,83.485
23/06/14 12:34:01,%RH,84.018
23/06/14 12:39:01,%RH,84.948
23/06/14 12:44:01,%RH,85.08
23/06/14 12:49:01,%RH,85.741
23/06/14 12:54:01,%RH,86.004
23/06/14 12:59:01,%RH,85.872
23/06/14 13:04:01,%RH,86.661
23/06/14 13:09:01,%RH,86.661
23/06/14 13:14:01,%RH,87.185
23/06/14 13:19:01,%RH,87.054
23/06/14 13:24:01,%RH,87.185
23/06/14 13:29:01,%RH,86.661
23/06/14 13:34:01,%RH,87.316
23/06/14 13:39:01,%RH,87.708
23/06/14 13:44:01,%RH,87.447
23/06/14 13:49:01,%RH,87.708
23/06/14 13:54:01,%RH,86.267
23/06/14 13:59:01,%RH,86.661
23/06/14 14:04:01,%RH,85.872
23/06/14 14:09:01,%RH,85.344
23/06/14 14:14:01,%RH,86.004
23/06/14 14:19:01,%RH,86.399
23/06/14 14:24:01,%RH,86.136
23/06/14 14:29:01,%RH,86.267
23/06/14 14:34:01,%RH,86.53
23/06/14 14:39:01,%RH,85.609
23/06/14 14:44:01,%RH,85.08
23/06/14 14:49:01,%RH,84.683
23/06/14 14:54:01,%RH,85.08
23/06/14 14:59:01,%RH,86.399
23/06/14 15:04:01,%RH,86.792
23/06/14 15:09:01,%RH,85.741
23/06/14 15:14:01,%RH,86.136
23/06/14 15:19:01,%RH,87.185
23/06/14 15:24:01,%RH,86.792
23/06/14 15:29:01,%RH,86.53
23/06/14 15:34:01,%RH,87.447
23/06/14 15:39:01,%RH,87.054
23/06/14 15:44:01,%RH,87.447
23/06/14 15:49:01,%RH,87.185
23/06/14 15:54:01,%RH,87.185
23/06/14 15:59:01,%RH,86.924
23/06/14 16:04:01,%RH,88.619
23/06/14 16:09:01,%RH,88.099
23/06/14 16:14:01,%RH,89.008
