1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CE000000337E6B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:38:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:23:01 CST 2014
Total Mission Samples:  2057
Total Device Samples:  11905
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:23:01,%RH,88.054
23/06/14 10:28:01,%RH,87.926
23/06/14 10:33:01,%RH,89.324
23/06/14 10:38:01,%RH,88.563
23/06/14 10:43:01,%RH,87.67
23/06/14 10:48:01,%RH,87.286
23/06/14 10:53:01,%RH,86.772
23/06/14 10:58:01,%RH,86.386
23/06/14 11:03:01,%RH,84.83
23/06/14 11:08:01,%RH,84.046
23/06/14 11:13:01,%RH,82.335
23/06/14 11:18:01,%RH,81.805
23/06/14 11:23:01,%RH,80.605
23/06/14 11:28:01,%RH,81.006
23/06/14 11:33:01,%RH,80.605
23/06/14 11:38:01,%RH,82.467
23/06/14 11:43:01,%RH,81.139
23/06/14 11:48:01,%RH,81.539
23/06/14 11:53:01,%RH,82.202
23/06/14 11:58:01,%RH,81.539
23/06/14 12:03:01,%RH,81.006
23/06/14 12:08:01,%RH,81.406
23/06/14 12:13:01,%RH,81.273
23/06/14 12:18:01,%RH,81.139
23/06/14 12:23:01,%RH,82.467
23/06/14 12:28:01,%RH,82.863
23/06/14 12:33:01,%RH,83.127
23/06/14 12:38:01,%RH,83.653
23/06/14 12:43:01,%RH,84.438
23/06/14 12:48:01,%RH,84.308
23/06/14 12:53:01,%RH,84.7
23/06/14 12:58:01,%RH,85.48
23/06/14 13:03:01,%RH,85.61
23/06/14 13:08:01,%RH,85.61
23/06/14 13:13:01,%RH,85.739
23/06/14 13:18:01,%RH,86.901
23/06/14 13:23:01,%RH,86.127
23/06/14 13:28:01,%RH,86.643
23/06/14 13:33:01,%RH,86.643
23/06/14 13:38:01,%RH,86.772
23/06/14 13:43:01,%RH,86.386
23/06/14 13:48:01,%RH,86.127
23/06/14 13:53:01,%RH,86.386
23/06/14 13:58:01,%RH,85.48
23/06/14 14:03:01,%RH,85.869
23/06/14 14:08:01,%RH,85.22
23/06/14 14:13:01,%RH,86.257
23/06/14 14:18:01,%RH,85.869
23/06/14 14:23:01,%RH,86.257
23/06/14 14:28:01,%RH,86.386
23/06/14 14:33:01,%RH,86.772
23/06/14 14:38:01,%RH,84.96
23/06/14 14:43:01,%RH,86.515
23/06/14 14:48:01,%RH,84.96
23/06/14 14:53:01,%RH,84.83
23/06/14 14:58:01,%RH,84.83
23/06/14 15:03:01,%RH,85.09
23/06/14 15:08:01,%RH,85.998
23/06/14 15:13:01,%RH,86.386
23/06/14 15:18:01,%RH,86.257
23/06/14 15:23:01,%RH,86.643
23/06/14 15:28:01,%RH,86.386
23/06/14 15:33:01,%RH,86.772
23/06/14 15:38:01,%RH,86.901
23/06/14 15:43:01,%RH,87.029
23/06/14 15:48:01,%RH,86.772
23/06/14 15:53:01,%RH,87.029
23/06/14 15:58:01,%RH,86.257
23/06/14 16:03:01,%RH,86.901
23/06/14 16:08:01,%RH,86.643
23/06/14 16:13:01,%RH,86.772
23/06/14 16:18:01,%RH,87.926
23/06/14 16:23:01,%RH,88.309
23/06/14 16:28:01,%RH,89.198
23/06/14 16:33:01,%RH,88.436
23/06/14 16:38:01,%RH,89.703
23/06/14 16:43:01,%RH,89.451
23/06/14 16:48:01,%RH,89.198
23/06/14 16:53:01,%RH,89.198
23/06/14 16:58:01,%RH,89.955
23/06/14 17:03:01,%RH,89.071
23/06/14 17:08:01,%RH,90.207
23/06/14 17:13:01,%RH,89.955
23/06/14 17:18:01,%RH,90.081
23/06/14 17:23:01,%RH,90.207
23/06/14 17:28:01,%RH,90.709
23/06/14 17:33:01,%RH,90.584
23/06/14 17:38:01,%RH,91.085
23/06/14 17:43:01,%RH,90.584
23/06/14 17:48:01,%RH,91.085
23/06/14 17:53:01,%RH,92.701
23/06/14 17:58:01,%RH,90.835
23/06/14 18:03:01,%RH,91.833
23/06/14 18:08:01,%RH,90.835
23/06/14 18:13:01,%RH,91.709
23/06/14 18:18:01,%RH,91.21
23/06/14 18:23:01,%RH,92.33
23/06/14 18:28:01,%RH,91.958
23/06/14 18:33:01,%RH,91.46
23/06/14 18:38:01,%RH,92.454
23/06/14 18:43:01,%RH,91.833
23/06/14 18:48:01,%RH,93.195
23/06/14 18:53:01,%RH,92.701
23/06/14 18:58:01,%RH,93.441
23/06/14 19:03:01,%RH,92.578
23/06/14 19:08:01,%RH,91.21
23/06/14 19:13:01,%RH,91.584
23/06/14 19:18:01,%RH,92.206
23/06/14 19:23:01,%RH,92.454
23/06/14 19:28:01,%RH,93.809
23/06/14 19:33:01,%RH,93.318
23/06/14 19:38:01,%RH,92.701
23/06/14 19:43:01,%RH,93.687
23/06/14 19:48:01,%RH,93.318
23/06/14 19:53:01,%RH,92.825
23/06/14 19:58:01,%RH,93.195
23/06/14 20:03:01,%RH,92.825
23/06/14 20:08:01,%RH,93.809
23/06/14 20:13:01,%RH,93.072
23/06/14 20:18:01,%RH,93.441
23/06/14 20:23:01,%RH,93.318
23/06/14 20:28:01,%RH,93.318
23/06/14 20:33:01,%RH,93.687
23/06/14 20:38:01,%RH,93.441
23/06/14 20:43:01,%RH,94.299
23/06/14 20:48:01,%RH,93.809
23/06/14 20:53:01,%RH,93.564
23/06/14 20:58:01,%RH,93.809
23/06/14 21:03:01,%RH,93.809
23/06/14 21:08:01,%RH,93.441
23/06/14 21:13:01,%RH,93.564
23/06/14 21:18:01,%RH,93.687
23/06/14 21:23:01,%RH,93.809
23/06/14 21:28:01,%RH,93.441
23/06/14 21:33:01,%RH,93.564
23/06/14 21:38:01,%RH,93.932
23/06/14 21:43:01,%RH,94.299
23/06/14 21:48:01,%RH,93.809
23/06/14 21:53:01,%RH,94.055
23/06/14 21:58:01,%RH,93.564
23/06/14 22:03:01,%RH,94.055
23/06/14 22:08:01,%RH,93.687
23/06/14 22:13:01,%RH,93.687
23/06/14 22:18:01,%RH,93.687
23/06/14 22:23:01,%RH,93.441
23/06/14 22:28:01,%RH,93.564
23/06/14 22:33:01,%RH,92.33
23/06/14 22:38:01,%RH,93.564
23/06/14 22:43:01,%RH,94.055
23/06/14 22:48:01,%RH,93.441
23/06/14 22:53:01,%RH,92.825
23/06/14 22:58:01,%RH,93.932
23/06/14 23:03:01,%RH,93.441
23/06/14 23:08:01,%RH,93.318
23/06/14 23:13:01,%RH,93.072
23/06/14 23:18:01,%RH,92.825
23/06/14 23:23:01,%RH,93.441
23/06/14 23:28:01,%RH,93.318
23/06/14 23:33:01,%RH,93.564
23/06/14 23:38:01,%RH,93.687
23/06/14 23:43:01,%RH,93.318
23/06/14 23:48:01,%RH,92.948
23/06/14 23:53:01,%RH,93.318
23/06/14 23:58:01,%RH,93.932
24/06/14 00:03:01,%RH,93.195
24/06/14 00:08:01,%RH,93.318
24/06/14 00:13:01,%RH,93.072
24/06/14 00:18:01,%RH,93.195
24/06/14 00:23:01,%RH,93.318
24/06/14 00:28:01,%RH,93.564
24/06/14 00:33:01,%RH,93.809
24/06/14 00:38:01,%RH,93.195
24/06/14 00:43:01,%RH,92.948
24/06/14 00:48:01,%RH,93.564
24/06/14 00:53:01,%RH,94.055
24/06/14 00:58:01,%RH,94.177
24/06/14 01:03:01,%RH,94.177
24/06/14 01:08:01,%RH,94.299
24/06/14 01:13:01,%RH,93.932
24/06/14 01:18:01,%RH,93.932
24/06/14 01:23:01,%RH,94.787
24/06/14 01:28:01,%RH,93.564
24/06/14 01:33:01,%RH,94.543
24/06/14 01:38:01,%RH,94.543
24/06/14 01:43:01,%RH,94.421
24/06/14 01:48:01,%RH,94.177
24/06/14 01:53:01,%RH,94.421
24/06/14 01:58:01,%RH,94.421
24/06/14 02:03:01,%RH,94.421
24/06/14 02:08:01,%RH,94.177
24/06/14 02:13:01,%RH,94.543
24/06/14 02:18:01,%RH,94.177
24/06/14 02:23:01,%RH,94.909
24/06/14 02:28:01,%RH,94.177
24/06/14 02:33:01,%RH,94.787
24/06/14 02:38:01,%RH,94.421
24/06/14 02:43:01,%RH,94.787
24/06/14 02:48:01,%RH,95.395
24/06/14 02:53:01,%RH,94.787
24/06/14 02:58:01,%RH,94.665
24/06/14 03:03:01,%RH,95.031
24/06/14 03:08:01,%RH,95.031
24/06/14 03:13:01,%RH,95.395
24/06/14 03:18:01,%RH,94.665
24/06/14 03:23:01,%RH,95.031
24/06/14 03:28:01,%RH,95.031
24/06/14 03:33:01,%RH,95.879
24/06/14 03:38:01,%RH,94.787
24/06/14 03:43:01,%RH,95.516
24/06/14 03:48:01,%RH,94.787
24/06/14 03:53:01,%RH,95.031
24/06/14 03:58:01,%RH,94.055
24/06/14 04:03:01,%RH,95.637
24/06/14 04:08:01,%RH,95.637
24/06/14 04:13:01,%RH,95.152
24/06/14 04:18:01,%RH,95.758
24/06/14 04:23:01,%RH,95.879
24/06/14 04:28:01,%RH,95.758
24/06/14 04:33:01,%RH,95.031
24/06/14 04:38:01,%RH,95.637
24/06/14 04:43:01,%RH,95.637
24/06/14 04:48:01,%RH,95.758
24/06/14 04:53:01,%RH,96.12
24/06/14 04:58:01,%RH,95.758
24/06/14 05:03:01,%RH,96
24/06/14 05:08:01,%RH,95.395
24/06/14 05:13:01,%RH,96.12
24/06/14 05:18:01,%RH,95.637
24/06/14 05:23:01,%RH,96.361
24/06/14 05:28:01,%RH,95.879
24/06/14 05:33:01,%RH,96
24/06/14 05:38:01,%RH,95.879
24/06/14 05:43:01,%RH,95.758
24/06/14 05:48:01,%RH,95.758
24/06/14 05:53:01,%RH,96.12
24/06/14 05:58:01,%RH,95.758
24/06/14 06:03:01,%RH,96
24/06/14 06:08:01,%RH,96.12
24/06/14 06:13:01,%RH,95.395
24/06/14 06:18:01,%RH,96.361
24/06/14 06:23:01,%RH,95.273
24/06/14 06:28:01,%RH,96.12
24/06/14 06:33:01,%RH,95.152
24/06/14 06:38:01,%RH,94.177
24/06/14 06:43:01,%RH,96.602
24/06/14 06:48:01,%RH,95.516
24/06/14 06:53:01,%RH,95.395
24/06/14 06:58:01,%RH,94.543
24/06/14 07:03:01,%RH,94.909
24/06/14 07:08:01,%RH,95.152
24/06/14 07:13:01,%RH,94.665
24/06/14 07:18:01,%RH,94.665
24/06/14 07:23:01,%RH,94.787
24/06/14 07:28:01,%RH,95.516
24/06/14 07:33:01,%RH,93.564
24/06/14 07:38:01,%RH,93.932
24/06/14 07:43:01,%RH,93.809
24/06/14 07:48:01,%RH,94.665
24/06/14 07:53:01,%RH,93.441
24/06/14 07:58:01,%RH,94.787
24/06/14 08:03:01,%RH,94.665
24/06/14 08:08:01,%RH,94.055
24/06/14 08:13:01,%RH,93.564
24/06/14 08:18:01,%RH,92.701
24/06/14 08:23:01,%RH,92.825
24/06/14 08:28:01,%RH,92.701
24/06/14 08:33:01,%RH,92.578
24/06/14 08:38:01,%RH,91.335
24/06/14 08:43:01,%RH,91.21
24/06/14 08:48:01,%RH,90.835
24/06/14 08:53:01,%RH,89.324
24/06/14 08:58:01,%RH,88.69
24/06/14 09:03:01,%RH,87.542
24/06/14 09:08:01,%RH,87.542
24/06/14 09:13:01,%RH,85.869
24/06/14 09:18:01,%RH,85.998
24/06/14 09:23:01,%RH,85.35
24/06/14 09:28:01,%RH,84.308
24/06/14 09:33:01,%RH,84.046
24/06/14 09:38:01,%RH,81.937
24/06/14 09:43:01,%RH,81.539
24/06/14 09:48:01,%RH,80.873
24/06/14 09:53:01,%RH,78.993
24/06/14 09:58:01,%RH,78.587
24/06/14 10:03:01,%RH,77.909
24/06/14 10:08:01,%RH,77.501
24/06/14 10:13:01,%RH,76.408
24/06/14 10:18:01,%RH,76.545
24/06/14 10:23:01,%RH,75.446
24/06/14 10:28:01,%RH,75.446
24/06/14 10:33:01,%RH,76.818
24/06/14 10:38:01,%RH,75.446
24/06/14 10:43:01,%RH,75.583
24/06/14 10:48:01,%RH,75.308
24/06/14 10:53:01,%RH,74.062
24/06/14 10:58:01,%RH,73.923
24/06/14 11:03:01,%RH,73.505
