1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 85000000337FFA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Mon Jun 23 09:50:01 CST 2014
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Jun 23 10:25:01 CST 2014
Total Mission Samples:  2055
Total Device Samples:  8958
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
23/06/14 10:25:01,%RH,86.303
23/06/14 10:30:01,%RH,85.633
23/06/14 10:35:01,%RH,85.364
23/06/14 10:40:01,%RH,83.88
23/06/14 10:45:01,%RH,83.609
23/06/14 10:50:01,%RH,82.794
23/06/14 10:55:01,%RH,81.702
23/06/14 11:00:01,%RH,80.329
23/06/14 11:05:01,%RH,78.253
23/06/14 11:10:01,%RH,76.437
23/06/14 11:15:01,%RH,74.324
23/06/14 11:20:01,%RH,76.437
23/06/14 11:25:01,%RH,75.171
23/06/14 11:30:01,%RH,75.453
23/06/14 11:35:01,%RH,77.417
23/06/14 11:40:01,%RH,77.137
23/06/14 11:45:01,%RH,79.224
23/06/14 11:50:01,%RH,78.531
23/06/14 11:55:01,%RH,77.974
23/06/14 12:00:01,%RH,78.392
23/06/14 12:05:01,%RH,78.808
23/06/14 12:10:01,%RH,77.974
23/06/14 12:15:01,%RH,79.915
23/06/14 12:20:01,%RH,80.053
23/06/14 12:25:01,%RH,80.742
23/06/14 12:30:01,%RH,82.249
23/06/14 12:35:01,%RH,83.745
23/06/14 12:40:01,%RH,84.151
23/06/14 12:45:01,%RH,84.556
23/06/14 12:50:01,%RH,84.421
23/06/14 12:55:01,%RH,84.286
23/06/14 13:00:01,%RH,84.961
23/06/14 13:05:01,%RH,85.633
23/06/14 13:10:01,%RH,86.169
23/06/14 13:15:01,%RH,86.704
23/06/14 13:20:01,%RH,87.504
23/06/14 13:25:01,%RH,86.571
23/06/14 13:30:01,%RH,86.571
23/06/14 13:35:01,%RH,85.499
23/06/14 13:40:01,%RH,86.303
23/06/14 13:45:01,%RH,85.901
23/06/14 13:50:01,%RH,86.571
23/06/14 13:55:01,%RH,85.767
23/06/14 14:00:01,%RH,86.169
23/06/14 14:05:01,%RH,84.691
23/06/14 14:10:01,%RH,85.633
23/06/14 14:15:01,%RH,85.767
